S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,31,,S,SA,25,30-31,256.6182635,2.58,FALSE,102.095215,,10.06872222,78.68166667,GOOD,Available,,Solar Power Plan,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68166666666667 10.068722222222222, 78.67933333333333 10.067694444444443)"
22,32,,S,SA,25,31-32,276.5689382,3.28,FALSE,102.541183,,10.06769444,78.67933333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67933333333333 10.067694444444443, 78.67819444444444 10.067222222222222)"
23,33,,S,SA,25,32-33,135.8139448,3.3,FALSE,101.768982,,10.06722222,78.67819444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67819444444444 10.067222222222222, 78.676 10.066305555555557)"
24,34,,S,SA,25,33-34,262.9280449,1.21,FALSE,100.304535,,10.06630556,78.676,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.676 10.066305555555557, 78.67455555555556 10.065722222222224)"
25,35,,T,SC,26,34-35,171.5328269,2.25,FALSE,98.140549,"42°23'24""L",10.06572222,78.67455556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67455555555556 10.065722222222224, 78.67202777777779 10.066583333333334)"
26,36,,S,SA,25,35-36,291.622124,4.73,FALSE,98.691841,,10.06658333,78.67202778,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67202777777779 10.066583333333334, 78.66972222222223 10.067361111111111)"
27,37,,S,SA,25,36-37,267.4694267,4.08,FALSE,98.431892,,10.06736111,78.66972222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66972222222223 10.067361111111111, 78.66716666666667 10.068277777777778)"
28,38,,S,SA,25,37-38,300.4183339,3,FALSE,94.71199,,10.06827778,78.66716667,GOOD,Available,230KV,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66716666666667 10.068277777777778, 78.6648888888889 10.069083333333333)"
29,39,,S,SA,25,38-39,265.3576467,2.15,FALSE,96.966644,,10.06908333,78.66488889,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6648888888889 10.069083333333333, 78.66263888888889 10.069861111111111)"
30,40,,S,SA,25,39-40,259.567942,2.37,FALSE,97.547867,,10.06986111,78.66263889,GOOD,Available,LT,Avanthi patti Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66263888888889 10.069861111111111, 78.66036111111111 10.070666666666666)"
31,41,,S,SA,25,40-41,267.190631,1.31,FALSE,94.72422,,10.07066667,78.66036111,GOOD,NO E/W,LT,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66036111111111 10.070666666666666, 78.65780555555556 10.071555555555555)"
32,42,,S,SA,25,41-42,295.3787963,3.17,FALSE,93.892136,,10.07155556,78.65780556,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65780555555556 10.071555555555555, 78.65558333333334 10.072333333333333)"
33,43,2W,T,SB,25,42-43,259.3896369,3.51,FALSE,90.063667,"24°17'60""L",10.07233333,78.65558333,GOOD,NO E/W,LT,Kambanur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65558333333334 10.072333333333333, 78.65366666666667 10.07413888888889)"
34,44,,S,SA,25,43-44,289.8126008,5.03,FALSE,88.94912,,10.07413889,78.65366667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65366666666667 10.07413888888889, 78.65175 10.075916666666666)"
35,45,,S,SA,25,44-45,287.549477,2.17,FALSE,90.841507,,10.07591667,78.65175,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.65175 10.075916666666666, 78.64969444444445 10.077805555555555)"
36,46,,S,SA,25,45-46,308.8077436,4.23,FALSE,91.480865,,10.07780556,78.64969444,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64969444444445 10.077805555555555, 78.64780555555556 10.079611111111111)"
37,47,,S,SA,25,46-47,286.7404039,3.11,FALSE,92.584297,,10.07961111,78.64780556,GOOD,Available,2-LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64780555555556 10.079611111111111, 78.6461388888889 10.081166666666666)"
38,48,,S,SA,25,47-48,250.4003423,1.26,FALSE,92.826317,,10.08116667,78.64613889,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6461388888889 10.081166666666666, 78.6443888888889 10.082805555555556)"
39,49,,S,SA,25,48-49,264.2329021,1.43,FALSE,92.870453,,10.08280556,78.64438889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6443888888889 10.082805555555556, 78.64272222222223 10.08436111111111)"
40,50,,S,SA,25,49-50,251.4734074,4.23,FALSE,93.472733,,10.08436111,78.64272222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64272222222223 10.08436111111111, 78.64091666666667 10.085916666666668)"
41,51,,S,SA,25,50-51,261.8991538,4.06,FALSE,95.902855,,10.08591667,78.64091667,GOOD,Available,400 KV,,Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.64091666666667 10.085916666666668, 78.63927777777778 10.08738888888889)"
42,52,,S,SA,25,51-52,242.0494667,2.32,FALSE,97.80542,,10.08738889,78.63927778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63927777777778 10.08738888888889, 78.63733333333334 10.089055555555555)"
43,53,2W,T,SB,25,52-53,283.1158563,4.51,0,94.206215,"14°31'12""R",10.08905556,78.63733333,GOOD,Available,3-LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63733333333334 10.089055555555555, 78.63533333333334 10.09)"
44,54,,S,SA,25,53-54,241.4217649,2.2,FALSE,94.050102,,10.09,78.63533333,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63533333333334 10.09, 78.63327777777778 10.090833333333334)"
45,55,,S,SA,25,54-55,244.2592997,2.28,FALSE,95.479507,,10.09083333,78.63327778,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63327777777778 10.090833333333334, 78.63113888888888 10.091861111111111)"
46,56,,S,SA,25,55-56,260.8512304,4.02,FALSE,95.373276,,10.09186111,78.63113889,GOOD,NO E/W,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.63113888888888 10.091861111111111, 78.62899999999999 10.092833333333333)"
47,57,,S,SA,25,56-57,257.8892219,NIL,FALSE,94.391411,,10.09283333,78.629,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62899999999999 10.092833333333333, 78.62666666666667 10.09388888888889)"
48,58,,S,SA,25,57-58,281.6723105,3.71,FALSE,92.05172,,10.09388889,78.62666667,GOOD,NO E/W,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62666666666667 10.09388888888889, 78.62452777777777 10.094777777777779)"
49,59,,S,SA,25,58-59,254.2080809,3.62,FALSE,93.886978,,10.09477778,78.62452778,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62452777777777 10.094777777777779, 78.62288888888888 10.095500000000001)"
50,60,,T,SB,25,59-60,197.6371695,5.56,FALSE,93.398033,"16°57'0""R",10.0955,78.62288889,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62288888888888 10.095500000000001, 78.62074999999999 10.09575)"
51,61,,S,SA,25,60-61,234.284758,3.41,FALSE,95.173584,,10.09575,78.62075,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62074999999999 10.09575, 78.6188611111111 10.095916666666668)"
52,62,,S,SA,25,61-62,209.8391145,2.15,FALSE,95.559723,,10.09591667,78.61886111,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6188611111111 10.095916666666668, 78.61658333333332 10.096166666666667)"
53,63,,T,SB,25,62-63,251.1809766,4.08,FALSE,99.158539,"27°28'12""L",10.09616667,78.61658333,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61658333333332 10.096166666666667, 78.61433333333333 10.09763888888889)"
54,64,,S,SA,25,63-64,296.4461392,2.97,FALSE,98.660568,,10.09763889,78.61433333,GOOD,NO E/W,2-LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61433333333333 10.09763888888889, 78.61202777777777 10.099166666666667)"
55,65,,S,SA,25,64-65,301.9232275,1.42,FALSE,100.051628,,10.09916667,78.61202778,GOOD,NO E/W,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61202777777777 10.099166666666667, 78.60994444444444 10.10061111111111)"
56,66,2W,T,SC,26,65-66,279.2083152,0.75,FALSE,100.883453,"49°29'24""R",10.10061111,78.60994444,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60994444444444 10.10061111111111, 78.60758333333332 10.1)"
57,67,,S,SA,25,66-67,266.1466413,1.98,FALSE,101.730103,,10.1,78.60758333,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60758333333332 10.1, 78.60525 10.099472222222223)"
58,68,,S,SA,25,67-68,262.7971503,2.31,FALSE,103.112427,,10.09947222,78.60525,GOOD,NO E/W,,Rameshwaram NH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60525 10.099472222222223, 78.6026111111111 10.098805555555556)"
59,69,,S,SA,25,68-69,299.4787705,1.23,FALSE,103.194778,,10.09880556,78.60261111,GOOD,NO E/W,"LT,HT",Thirupathur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6026111111111 10.098805555555556, 78.60022222222221 10.09825)"
60,70,,S,SA,25,69-70,270.2214243,2.26,FALSE,104.116112,,10.09825,78.60022222,GOOD,NO E/W,LT,Rameshwaram NH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60022222222221 10.09825, 78.59780555555555 10.097694444444445)"
61,71,,T,SC,26,70-71,270.6141445,1.47,FALSE,107.378372,"32°15'0""L",10.09769444,78.59780556,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59780555555555 10.097694444444445, 78.59599999999999 10.098333333333334)"
62,72,,T,SB,25,71-72,210.5052424,3.33,FALSE,105.312119,"11°22'48""L",10.09833333,78.596,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59599999999999 10.098333333333334, 78.59513888888888 10.098833333333333)"
63,73,,T,SB,25,72-73,108.942837,2.01,FALSE,104.960373,"3°45'0""R",10.09883333,78.59513889,GOOD,Available,,Rameshwaram NH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59513888888888 10.098833333333333, 78.594 10.099416666666666)"
64,74,,S,SA,25,73-74,141.5978668,1.46,FALSE,106.259644,,10.09941667,78.594,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.594 10.099416666666666, 78.59180555555555 10.10061111111111)"
65,75,,S,SA,25,74-75,272.5796096,4.31,FALSE,107.327713,,10.10061111,78.59180556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59180555555555 10.10061111111111, 78.58975 10.101638888888889)"
66,76,,S,SA,25,75-76,253.5856869,1.06,FALSE,106.686699,,10.10163889,78.58975,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58975 10.101638888888889, 78.58766666666666 10.102694444444444)"
67,77,,T,DC,26,76-77,256.3696551,2.23,FALSE,107.217941,"3°3'36""L",10.10269444,78.58766667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58766666666666 10.102694444444444, 78.58741666666666 10.102833333333333)"
68,Gantry ( K .Thirupathur SS ),2W,Gantry,H-POLE,12,77-Gantry,30.31048464,,,108.473228,,10.10283333,78.58741667,GOOD,NO E/W,LT,,SS,K. THIRUPATHUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note    :  ,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2. From Gantry at Karakudi S/S to TN - 11 section is common for 110kV Karakudi - Sivagangai & Karakudi - K.Thirupathur Link . So It is recommended to prepare 96F OPGW at this section and Its shown in Karakudi - Sivagangai Link.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"No of Suspension tower : 50 No,                No of Tension tower : 17 No,                         No of H-Poles : 1 No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
