S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO :27,3W,T,DC,26,26 -  27,,7.53,128.413742,5°17'3''LT,8.264018996,77.53781604,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5378160364925 8.26401899568736, 77.5391119625419 8.26401103287935)"
2,28,,T,DC,26,27 - 28,144.3575218,4.01,125.419052,1°57'18''RT,8.264011033,77.53911196,GOOD,Available,110KV,,PLAIN,DOWN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5391119625419 8.26401103287935, 77.5415790081024 8.26391195878386)"
3,29,,S,DC,26,28 - 29,273.673046,8.9,119.005211,,8.263911959,77.54157901,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5415790081024 8.26391195878386, 77.5440830178558 8.26383702456951)"
4,30,,S,DC,26,29 - 30,277.6519618,3.79,114.415413,,8.263837025,77.54408302,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5440830178558 8.26383702456951, 77.5463889632374 8.26375303789973)"
5,31,,S,DC,26,30 - 31,255.8643414,4.32,110.28701,,8.263753038,77.54638896,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5463889632374 8.26375303789973, 77.5477190036326 8.26372898183763)"
6,32,,T,DC,26,31 - 32,148.1405857,2.76,106.367599,6°3'34''LT,8.263728982,77.547719,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5477190036326 8.26372898183763, 77.5482220016419 8.26377298682928)"
7,33,,T,H-POLE,26,32 - 33,57.16122614,3.63,106.278023,11°55'20''RT,8.263772987,77.548222,GOOD,NO E/W,"HT, 230KV",,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5482220016419 8.26377298682928, 77.5487939827144 8.26370400376617)"
8,34,,T,DC,26,33 - 34,65.01258056,5.24,104.791061,51°42'31''LT,8.263704004,77.54879398,GOOD,NO E/W,HT,,PLAIN,Inside College campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5487939827144 8.26370400376617, 77.5502090156078 8.26510403305292)"
9,35,,S,DC,26,34 - 35,221.3507697,4.84,106.398483,,8.265104033,77.55020902,GOOD,Available,HT,,PLAIN,Inside College campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5502090156078 8.26510403305292, 77.5519979652017 8.26698099263012)"
10,36,,T,DC,26,35 - 36,287.9108782,3.93,108.797783,99°21'29''RT,8.266980993,77.55199797,GOOD,Available,"HT -2, LT",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5519979652017 8.26698099263012, 77.5537679716944 8.26465199701488)"
11,37,,T,DC,26,36 - 37,324.7563877,3.24,102.345108,11°2'53''LT,8.264651997,77.55376797,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5537679716944 8.26465199701488, 77.5543670263141 8.26411798596382)"
12,LILO : 38,3W,T,DC,26,37 - 38,90.11716329,2.31,98.242538,125°46'29''LT,8.264117986,77.55436703,GOOD,Available,,Railway,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5543670263141 8.26411798596382, 77.5541090313345 8.26169301755726)"
13,39,,S,DC,26,38 - 39,271.3531505,4.11,95.064133,,8.261693018,77.55410903,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5541090313345 8.26169301755726, 77.5538979750126 8.26007598079741)"
14,40,,T,DC,26,39 - 40,181.9495999,3.79,94.713852,169°15'42''RT,8.260075981,77.55389798,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5538979750126 8.26007598079741, 77.5539249647408 8.25961397029459)"
15,Gantry ( MUPPANDAL SS ),2W,T,H-POLE,26,40 - Gantry ,52.71318609,5.61,94.161949,,8.25961397,77.55392496,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
