,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV PULIYANKUDI ,2W,GANTRY,GANTRY,20,,,,218,,9.1615573,77.39114916,GOOD,,NO,,,SUBSTATION,2FEEDER ON THIS TOWER 1.NARNAPURAM                       2.N.M PATTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39114916 9.1615573, 77.39090392 9.1616041)"
2,T.NO-1,,DC,T,26,GANTRY-1,27.45906044,360,224,"25°54'49.10""",9.1616041,77.39090392,GOOD,MISSING,YES,,,INSIDE SS-PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39090392 9.1616041, 77.38984707 9.16132188)"
3,T.NO-2,,DD,T,28,01-Feb,120.3328717,2.23,221,"52°26'40.35""",9.16132188,77.38984707,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38984707 9.16132188, 77.38767541 9.16297201)"
4,T.NO-3,,DA,S,26,02-Mar,300.6010645,2.55,226,,9.16297201,77.38767541,GOOD,GOOD,NO,"11KV,LT",NALA,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38767541 9.16297201, 77.38551312 9.16466725)"
5,T.NO-4,,DD,T,28,03-Apr,302.8481468,2.74,229,"37°2'50.67""",9.16466725,77.38551312,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38551312 9.16466725, 77.38485674 9.16715689)"
6,T.NO-5,,DA,S,26,04-May,284.7823731,6.05,227,,9.16715689,77.38485674,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38485674 9.16715689, 77.3842451 9.16953779)"
7,T.NO-6,,DA,S,26,05-Jun,271.9007172,1.69,225,,9.16953779,77.3842451,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3842451 9.16953779, 77.38358847 9.17199129)"
8,T.NO-7,,DA,S,26,06-Jul,280.9216973,4.76,221,,9.17199129,77.38358847,GOOD,GOOD,NO,"11KV,LT","MUDROAD,TAAR ROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38358847 9.17199129, 77.38309161 9.1738563)"
9,T.NO-8,,DA,S,26,07-Aug,213.475994,6.26,219,,9.1738563,77.38309161,GOOD,GOOD,NO,2nos LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38309161 9.1738563, 77.38242545 9.1762466)"
10,T.NO-9,2W,DC,T,26,08-Sep,274.4467161,2.58,219,"29°39'51.37""",9.1762466,77.38242545,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38242545 9.1762466, 77.38282708 9.17782552)"
