S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 34,3W,T,DC,26,,,2.49,FALSE,162.380188,,9.985444444,78.12213889,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12213888888888 9.985444444444443, 78.12352777777777 9.985527777777778)"
2,34/1,,S,DA,26,34LILO-34/1,152.7156856,2.42,FALSE,157.170212,,9.985527778,78.12352778,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12352777777777 9.985527777777778, 78.12549999999999 9.985777777777777)"
3,34/2,,S,DA,26,34/1-34/2,219.6172703,2.66,FALSE,156.922699,,9.985777778,78.1255,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12549999999999 9.985777777777777, 78.12763888888888 9.986027777777776)"
4,34/3,,S,DA,26,34/2-34/3,236.4878361,2.34,FALSE,159.446121,,9.986027778,78.12763889,GOOD,Available,LT -2NO,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12763888888888 9.986027777777776, 78.13002777777777 9.986333333333333)"
5,34/4,,T,DC,26,34/3-34/4,265.0797632,1.95,FALSE,159.256622,"53°49'49"" R",9.986333333,78.13002778,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13002777777777 9.986333333333333, 78.1313611111111 9.984944444444444)"
6,34/5,,S,DA,26,34/4-34/5,212.385622,4.97,FALSE,155.67923,,9.984944444,78.13136111,GOOD,Available,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1313611111111 9.984944444444444, 78.13272222222221 9.9835)"
7,34/6,,S,DA,26,34/5-34/6,217.6843258,7.17,FALSE,151.755737,,9.9835,78.13272222,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13272222222221 9.9835, 78.13452777777779 9.98163888888889)"
8,34/7,,S,DA,26,34/6-34/7,286.3165549,10.13,FALSE,151.681519,,9.981638889,78.13452778,GOOD,Available,HT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13452777777779 9.98163888888889, 78.13622222222223 9.98)"
9,34/8,,S,DA,26,34/7-34/8,259.0510852,1.41,FALSE,150.458054,,9.98,78.13622222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13622222222223 9.98, 78.13783333333333 9.978333333333333)"
10,34/9,,S,DA,26,34/8-34/9,255.7476949,6.21,FALSE,153.374191,,9.978333333,78.13783333,GOOD,Available,LT,ST Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13783333333333 9.978333333333333, 78.13958333333333 9.976611111111112)"
11,34/10,,T,DC,26,34/9-34/10,272.2265193,9.35,FALSE,149.599258,"28°9'29"" R",9.976611111,78.13958333,GOOD,Available,"HT,LT -2NO",ST Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13958333333333 9.976611111111112, 78.13972222222223 9.976194444444445)"
12,Gantry     (Tirupalai SS),,Gantry,H - POLE,12,34/10-Gantry,47.01476889,,,151.072006,,9.976194444,78.13972222,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
