SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER Tower No,SPAN LENGTH,GROUND ELEVATION,,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),EARTH FOOTING RESIDENCE OF TOWER (OHMS),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry(Vallioor),2W,T,-----,-----,13,------,------,------,,8.400738,77.58953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58953 8.400738, 77.58931 8.401003)"
2,T.No-1,,T,"07°12'17""LT",DD+0,22, Gantry - T1,38.03797119,124,,8.401003,77.58931,Good,No Earthwire,Nill,Nill,Plain,2.73,No Earth wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58931 8.401003, 77.58813 8.402104)"
3,T.No-2,,S,,DA+0,24,T1-T2,178.306234,124,,8.402104,77.58813,Good,Good,11KV-1,,Plain,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58813 8.402104, 77.58688 8.403297)"
4,T.No-3,,S,,DA+0,24,T2-T3,190.6112573,125,,8.403297,77.58688,Good,Good,Nill,,Plain,1.59,T.NO-1 TO 4 Double circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58688 8.403297, 77.58556 8.404542)"
5,T.No-4 LILO  (110kv Vallioor to Nanguneri sez),3W,T,"12°27'13""LT",DB+0,22,T3-T4,200.1482119,129,,8.404542,77.58556,Good,Good,Nill,Nill,Plain,1.78,LILO TOWER (VALLIYUR TO NANGUNERI SEZ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58556 8.404542, 77.5853 8.403209)"
6,T.No-5,,S,,SA+3,27,T4-T5,150.3841711,127,,8.403209,77.5853,Good,Good,"11KV-1, LT-1",Nill,Plain,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5853 8.403209, 77.58484 8.400669)"
7,T.No-6,,S,,SA+0,24,T5-T6,285.5293003,125,,8.400669,77.58484,Good,Good,LT-1,SH-1(Vallioor-Rajapudur),Plain,1.8,Residence area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58484 8.400669, 77.58434 8.397973)"
8,T.No-7,,S,,SA+3,27,T6-T7,303.3706906,134,,8.397973,77.58434,Good,Good,"11KV-1, LT-1",Nala,water logged ,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58434 8.397973, 77.58388 8.395375)"
9,T.No-8,,S,,SA+0,24,T7-T8,291.9415718,134,,8.395375,77.58388,Good,Good,Nill,Nill,Plain,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58388 8.395375, 77.5834 8.392762)"
10,T.No-9,,S,,SA+0,24,T8-T9,294.0678443,129,,8.392762,77.5834,Good,Good,Nill,Nill,Agri land,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5834 8.392762, 77.58289 8.390164)"
11,T.No-10,,S,,SA+3,27,T9-T10,292.9422818,130,,8.390164,77.58289,Good,Good,"11KV-1, LT-1",cart track,Plain,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58289 8.390164, 77.58247 8.38784)"
12,T.No-11,,S,,SA+0,24,T10-T11,261.3896684,130,,8.38784,77.58247,Good,Good,Nill,Nill,Agri land,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58247 8.38784, 77.58206 8.385471)"
13,T.No-12,,S,,SA+0,24,T11-T12,265.9679094,128,,8.385471,77.58206,Good,Good,Nill,Nill,Plain,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58206 8.385471, 77.58163 8.382853)"
14,T.No-13,,S,,SA+0,24,T12-T13,293.6319409,127,,8.382853,77.58163,Good,Good,Nill,Nill,Plain,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58163 8.382853, 77.58127 8.380782)"
15,T.No-14,,S,,SA+3,27,T13-T14,232.463236,127,,8.380782,77.58127,Good,Good,"LT-1, 33KV-1",cart track,Plain,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58127 8.380782, 77.58084 8.378681)"
16,T.No-15,,S,,SA+0,24,T14-T15,237.3907382,128,,8.378681,77.58084,Good,Good,Nill,Nill,Agri land,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58084 8.378681, 77.58048 8.376506)"
