S.NO,TOWER NO,Joint Box,TOWER S/T,DEVIATION ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
0,32,3W,T(LILO),"90°98'53""LT",KCR (LILO),24,,,40.88,9,8.861219026,78.13530441,AVAILABLE,,,PLAIN LAND,"DC line, plain land,  LILO to Arasaradi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13530441 8.861219026, 78.13530441 8.8626452)"
1,1,,T,,KCR,24,T32-T1,30,41.09,9,8.8626452,78.13530441,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13530441 8.8626452, 78.13440587 8.863577029)"
2,2,,T,"26°80'66""LT",HCR+3,23.94,T1 -T 2,279.1291186,41.56,8,8.863577029,78.13440587,AVAILABLE,,"BUND, ROAD",WATER LOGGED AREA,"DC line,bund, mud road, water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13440587 8.863577029, 78.13358881 8.866125498)"
3,3,,T,"11°19'83""LT",HCR,21.94,T2-T3,296.0904988,37.54,7,8.866125498,78.13358881,AVAILABLE,,"POND, BUND",WATER LOGGED AREA,"DC line, pond, bund,waterl LOGGED land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13358881 8.866125498, 78.13399315 8.868664674)"
4,4,,T,"24°26'34""RT",HCR,21.94,T3-T4,284.5710487,38.99,9,8.868664674,78.13399315,AVAILABLE,,CART TRACK,PLAIN LAND,"DC line, cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13399315 8.868664674, 78.13477971 8.870791075)"
4,5,,T,"02°28'03""RT",HCR,21.94,T4-T5,250.7987309,37.54,10,8.870791075,78.13477971,AVAILABLE,,,PLAIN LAND,"DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13477971 8.870791075, 78.13457251 8.872689885)"
3,6,,S,,GCR,23.64,T5-T6,211.4183924,42.98,,8.872689885,78.13457251,AVAILABLE,,,PLAIN LAND,"DC line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13457251 8.872689885, 78.13427579 8.874737091)"
3,7,,S,,GCR,23.64,T6-T7,228.9516683,37.98,9,8.874737091,78.13427579,AVAILABLE,,,PLAIN LAND,"DC line,  Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13427579 8.874737091, 78.13418593 8.876148928)"
3,8,,T,"01°94'45""LT",HCR+3,23.94,T7-T8,156.5929748,41.98,9,8.876148928,78.13418593,AVAILABLE,22KV LINE,ROAD,PLAIN LAND,"ramaswaram ECR raod,22kv Line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13418593 8.876148928, 78.1341292709112 8.87830907394081)"
2,9,,T,"05°31'51""LT",HCR+3,23.94,T8-T9,239.1933074,40.14,9,8.878309074,78.13412927,AVAILABLE,11KV LINE,THAR ROAD,PLAIN LAND,"DC Line, thar road 11kv, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1341292709112 8.87830907394081, 78.1342432647943 8.88000677223627)"
