S.No,Tower No.,Join Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,15,,S,DA+3,29,14-15,284.1396931,3.52,FALSE,37.233883,,9.39525,78.39861111,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39861111111112 9.395249999999999, 78.39930555555556 9.393444444444444)"
16,16,,S,DA,26,15-16,213.887247,1.33,FALSE,36.399231,,9.393444444,78.39930556,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39930555555556 9.393444444444444, 78.39994444444446 9.39186111111111)"
17,17,2W,T,DB,25,16-17,189.0096262,0.58,FALSE,36.156368,"23°56'24""L",9.391861111,78.39994444,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39994444444446 9.39186111111111, 78.39983333333333 9.389888888888889)"
18,18,,S,DA,26,17-18,219.5717203,3.11,FALSE,35.860474,,9.389888889,78.39983333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39983333333333 9.389888888888889, 78.39975000000001 9.387472222222222)"
19,19,,S,DA,26,18-19,270,2.46,FALSE,35.147091,,9.387472222,78.39975,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39975000000001 9.387472222222222, 78.39966666666668 9.385083333333332)"
20,20,,S,DA,26,19-20,264,2.6,FALSE,36.611855,,9.385083333,78.39966667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39966666666668 9.385083333333332, 78.39958333333334 9.38263888888889)"
21,21,,S,DA,26,20-21,272.7237684,1.19,FALSE,34.992901,,9.382638889,78.39958333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39958333333334 9.38263888888889, 78.39947222222223 9.380305555555555)"
22,22,,T,DC,26,21-22,257.4404258,1.57,FALSE,34.132832,"29°44'24""R",9.380305556,78.39947222,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.39947222222223 9.380305555555555, 78.40044444444445 9.378444444444446)"
23,23,,S,DA+3,29,22-23,232.849439,4.3,FALSE,33.432602,,9.378444444,78.40044444,GOOD,Available,110 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40044444444445 9.378444444444446, 78.40158333333333 9.37625)"
24,24,,S,DA,26,23-24,273.0372711,1.72,FALSE,34.764744,,9.37625,78.40158333,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.40158333333333 9.37625, 78.40266666666668 9.374111111111112)"
