S.No,Tower No.,Join Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
78,78,,S,DA,26,77-78,265,0.89,FALSE,25.801266,,9.274194444,78.43697222,GOOD,NO E/W,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43697222222222 9.274194444444445, 78.4375 9.271805555555556)"
79,79,2W,T,DC,26,78-79,274,1.45,FALSE,26.609661,"45°47'60""R",9.271805556,78.4375,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4375 9.271805555555556, 78.43961111111112 9.270472222222223)"
80,80,,S,DA,26,79-80,275.0831515,1.32,0,26.440254,,9.270472222,78.43961111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.43961111111112 9.270472222222223, 78.44180555555556 9.269111111111112)"
81,81,,S,DA,26,80-81,290,1.15,0,25.29212,,9.269111111,78.44180556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44180555555556 9.269111111111112, 78.44411111111111 9.267722222222224)"
82,82,,T,DB,25,81-82,297.1830947,1.1,FALSE,25.230642,"0°32'24""R",9.267722222,78.44411111,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44411111111111 9.267722222222224, 78.44622222222223 9.266472222222223)"
83,83,,S,DA,26,82-83,270.283133,1.7,FALSE,27.02565,,9.266472222,78.44622222,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44622222222223 9.266472222222223, 78.44841666666667 9.265194444444445)"
84,84,,S,DA,26,83-84,277.2078891,NIL,FALSE,27.939278,,9.265194444,78.44841667,GOOD,NO E/W,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44841666666667 9.265194444444445, 78.4505 9.263972222222222)"
85,85,,S,DA,26,84-85,270,NIL,FALSE,27.709091,,9.263972222,78.4505,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4505 9.263972222222222, 78.45269444444445 9.262694444444444)"
86,86,,T,DC,26,85-86,277.6370303,1.72,FALSE,27.184956,"68°55'48""L",9.262694444,78.45269444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45269444444445 9.262694444444444, 78.45233333333334 9.260555555555555)"
87,87,,S,DA,26,86-87,241.361261,0.65,FALSE,24.733616,,9.260555556,78.45233333,GOOD,Available,11KV,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45233333333334 9.260555555555555, 78.45197222222222 9.258416666666667)"
88,88,,S,DA,26,87-88,239.9169027,0.92,FALSE,25.577366,,9.258416667,78.45197222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45197222222222 9.258416666666667, 78.4516388888889 9.256583333333333)"
89,89,,S,DA,26,88-89,205.0683466,2.38,FALSE,23.181759,,9.256583333,78.45163889,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4516388888889 9.256583333333333, 78.45127777777778 9.25436111111111)"
90,90,,T,DC,25,89-90,250,1.76,FALSE,22.09663,"12°58'48""L",9.254361111,78.45127778,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45127777777778 9.25436111111111, 78.45027777777779 9.251944444444444)"
91,91,,S,DA,26,90-91,290,1.08,FALSE,22.735899,,9.251944444,78.45027778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45027777777779 9.251944444444444, 78.44933333333334 9.249666666666666)"
92,92,,S,DA,26,91-92,273.5689912,3.15,FALSE,23.281303,,9.249666667,78.44933333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44933333333334 9.249666666666666, 78.44841666666667 9.247416666666666)"
93,93,,T,DC,25,92-93,269.1058065,2.61,FALSE,24.127071,"5°19'48""R",9.247416667,78.44841667,GOOD,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44841666666667 9.247416666666666, 78.44811111111112 9.246388888888887)"
94,94,2W,T,DC,26,93-94,116.9397938,1.04,FALSE,25.153204,"61°1'48""R",9.246388889,78.44811111,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44811111111112 9.246388888888887, 78.44955555555556 9.244944444444444)"
95,95,,S,DA,26,94-95,223.8527904,0.87,FALSE,24.152941,,9.244944444,78.44955556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.44955555555556 9.244944444444444, 78.45125 9.243138888888888)"
96,96,,S,DA,26,95-96,273.1653503,2.45,FALSE,23.972616,,9.243138889,78.45125,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45125 9.243138888888888, 78.45244444444445 9.241999999999999)"
97,97,,T,DC,25,96-97,182.2905462,3.92,FALSE,24.453093,"28°53'24""R",9.242,78.45244444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45244444444445 9.241999999999999, 78.45472222222223 9.241388888888888)"
98,98,,S,DA,26,97-98,260.6706964,5.89,FALSE,22.258862,,9.241388889,78.45472222,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45472222222223 9.241388888888888, 78.45700000000001 9.240777777777778)"
99,99,,S,DA,26,98-99,259.3345538,1.9,FALSE,23.376945,,9.240777778,78.457,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45700000000001 9.240777777777778, 78.45930555555556 9.240138888888888)"
100,100,,S,DA,26,99-100,261.6240687,2.06,FALSE,22.317369,,9.240138889,78.45930556,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45930555555556 9.240138888888888, 78.46158333333334 9.239527777777777)"
101,101,,S,DA,26,100-101,260.3800048,6.31,FALSE,21.197155,,9.239527778,78.46158333,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46158333333334 9.239527777777777, 78.46369444444444 9.239055555555554)"
102,102,,T,DC,25,101-102,238.9789034,4.03,FALSE,22.301262,"7°46'12""R",9.239055556,78.46369444,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46369444444444 9.239055555555554, 78.4658888888889 9.23886111111111)"
103,103,,T,DC,25,102-103,242.9141139,2.01,FALSE,23.725626,"13°37'48""L",9.238861111,78.46588889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4658888888889 9.23886111111111, 78.46808333333334 9.238138888888889)"
104,104,,S,DA,26,103-104,253.4173047,4.51,FALSE,23.751743,,9.238138889,78.46808333,GOOD,NO E/W,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.46808333333334 9.238138888888889, 78.47038888888889 9.237416666666666)"
105,105,,S,DA,26,104-105,265.4269964,1.18,FALSE,23.870314,,9.237416667,78.47038889,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47038888888889 9.237416666666666, 78.47269444444444 9.236666666666666)"
106,106,,S,DA,26,105-106,266.6009367,1.33,FALSE,25.458221,,9.236666667,78.47269444,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47269444444444 9.236666666666666, 78.47494444444445 9.235888888888889)"
107,107,,S,DA,26,106-107,262.4596911,1.4,FALSE,25.452953,,9.235888889,78.47494444,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47494444444445 9.235888888888889, 78.47725 9.235138888888889)"
108,108,2W,T,DB,25,107-108,266.6463869,3.65,FALSE,25.423227,"19°34'12""L",9.235138889,78.47725,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47725 9.235138888888889, 78.47941666666667 9.2335)"
109,109,,S,DA+3,29,108-109,297.8338729,1.25,FALSE,26.987049,,9.2335,78.47941667,GOOD,Available,11 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.47941666666667 9.2335, 78.4816111111111 9.23188888888889)"
110,110,,S,DA,26,109-110,302.1113755,1.67,FALSE,25.866104,,9.231888889,78.48161111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4816111111111 9.23188888888889, 78.48369444444444 9.23038888888889)"
111,111,,S,DA,26,110-111,281.1002492,2.01,FALSE,26.756088,,9.230388889,78.48369444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48369444444444 9.23038888888889, 78.48613888888889 9.228555555555555)"
112,112,,T,DB,25,111-112,338.2631616,1.82,FALSE,25.720358,"21°10'12""R",9.228555556,78.48613889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48613888888889 9.228555555555555, 78.48811111111111 9.228)"
113,113,,S,DA,26,112-113,223.9848634,0.77,FALSE,25.652233,,9.228,78.48811111,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48811111111111 9.228, 78.48997222222222 9.227472222222222)"
114,114,,S,DA,26,113-114,212.6350535,1.12,0,25.724192,,9.227472222,78.48997222,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48997222222222 9.227472222222222, 78.49191666666667 9.226916666666666)"
115,115,,S,DA,26,114-115,222.4809022,1.36,FALSE,25.372507,,9.226916667,78.49191667,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49191666666667 9.226916666666666, 78.49405555555556 9.226333333333333)"
116,116,,T,DC+3,29,115-116,243.5646303,1.28,FALSE,24.497978,"2°58'48""R",9.226333333,78.49405556,GOOD,NO E/W,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49405555555556 9.226333333333333, 78.49636111111111 9.225833333333334)"
117,117,,T,DC,26,116-117,260.076091,3.78,FALSE,24.7981,"84°41'24""R",9.225833333,78.49636111,GOOD,Available,2-33KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49636111111111 9.225833333333334, 78.49641666666666 9.226027777777778)"
118,Gantry (kadaladi SS),2W,T,H-POLE,12,117-Gantry ,25,NIL,,24.61483,,9.226027778,78.49641667,GOOD,NO E/W,,,SS,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1.Shut down will be requried in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
