SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,PERUNGUDI,2W,,,,,,,,63,8.253900083,77.58450895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58450895 8.253900083, 77.58449536 8.254379361)"
1,16,,T,"78°15'05""LT",KC,24,PERUNGUDI GANTRY - T16,53.05998255,2.7,64,8.254379361,77.58449536,GOOD,NOT AVAILABLE,,,AGRI LAND,"DC LINE:  normal soil , PAZHAVOOR GANTRY - T16  Earth wire Not Available , SS Fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58449536 8.254379361, 77.58322936 8.254604346)"
2,17,,T,"15°17'05""LT",PB+3,23.85,T16-T17,141.767545,2.75,65,8.254604346,77.58322936,GOOD,AVAILABLE,"110KV SC LINE,11KV LINE-2Nos,LT LINE-2Nos",ROAD,AGRI LAND,"SC LINE    110 kv over head crossing , 1no Road , 2nos 11kv Line,2nos LT Line , normal soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58322936 8.254604346, 77.58164685 8.254461708)"
3,18,,T,"12°07'23""RT",PB,20.85,T17-T18,175.1688934,1.46,65,8.254461708,77.58164685,GOOD,AVAILABLE,"22KV LINE-3Nos,LT LINE",,AGRI LAND,"SC LINE   normal soil, 3 nos 22kv Line, 1no LT Line ,  cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58164685 8.254461708, 77.57950511 8.254721889)"
4,19,,T,"03°27'06""LT",PB,20.85,T18-T19,237.8541558,1.57,68,8.254721889,77.57950511,GOOD,AVAILABLE,,CART TRACK,AGRI LAND,"SC line  ,Normal soil ,cart tacrk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57950511 8.254721889, 77.5776574 8.254819804)"
5,20,,S,,PA,20.9,T19-T20,203.9779982,1.75,72,8.254819804,77.5776574,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE:  Normal soil, mango gardan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5776574 8.254819804, 77.5756481 8.254947591)"
6,21,,S,,PA,20.9,T20-T21,221.9559224,1.65,71,8.254947591,77.5756481,GOOD,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"SC LINE  Normal soil, 1nos LT , 1nos cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5756481 8.254947591, 77.57357105 8.255082347)"
7,22,,T,"09°40'10""LT",PB,20.85,T21-T22,229.4563052,1.78,72,8.255082347,77.57357105,GOOD,AVAILABLE,,Odai(NALA),AGRI LAND,"SC  Line   Normal soil ,Odai (nala),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57357105 8.255082347, 77.57159996 8.25486971)"
8,23,,T,"05°30'12""RT",PB,20.85,T22-T23,218.5622616,2.35,74,8.25486971,77.57159996,GOOD,AVAILABLE,"LT LINE-2Nos,11KV LINE -1No",,AGRI LAND,"SC line :  normal  soil , 2nos LT Line , 1 no 11 kv  Line,  cart track ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57159996 8.25486971, 77.57002518 8.254851156)"
9,24,,T,"15°54'58""LT",PB,20.85,T23-T24,173.6150523,1.42,73,8.254851156,77.57002518,GOOD,AVAILABLE,11KV LINE,CART TRACK,AGRI LAND,"SC LINE: Normal soil , 1 nos 11 kv Line , cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57002518 8.254851156, 77.56864384 8.254429139)"
