S. No ,Tower No,Supspension / Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,T,DD+0,26,T 9-T  10,120,2.8,"=IF(H16>15,0)",122.533562,34°31'15''RT,9.755957925500155,77.98209696616101,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98209696616101 9.755957925500155, 77.9827329849703 9.758422875513684)"
12,11,T,DD+0,26,T 10-T  11,284,1.52,"=IF(H17>15,0)",123.058426,57°59'5''RT,9.758422875513684,77.9827329849703,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9827329849703 9.758422875513684, 77.98394601399009 9.758805928392459)"
13,12,S,DA+0,28,T 11-T  12,142,4.73,"=IF(H18>15,0)",122.837256999999,,9.758805928392459,77.98394601399009,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98394601399009 9.758805928392459, 77.98613897130382 9.759489891517156)"
14,13,T,DC+9,35,T 12-T  13,255,1.74,"=IF(H19>15,0)",123.910103,16°22'56''RT,9.759489891517156,77.98613897130382,Good,Good,,Near By Arasapatti Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98613897130382 9.759489891517156, 77.98737697839475 9.759512857836445)"
15,14,T,DC+9,35,T 13-T  14,138,1.72,"=IF(H20>15,0)",124.630913,9°52'50''RT,9.759512857836445,77.98737697839475,Good,Good,,Railway Crossing (Electric),Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98737697839475 9.759512857836445, 77.98976397676542 9.759145897936099)"
16,15,S,DA+0,28,T 14-T  15,268,14.04,"=IF(H21>15,0)",124.987990999999,,9.759145897936099,77.98976397676542,Good,Good,LT,"Road, Kallanai",Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98976397676542 9.759145897936099, 77.9919769668273 9.758783883371212)"
17,16,S,DA+0,28,T 15-T  16,249,15.69,"=IF(H22>15,0)",124.899413999999,,9.758783883371212,77.9919769668273,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9919769668273 9.758783883371212, 77.99411301101841 9.758444919045859)"
18,17,S,DA+0,28,T 16-T  17,240,9.72,"=IF(H23>15,0)",125.177696,,9.758444919045859,77.99411301101841,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99411301101841 9.758444919045859, 77.99624302023933 9.758094890607923)"
19,18,S,DA+0,28,T 17-T  18,240,5.49,"=IF(H24>15,0)",124.300201,,9.758094890607923,77.99624302023933,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99624302023933 9.758094890607923, 77.99838300392484 9.757754920453277)"
20,19,S,DA+0,28,T 18-T  19,241,13.21,"=IF(H25>15,0)",126.551758,,9.757754920453277,77.99838300392484,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99838300392484 9.757754920453277, 78.00047002204019 9.757413860727326)"
