S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Thiruvadanai SS),Gantry,Gantry,12,,,,,30.897648,,9.796666666666667,78.89355555555557,GOOD,,,,SS,Concrete Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89355555555557 9.796666666666667, 78.89344444444446 9.7965)"
2,1,T,DC,26,Gantry - 1,25,1.14,"=IF(H7>15,0)",29.91881,"33°39'36""R",9.7965,78.89344444444446,GOOD,NO E/W,,,Plain,Common tower for Tiruvadanai - Ramnad ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89344444444446 9.7965, 78.89252777777779 9.796138888888889)"
3,2,T,SC+3,29,"=B7&"" - "" &B8",106.19832783808152,0.26,"=IF(H8>15,0)",29.2886449999999,"37°44'24""L",9.796138888888889,78.89252777777779,GOOD,Available,"HT , LT",Thiruvadanai main Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89252777777779 9.796138888888889, 78.89163888888889 9.794666666666666)"
4,3,T,SB,25,"=B8&"" - "" &B9",192,0.4,"=IF(H9>15,0)",31.126944,"18°34'12""R",9.794666666666666,78.89163888888889,GOOD,Available,LT,P.K.Mangalam Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89163888888889 9.794666666666666, 78.89005555555556 9.793277777777778)"
5,4,S,SA,26,"=B9&"" - "" &B10",234,0.27,"=IF(H10>15,0)",29.786854,,9.793277777777778,78.89005555555556,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89005555555556 9.793277777777778, 78.88869444444445 9.79213888888889)"
6,5,S,SA,26,"=B10&"" - "" &B11",194.1781376171418,0.3,"=IF(H11>15,0)",29.071081,,9.79213888888889,78.88869444444445,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88869444444445 9.79213888888889, 78.8871388888889 9.790861111111111)"
7,6,S,SA+3,29,"=B11&"" - "" &B12",223.1617247873871,0.41,"=IF(H12>15,0)",29.1299099999999,,9.790861111111111,78.8871388888889,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8871388888889 9.790861111111111, 78.88572222222223 9.789666666666667)"
8,7,T,SC+3,29,"=B12&"" - "" &B13",205.33485520457918,5.38,"=IF(H13>15,0)",31.7917039999999,"32°49'48""L",9.789666666666667,78.88572222222223,GOOD,Available,LT,C.R.Mangalam Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88572222222223 9.789666666666667, 78.88508333333334 9.787527777777777)"
9,8,S,SA,26,"=B13&"" - "" &B14",246.1130160461755,0.3,"=IF(H14>15,0)",30.472902,,9.787527777777777,78.88508333333334,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88508333333334 9.787527777777777, 78.88447222222223 9.785444444444444)"
10,9,S,SA,26,"=B14&"" - "" &B15",238.8591063620356,1.09,"=IF(H15>15,0)",34.228439,,9.785444444444444,78.88447222222223,GOOD,Available,HT,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88447222222223 9.785444444444444, 78.88386111111112 9.783416666666666)"
