S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,21,,S,SA,22,20-21,206.0642092,2.72,FALSE,10.694227,,9.213027778,78.66255556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66255555555556 9.213027777777777, 78.66469444444445 9.213249999999999)"
23,22,,S,SA,22,21-22,236.5677873,3.12,FALSE,11.23061,,9.21325,78.66469444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66469444444445 9.213249999999999, 78.66675000000001 9.213444444444443)"
24,23,,S,SA,22,22-23,227.6010756,2.6,FALSE,12.492591,,9.213444444,78.66675,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66675000000001 9.213444444444443, 78.66883333333334 9.213694444444444)"
25,24,,T,SB,21,23-24,229.1390115,1.32,FALSE,12.090038,"16°11'24""R",9.213694444,78.66883333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66883333333334 9.213694444444444, 78.67147222222222 9.214749999999999)"
26,25,,S,SA,22,24-25,313.4284717,0.92,FALSE,12.363815,,9.21475,78.67147222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67147222222222 9.214749999999999, 78.67405555555555 9.215805555555555)"
27,26,,S,SA,22,25-26,308.3713231,4.12,FALSE,13.131844,,9.215805556,78.67405556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67405555555555 9.215805555555555, 78.67644444444444 9.216777777777779)"
28,27,,T,SC,22,26-27,284.1700924,1.5,FALSE,12.918056,"34°38'60""R",9.216777778,78.67644444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67644444444444 9.216777777777779, 78.67805555555556 9.21925)"
29,28,,T,SB,21,27-28,325.8738331,1.18,FALSE,17.662912,"25°27'36""L",9.21925,78.67805556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67805555555556 9.21925, 78.68008333333334 9.2205)"
30,29,,S,SA,22,28-29,261.3417811,0.72,FALSE,18.49292,,9.2205,78.68008333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.68008333333334 9.2205, 78.6821388888889 9.221666666666668)"
31,30,,S,SA,22,29-30,260.5360091,1.27,FALSE,18.721813,,9.221666667,78.68213889,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6821388888889 9.221666666666668, 78.68366666666667 9.222583333333333)"
