S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model ,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 LILO,3W,T,KCR,DB+0,22,,,0.45,FALSE,287,,10.44793334,78.06839998,Good,Good,,,PLAIN,LILO SEMPATTI TO TRICHY UPTO AYYALUR  LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0683999788016 10.4479333385825, 78.0696000158786 10.4471333697438)"
2,2,,T,KCR,B+0,22,1 LILO-2,163,0.47,FALSE,286,1°27'29''RT,10.44713337,78.06960002,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0696000158786 10.4471333697438, 78.0710500013083 10.4461500048637)"
3,3,,S,KCR,A+0,24,02-Mar,197,0.3,FALSE,286,,10.44615,78.07105,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0710500013083 10.4461500048637, 78.0730333272367 10.4447666555643)"
4,4,,S,KCR,A+0,24,03-Apr,270,0.58,FALSE,277,,10.44476666,78.07303333,Good,Good,22KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0730333272367 10.4447666555643, 78.0746999848634 10.4436166584491)"
5,5,,T,KCR,B+0,22,04-May,227,1.45,FALSE,300,8°23'39''LT,10.44361666,78.07469998,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0746999848634 10.4436166584491, 78.0771666951477 10.4424000252038)"
6,6,,S,KCR,A+0,24,05-Jun,307,1.09,FALSE,287,,10.44240003,78.0771667,Good,Good,22KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0771666951477 10.4424000252038, 78.0796166416257 10.4411999881267)"
7,7,,T,KCR,B+0,22,06-Jul,304,0.8,FALSE,292,8°54'31''LT,10.44119999,78.07961664,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0796166416257 10.4411999881267, 78.0818166397511 10.4405166953802)"
8,8,,T,KCR,D+0,24,07-Aug,257,1.2,FALSE,291,53°55'59''LT,10.4405167,78.08181664,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0818166397511 10.4405166953802, 78.0840000417083 10.4421166330575)"
9,9,,T,KCR,B+0,22,08-Sep,302,1.54,FALSE,289,6°20'17''LT,10.44211663,78.08400004,Good,Good,2-22KV,ROAD,PLAIN,SAKTHI WEAVING MILL INSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0840000417083 10.4421166330575, 78.08583333157 10.4437999706715)"
10,10,,T,KCR,D+0,24,09-Oct,279,1.17,0,274,42°20'13''RT,10.44379997,78.08583333,Good,Good,2-22KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08583333157 10.4437999706715, 78.0877166613936 10.4438166506588)"
11,11,,T,KCR,B+0,22,10-Nov,211,0.95,FALSE,291,20°5'54''RT,10.44381665,78.08771666,Good,Good,22KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0877166613936 10.4438166506588, 78.0903666839003 10.4428833257406)"
12,12,,T,KCR,B+0,22,11-Dec,313,1.2,FALSE,287,1°52'1''LT,10.44288333,78.09036668,Good,Good,22KV,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0903666839003 10.4428833257406, 78.0930000264197 10.4420000407844)"
13,13,,T,KCR,B+0,22,Dec-13,309,0.06,FALSE,294,16°32'20''LT,10.44200004,78.09300003,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0930000264197 10.4420000407844, 78.093337 10.441919)"
14,VADAMADURAI GANTRY,2W,T,KCR,GANTRY,12,13-VADAMADURAI GANTRY,54,NIL,,295,,10.441919,78.093337,Good,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL KM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
