S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, LILO : 27/ 1,3W,T,DC,26,,,∞,FALSE,154.533051,,9.984055556,78.10725,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10725 9.984055555555555, 78.1073611111111 9.982555555555555)"
2,27-Feb,,T,DC,26,46169 - 46200,165.6367684,∞,FALSE,151.482239,"18°16'7"" R",9.982555556,78.10736111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1073611111111 9.982555555555555, 78.10666666666665 9.979777777777779)"
3,27-Mar,,S,DA,26,46200 - 46230,317.9955124,∞,FALSE,151.401382,,9.979777778,78.10666667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10666666666665 9.979777777777779, 78.10583333333332 9.976638888888889)"
4,27-Apr,,S,DA,26,46230 - 46261,358.4177911,8.62,FALSE,154.550674,,9.976638889,78.10583333,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10583333333332 9.976638888888889, 78.10505555555555 9.973638888888889)"
5,27-May,,T,DC,26,46261 - 46292,342.7079119,14.05,0,149.976715,"36°17'58"" R",9.973638889,78.10505556,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10505555555555 9.973638888888889, 78.10275 9.971777777777778)"
6,27-Jun,,S,DA,26,46292 - Gantry                (Anaiyur SS),326.9623849,4.78,FALSE,150.353607,,9.971777778,78.10275,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10275 9.971777777777778, 78.1003611111111 9.969861111111111)"
7,27-Jul,,S,DA,26,Gantry                (Anaiyur SS) - ,336.3515018,5.75,FALSE,150.584641,,9.969861111,78.10036111,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1003611111111 9.969861111111111, 78.09808333333334 9.968083333333334)"
8,27-Aug,,S,DA,26, - ,318.6216395,6.28,FALSE,150.734955,,9.968083333,78.09808333,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09808333333334 9.968083333333334, 78.09697222222222 9.96713888888889)"
9,27-Sep,,T,DC,26, - ,160.7481489,∞,FALSE,147.822815,"11°47'48"" L",9.967138889,78.09697222,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09697222222222 9.96713888888889, 78.09672222222221 9.966805555555556)"
10,Gantry                (Anaiyur SS),2W,Gantry,HPOLE,12,27/9 - Gantry,46.51006295,,,157.934708,,9.966805556,78.09672222,GOOD,NO E/W,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
