S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry  (Alagarkoil SS),2W,Gantry,Gantry,12,    ,,0.26,FALSE,201.83757,,10.05291667,78.18872222,GOOD,NO E/W,,,Plain,Lamp Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18872222222222 10.052916666666667, 78.18902777777778 10.052833333333334)"
2,212,,T,DB,25,Gantry -212,36.34133622,Above 1000,FALSE,198.036026,"12°7'48""L",10.05283333,78.18902778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18902777777778 10.052833333333334, 78.18994444444445 10.05238888888889)"
3,211,,T,DB,25,212-211,110.5846135,1.7,FALSE,198.078049,"11°19'12""L",10.05238889,78.18994444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.18994444444445 10.05238888888889, 78.19091666666667 10.05163888888889)"
4,210,,T,DC,26,211-210,133.6754091,1.08,FALSE,197.107834,"55°50'24""L",10.05163889,78.19091667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19091666666667 10.05163888888889, 78.19077777777778 10.049583333333333)"
5,209,,T,DC,26,210-209,229.0324005,0.78,FALSE,192.130554,"41°52'48""R",10.04958333,78.19077778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19077777777778 10.049583333333333, 78.19194444444445 10.04813888888889)"
6,208,,S,DA,26,209-208,206.3458737,1.03,FALSE,190.064682,,10.04813889,78.19194444,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19194444444445 10.04813888888889, 78.19352777777779 10.046166666666666)"
7,207,,T,DB+3,28,208-207,278.7028388,4.98,FALSE,189.075577,"23°28'12""L",10.04616667,78.19352778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19352777777779 10.046166666666666, 78.19413888888889 10.043916666666666)"
8,206,,S,DA,26,207-206,257.6468602,0.56,FALSE,186.810303,,10.04391667,78.19413889,GOOD,Available,2-LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19413888888889 10.043916666666666, 78.19477777777779 10.041361111111112)"
9,205,,S,DA,26,206-205,290.0871378,0.86,FALSE,183.633209,,10.04136111,78.19477778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19477777777779 10.041361111111112, 78.19541666666667 10.039)"
10,204,,S,DA,26,205-204,271.9558116,2.26,FALSE,182.221649,,10.039,78.19541667,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19541666666667 10.039, 78.19608333333333 10.036583333333333)"
11,203,,S,DA,26,204-203,276.1550964,3.87,FALSE,183.019577,,10.03658333,78.19608333,GOOD,Available,"2-LT,HT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19608333333333 10.036583333333333, 78.19672222222222 10.034138888888888)"
12,202,,T,DC+3,29,203-202,280.0979658,0.76,FALSE,182.727539,"45°19'48""R",10.03413889,78.19672222,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19672222222222 10.034138888888888, 78.19872222222223 10.033000000000001)"
13,201,,S,DA,26,202-201,253.7957844,5.04,FALSE,179.978088,,10.033,78.19872222,GOOD,Available,,Alagarkoil Main Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.19872222222223 10.033000000000001, 78.20108333333333 10.031666666666668)"
