SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO T.NO:97 FROM SATHANKULAM,3W,T,,KC,24,Arumuganeri -SR.Puthur LILO  (T1),,30.05,42,8.332896464,77.72556514,AVAILABLE,,,Agri Land,"Dc Line,Agri land, KUDANKULAM LILO T.NO:97 FROM SATHANKULAM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72556513980476 8.332896464370044, 77.72566672076373 8.33255477229324)"
2,2,,T,"13°45'51""RT",HC,21.94,T1-T2,39.44005432,30.02,42,8.332554772,77.72566672,AVAILABLE,,,Plain Land,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72566672076373 8.33255477229324, 77.72576395257363 8.330454870723486)"
3,3,,S,,GC,23.62,T2-T3,232.6574748,30.78,40,8.330454871,77.72576395,AVAILABLE,Lt Line,"Well, Odai Bund",water logged area,"Dc Line,well, Lt Line,odai bund,water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72576395257363 8.330454870723486, 77.72587962891 8.32784640447208)"
4,4,,S,,GC+3,26.62,T3-T4,288.9782708,36.73,40,8.327846404,77.72587963,AVAILABLE,Lt Line-2Nos,Road,Agri Land,"Dc Line,Lt Line-2Nos,Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72587962891 8.32784640447208, 77.7260301593555 8.325242568325098)"
5,5,,S,,GC+3,26.62,T4-T5,288.661581,33.12,39,8.325242568,77.72603016,AVAILABLE,11kv Line,Odai bund,Plain Land,"Dc Line,11kv Line,Odai bund,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7260301593555 8.325242568325098, 77.72613711412515 8.32253282023433)"
6,6,,S,,GC,23.62,T5-T6,300.1380509,42.4,38,8.32253282,77.72613711,AVAILABLE,Lt Line,,Agri Land,"Dc Line,Lt line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72613711412515 8.32253282023433, 77.72625245392778 8.319930329387397)"
7,7,,S,,GC,23.62,T6-T7,288.315938,34.6,37,8.319930329,77.72625245,AVAILABLE,,,Plain Land,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72625245392778 8.319930329387397, 77.72638085825946 8.317327432509465)"
8,8,,S,,GC+3,26.62,T7-T8,288.4278834,32.38,35,8.317327433,77.72638086,AVAILABLE,33KV Line,Odai bund,Plain Land,"Dc Line,Odai bund,33kv Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72638085825946 8.317327432509465, 77.72651933397455 8.314743919992372)"
9,9,,T,"0°49'43""RT",HC+3,24.94,T8-T9,286.3420997,30.2,34,8.31474392,77.72651933,AVAILABLE,,,water logged area,"Dc Line,Water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72651933397455 8.314743919992372, 77.72659141494817 8.311938130193376)"
10,10,,S,,GC,23.62,T9-T10,310.6377178,38.4,35,8.31193813,77.72659141,AVAILABLE,,,Plain Land,"Dc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72659141494817 8.311938130193376, 77.72668764083575 8.309182240069312)"
11,11,,S,,GC+3,26.62,T10-T11,305.1976447,34.08,36,8.30918224,77.72668764,AVAILABLE,33KV Line,"Cart track,Road",Plain Land,"Dc Line,33kv line,cart track,Road,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72668764083575 8.309182240069312, 77.7267758194915 8.306442588028077)"
