S. No ,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 110KV SEITHUR,2W,GANTRY,GANTRY,,,,,174,,9.39965567,77.48435003,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48435003 9.39965567, 77.48439701 9.39986318)"
2,T.NO-30,,DD,T,28,GANTRY-30,23.53720459,3.64,169,"39°29'27.05""",9.39986318,77.48439701,GOOD,MISSING,YES,,,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48439701 9.39986318, 77.48625456 9.40129599)"
3,T.NO-29,,DC,T,26,30-29,258.4743701,2.83,175,"27°43'46.52""",9.40129599,77.48625456,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48625456 9.40129599, 77.48866003 9.40172184)"
4,T.NO-28,,DA,S,26,29-28,268.5088453,3.72,179,,9.40172184,77.48866003,GOOD,GOOD,NO,"2nos LT,33KV",TAAR ROAD,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48866003 9.40172184, 77.49067331 9.40202393)"
5,T.NO-27,,DA,S,26,28-27,223.7543296,4.16,178,,9.40202393,77.49067331,GOOD,GOOD,NO,"3nos LT,11KV","MUDROAD,TAAR ROAD",PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49067331 9.40202393, 77.49314203 9.40238604)"
6,T.NO-26,,DB,T,24,27-26,274.2353004,3.81,170,"0°7'55.42""",9.40238604,77.49314203,GOOD,GOOD,NO,LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49314203 9.40238604, 77.49574744 9.40277428)"
7,T.NO-25,,DA,S,26,26-25,289.5185659,4.1,167,,9.40277428,77.49574744,GOOD,GOOD,NO,11KV,,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49574744 9.40277428, 77.49803404 9.40311957)"
8,T.NO-24,,DC,T,26,25-24,254.1672678,3.14,166,"28°55'36.62""",9.40311957,77.49803404,GOOD,GOOD,NO,,POND,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49803404 9.40311957, 77.49954068 9.4025667)"
9,T.NO-23,,DD,T,28,24-23,176.5106229,2.69,168,"33°25'19.13""",9.4025667,77.49954068,GOOD,GOOD,NO,LT,,PLAINLAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49954068 9.4025667, 77.50104577 9.40053182)"
10,T.NO-22,,DD,T,28,23-22,279.4011453,1.92,164,"52°6'37.90""",9.40053182,77.50104577,GOOD,GOOD,NO,"2nos LT,11KV",TAAR ROAD,INSIDE POND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50104577 9.40053182, 77.50324753 9.40047103)"
11,T.NO-21,,DA,S,26,22-21,242.0516474,4.06,166,,9.40047103,77.50324753,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50324753 9.40047103, 77.50575802 9.40031767)"
12,T.NO-20,,DA,S,26,21-20,276.4073082,4.24,168,,9.40031767,77.50575802,GOOD,GOOD,NO,LT,,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50575802 9.40031767, 77.50860544 9.40019805)"
13,T.NO-19,,DB,T,24,20-19,313.1932311,4.01,164,"8°15'33.30""",9.40019805,77.50860544,GOOD,GOOD,NO,3nos LT,,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50860544 9.40019805, 77.51064222 9.39997573)"
14,T.NO-18,,DA,S,26,19-18,225.1777076,4.48,164,,9.39997573,77.51064222,GOOD,GOOD,NO,11KV,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51064222 9.39997573, 77.51253347 9.39976347)"
15,T.NO-17,2W,DB,T,24,18-17,209.1602257,4.23,164,"8°15'33.30""",9.39976347,77.51253347,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51253347 9.39976347, 77.51464512 9.39982976)"
16,T.NO-16,,DA,S,26,17-16,232.1745033,2.73,161,,9.39982976,77.51464512,GOOD,GOOD,NO,"LT,11KV",,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51464512 9.39982976, 77.5175674 9.3999987)"
17,T.NO-15,,DA,S,26,16-15,321.6861825,6.09,158,,9.3999987,77.5175674,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5175674 9.3999987, 77.52008885 9.40010722)"
18,T.NO-14,,DC,T,26,15-14,277.353565,4.47,155,"23°2'56.19""",9.40010722,77.52008885,GOOD,GOOD,NO,"LT,11KV",2nos MUDROAD,PLAINLAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52008885 9.40010722, 77.52110242 9.40058796)"
19,T.NO-13,,DC,T,26,14-13,123.4382437,3.53,155,"20°29'26.68""",9.40058796,77.52110242,GOOD,GOOD,NO,2nos 11KV,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52110242 9.40058796, 77.52329687 9.40078012)"
20,T.NO-12,,DA,S,26,13-Dec,242.0950227,2.94,155,,9.40078012,77.52329687,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52329687 9.40078012, 77.52558213 9.40094451)"
21,T.NO-11,,DA,S,26,12-Nov,251.795552,1.46,154,,9.40094451,77.52558213,GOOD,GOOD,NO,"11KV,2nos LT",,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52558213 9.40094451, 77.52794031 9.40112643)"
22,T.NO-10,,DA,S,26,11-Oct,259.9326836,3.1,153,,9.40112643,77.52794031,GOOD,GOOD,NO,,,PLAINLAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52794031 9.40112643, 77.53040748 9.40128045)"
23,T.NO-9,,DA,S,26,10-Sep,271.6652352,2.1,151,,9.40128045,77.53040748,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53040748 9.40128045, 77.53233759 9.40141119)"
24,T.NO-8,,DB,T,24,09-Aug,212.6029163,2.75,151,"8°5'45.03""",9.40141119,77.53233759,GOOD,GOOD,NO,,,PLAINLAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53233759 9.40141119, 77.53536622 9.40119065)"
25,T.NO-7,,DA,S,26,08-Jul,333.7259355,1.85,148,,9.40119065,77.53536622,GOOD,GOOD,NO,,,PLAINLAND,"BUSHES,INSIDE POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53536622 9.40119065, 77.53737624 9.40104969)"
26,T.NO-6,,DA,S,26,07-Jun,221.4429949,INSIDE POND,146,,9.40104969,77.53737624,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53737624 9.40104969, 77.53954991 9.40088948)"
27,T.NO-5,,DA,S,26,06-May,239.5349661,INSIDE POND,144,,9.40088948,77.53954991,GOOD,GOOD,NO,,,WATER LOGGED,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53954991 9.40088948, 77.54201449 9.40069101)"
28,T.NO-4,,DA,S,26,05-Apr,271.7370052,1.73,146,,9.40069101,77.54201449,GOOD,GOOD,NO,LT,POND,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54201449 9.40069101, 77.54423365 9.40053044)"
