SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,32/1,3W,T(LILO),"104°92'32""LT",KCR (LILO),26.24,32/1,142.8131024,42.35,21,8.87763993,78.08345295,AVAILABLE,,,PLAIN LAND,"DC Line,  yeppothum vendaran to sipcot 230 kv ss  LILO plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0834529548883 8.87763993020972, 78.0830898508429 8.87893349656898)"
2,33,,T,"72°09'15""LT",PC,21.65,T32/1 - T33,293.8158748,41.77,23,8.878933497,78.08308985,NOT AVAILABLE,,,PLAIN LAND,"SC line :  rain water convesting,plain land,T.No.39 to T.No.40  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0830898508429 8.87893349656898, 78.0825698375701 8.88153684714692)"
6,34,,S,,PA,20.9,T33-T34,281.5154235,42.65,22,8.881536847,78.08256984,NOT AVAILABLE,,,PLAIN LAND,"SC line,  plain land, T.No.40to T.No.41  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0825698375701 8.88153684714692, 78.0821601301431 8.88404709693824)"
6,35,,S,,PA,20.9,T34-T35,281.1599436,39.99,23,8.884047097,78.08216013,NOT AVAILABLE,,NALA,PLAIN LAND,"SC line : nala, Palin land, T.No.41 to T.No.42  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0821601301431 8.88404709693824, 78.0816565454006 8.8865371231956)"
6,36,,S,,PA,20.9,T35-T36,287.9200245,39.34,24,8.886537123,78.08165655,NOT AVAILABLE,33KV LINE,CART TRACK- 2NOS,PLAIN LAND,"SC line 2nos cart Track, 33kv line, plain land,T.No.42 to T.No.43  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0816565454006 8.8865371231956, 78.0811667069792 8.88909205738732)"
5,37,,S,,PA,20.9,T36-T37,282.7789273,43.99,26,8.889092057,78.08116671,NOT AVAILABLE,,,PLAIN LAND,"SC line : plain land,T.No.43 to T.No.44  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0811667069792 8.88909205738732, 78.0807251483202 8.89160854911623)"
5,38,,S,,PA,20.9,T37-T38,272.1193637,37.76,24,8.891608549,78.08072515,NOT AVAILABLE,,,PLAIN LAND,"SC line : plain land, T.No.44 to T.No.45  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0807251483202 8.89160854911623, 78.0802933126688 8.89402896258561)"
5,39,2W,S,,PA,20.9,T38-T39,281.1814364,42.65,24,8.894028963,78.08029331,NOT AVAILABLE,,,PLAIN LAND,"SC line :  plain land,T.No.45 to T.No.46  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0802933126688 8.89402896258561, 78.0798034742474 8.89652190217025)"
4,40,,S,,PA,20.9,T39-T40,274.3288503,39.56,25,8.896521902,78.07980347,NOT AVAILABLE,33KV LINE,"NALA-2NOS, CART TRACK",PLAIN LAND,"SC line :  33kv line, 2nos nala , cart track, plain land, T.No.46 to T.No.473  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0798034742474 8.89652190217025, 78.0793401226401 8.89895685772796)"
4,41,,S,,PA,20.9,T40-T41,275.5892432,38.89,24,8.898956858,78.07934012,NOT AVAILABLE,,CART TRACK,PLAIN LAND,"SC line :  cart track, plain land, T.No.47 to T.No.48  erath wire is Not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0793401226401 8.89895685772796, 78.0789693072438 8.90141895860601)"
