S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,18,T,DC,26,17-18,216.4018425639948,16.8,"=IF(H24>15,0)",155.525528,"7°37'49"" L",9.979805555555556,78.08052777777777,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08052777777777 9.979805555555556, 78.08330555555555 9.980416666666667)"
20,19,S,DA,26,18-19,311.3012707600843,9.9,"=IF(H25>15,0)",152.114318999999,,9.980416666666667,78.08330555555555,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08330555555555 9.980416666666667, 78.08624999999999 9.981083333333334)"
21,20,S,DA,26,19-20,331.12244135143646,7.05,"=IF(H26>15,0)",158.135665999999,,9.981083333333334,78.08624999999999,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08624999999999 9.981083333333334, 78.08944444444444 9.981777777777777)"
22,21,S,DA,26,20-21,360.6193287836835,5.69,"=IF(H27>15,0)",156.267531999999,,9.981777777777777,78.08944444444444,GOOD,Available,LT,ST Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.08944444444444 9.981777777777777, 78.09183333333333 9.982305555555556)"
23,22,S,DA,26,21-22,266.93874863163103,2.62,"=IF(H28>15,0)",161.253447999999,,9.982305555555556,78.09183333333333,GOOD,Available,LT,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09183333333333 9.982305555555556, 78.09427777777778 9.98275)"
24,23,S,DA,26,22-23,272.4034044070759,0.96,"=IF(H29>15,0)",154.062041999999,,9.98275,78.09427777777778,GOOD,Available,LT,ST Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09427777777778 9.98275, 78.09713888888888 9.983388888888888)"
25,24,T,DC,26,23-24,321.5103833792643,Not taken,"=IF(H30>15,0)",158.624359,"8°20'21"" R",9.983388888888888,78.09713888888888,GOOD,Available,LT,ST Road,Paddy field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09713888888888 9.983388888888888, 78.09972222222221 9.983583333333332)"
26,25,S,DA,26,24-25,284.6189765840469,6.1,"=IF(H31>15,0)",153.866897999999,,9.983583333333332,78.09972222222221,GOOD,Available,LT,Madrurai - Alanganallur Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09972222222221 9.983583333333332, 78.10252777777777 9.983805555555556)"
27,26,S,DA,26,25-26,310.2161441165223,19.64,"=IF(H32>15,0)",158.486053,,9.983805555555556,78.10252777777777,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10252777777777 9.983805555555556, 78.10530555555555 9.984)"
28,27,S,DA,26,26-27,305.27784946474605,19.49,"=IF(H33>15,0)",155.692902,,9.984,78.10530555555555,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10530555555555 9.984, 78.10725 9.984055555555555)"
29, LILO : 01 ,T,DC,26,27- A01,212.64896698394082,∞,"=IF(H34>15,0)",154.533051,"7°37'50"" L",9.984055555555555,78.10725,GOOD,NO E/W,,,AGRI,LILO to Anaiyur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10725 9.984055555555555, 78.10805555555555 9.984194444444444)"
30,28,S,DA,26, A01 -28,89.73873294905106,∞,"=IF(H35>15,0)",157.28125,,9.984194444444444,78.10805555555555,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10805555555555 9.984194444444444, 78.11097222222222 9.984416666666666)"
31,29,S,DA,26,28-29,322.48688144355725,3.24,"=IF(H36>15,0)",150.760009999999,,9.984416666666666,78.11097222222222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11097222222222 9.984416666666666, 78.11380555555554 9.984638888888888)"
32,30,S,DA,26,29-30,309.7774107669218,3.7,"=IF(H37>15,0)",157.980529999999,,9.984638888888888,78.11380555555554,GOOD,Available,"HT ,LT -2NO",Street,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11380555555554 9.984638888888888, 78.11641666666667 9.984805555555555)"
33,31,S,DA,26,30-31,289.2275904901573,1.69,"=IF(H38>15,0)",164.920624,,9.984805555555555,78.11641666666667,GOOD,Available,LT - 3NO,Street,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11641666666667 9.984805555555555, 78.1185 9.984972222222222)"
