S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,83/16/1 LILO REDIYARCHATRAM,T,DB+0,22,,,3.16,"=IF(H6>15,0)",303.659912109375,,10.4386128298938,77.8410297073423,Good,Good,,,Plain, (LILO REDIYARCHATRAM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8410297073423 10.4386128298938, 77.841213690117 10.4371025785803)"
2,2,T,DB+0,22,1 LILO REDIYARCHATRAM-2,174,1.26,"=IF(H7>15,0)",299.093505859375,2°51'9''RT,10.4371025785803,77.841213690117,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.841213690117 10.4371025785803, 77.8413975052535 10.4353782534599)"
3,3,T,DD+0,24,2-3,197,3.66,"=IF(H8>15,0)",307.985717773437,63°10'27''LT,10.4353782534599,77.8413975052535,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8413975052535 10.4353782534599, 77.8425279725342 10.434953123331)"
4,4,T,DB+0,22,3-4,137,5.25,"=IF(H9>15,0)",298.13232421875,5°47'29''LT,10.434953123331,77.8425279725342,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8425279725342 10.434953123331, 77.8453082498162 10.4342150967568)"
5,5,T,DB+0,22,4-5,319,1.36,"=IF(H10>15,0)",293.08544921875,1°38'4''RT,10.4342150967568,77.8453082498162,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8453082498162 10.4342150967568, 77.8475469723343 10.4335525073111)"
6,6,T,DD+0,24,5-6,260,4.78,"=IF(H11>15,0)",294.046752929687,61°27'13''LT,10.4335525073111,77.8475469723343,Good,Good,22KV,MUD ROAD,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8475469723343 10.4335525073111, 77.8492097742855 10.4351873975247)"
7,7,T,DD+0,24,6-7,262,3.36,"=IF(H12>15,0)",286.356323242187,35°27'15''LT,10.4351873975247,77.8492097742855,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8492097742855 10.4351873975247, 77.8494777437299 10.4367327690124)"
8,83/16/8,T,DC+0,22,7-8,179,1.35,"=IF(H13>15,0)",306.063110351562,17°46'2''RT,10.4367327690124,77.8494777437299,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8494777437299 10.4367327690124, 77.8494528494775 10.4369492735713)"
9,REDIYARCHATRAM GANTRY,T,BAY,12,8-REDIYARCHATRAM GANTRY,29,NIL,,302,37°46'33''LT,10.4369492735713,77.8494528494775,NO E/W,Good,,,Plain,REDIYARCHATRAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TOTAL KM,,,=SUM(G6:G14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
