S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 192,3W,T,SC,26,,,,,329.563354,,10.52072296,77.65773299,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6577329915016 10.5207229591906, 77.6580339856445 10.5215189885348)"
2,192/1,,T,SC,26,192-192/1,103,5.01,FALSE,335.410706,"10°45'10"" L",10.52151899,77.65803399,GOOD,Available,,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6580339856445 10.5215189885348, 77.6584479678422 10.5239000357687)"
3,192/2,,S,SC,26,192/1-192/2,272.4136891,7.43,FALSE,331.506256,,10.52390004,77.65844797,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6584479678422 10.5239000357687, 77.6588939689099 10.5263400077819)"
4,192/3,,S,SC,26,192/2-192/3,279.4460073,2.91,FALSE,330.991486,,10.52634001,77.65889397,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6588939689099 10.5263400077819, 77.6592910196632 10.5285929795354)"
5,192/4,,S,SC,26,192/3-192/4,258.129512,4.8,FALSE,331.841217,,10.52859298,77.65929102,GOOD,Available,"LT, HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6592910196632 10.5285929795354, 77.6596940215677 10.5308550037443)"
6,192/5,,T,SC,26,192/4-192/5,259.2290431,5.27,FALSE,331.016083,"9°28'7"" R",10.530855,77.65969402,GOOD,NO E/W,,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6596940215677 10.5308550037443, 77.6603369973599 10.5326550174504)"
7,192/6,,T,SC,26,192/5-192/6,236,1.65,FALSE,329.73056,"3°7'48"" L",10.53265502,77.660337,GOOD,Available,,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6603369973599 10.5326550174504, 77.6612099725753 10.5356020107865)"
8,192/7,,S,SC,26,192/6-192/7,344.9077091,3.09,FALSE,328.813263,,10.53560201,77.66120997,GOOD,Available,"LT - 4NO, HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6612099725753 10.5356020107865, 77.6619459874928 10.5381080321967)"
9,192/8,,T,SC,26,192/7-192/8,293.851459,3.44,FALSE,327.309875,"4°33'8"" R",10.53810803,77.66194599,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6619459874928 10.5381080321967, 77.6628529932349 10.5404760036617)"
10,192/9,,S,SC,26,192/8-192/9,285.2896176,1.06,FALSE,326.920715,,10.540476,77.66285299,GOOD,Available,"LT, 400KV",,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6628529932349 10.5404760036617, 77.6638319995254 10.5430280417203)"
11,192/10,,S,SC,26,192/9-192/10,307.1351464,2.5,FALSE,325.139771,,10.54302804,77.663832,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6638319995254 10.5430280417203, 77.6647359877824 10.5454250145703)"
12,192/11,,S,SC,26,192/10-192/11,288.1777226,4.75,FALSE,325.123596,,10.54542501,77.66473599,GOOD,Available,230KV,Road,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6647359877824 10.5454250145703, 77.6656369585543 10.5478199757635)"
13,192/12,,S,SC,26,192/11-192/12,287.853633,5.38,FALSE,326.384949,,10.54781998,77.66563696,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6656369585543 10.5478199757635, 77.6664510089904 10.5499199777841)"
14,192/13,2W,T,SC,26,192/12-192/13,253.9486631,1.95,FALSE,325.330139,"27°27'24"" R",10.54991998,77.66645101,GOOD,Available,,Village Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6664510089904 10.5499199777841, 77.6662200037389 10.5522690061479)"
15,192/14,,S,SC,26,192/13-192/14,266.2275072,4.99,FALSE,324.002411,,10.55226901,77.66622,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6662200037389 10.5522690061479, 77.6659889984875 10.5545320361852)"
16,192/15,,S,SC,26,192/14-192/15,256.7552854,3.8,FALSE,321.693085,,10.55453204,77.665989,GOOD,Available,,Road,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6659889984875 10.5545320361852, 77.665709964931 10.5570829845964)"
17,192/16,,T,SC,26,192/15-192/16,288.9976893,2.1,FALSE,321.445984,"18°54'20"" L",10.55708298,77.66570996,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.665709964931 10.5570829845964, 77.6661630067974 10.5594070348888)"
