S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,136/1 LILO,3W,T,KCR,DB+0,22,,,1.24,FALSE,264.4863281,,10.1807823,77.76909278,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7690927777439 10.180782303214, 77.7679956704378 10.1826884318143)"
2,2,,S,GCR,DA+0,24,136/1 LILO-2,247.8806218,0.44,FALSE,259.920166,,10.18268843,77.76799567,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7679956704378 10.1826884318143, 77.7669226191937 10.1845636311918)"
3,3,,S,GCR,DA+0,24,02-Mar,243.6000845,0.47,FALSE,261.8427734,,10.18456363,77.76692262,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7669226191937 10.1845636311918, 77.7657566964626 10.1866224780678)"
4,4,,S,GCR,DA+0,24,03-Apr,266.3086346,34,FALSE,266.649292,,10.18662248,77.7657567,Good,Good,LT,"ROAD, ABOORVA SCHOOL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7657566964626 10.1866224780678, 77.7645335253328 10.1887143496423)"
5,5,,T,KCR,DB+0,22,04-May,272.5929693,1.31,FALSE,270.4946289,1°11'47''RT,10.18871435,77.76453353,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7645335253328 10.1887143496423, 77.7635308820754 10.1905146986246)"
6,6,,S,GCR,DA+0,24,05-Jun,232.5984583,4.48,FALSE,276.9835205,,10.1905147,77.76353088,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7635308820754 10.1905146986246, 77.7624865807592 10.19241604954)"
7,7,,S,GCR,DA+0,24,06-Jul,244.5976942,5.99,FALSE,282.2706299,,10.19241605,77.76248658,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7624865807592 10.19241604954, 77.7616382483392 10.1939451601356)"
8,8,,T,KCR,DB+0,22,07-Aug,198.135862,0.14,FALSE,288.2789307,1°33'2''RT,10.19394516,77.76163825,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7616382483392 10.1939451601356, 77.7605685498565 10.195917924866)"
9,9,,S,GCR,DA+0,24,08-Sep,252.874879,4.88,FALSE,288.2789307,,10.19591792,77.76056855,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7605685498565 10.195917924866, 77.7593183889985 10.1983084436506)"
10,10,,S,GCR,DA+0,24,09-Oct,303.0076771,10.39,FALSE,286.3563232,,10.19830844,77.75931839,Good,Good,,VATHALAKUNDU ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7593183889985 10.1983084436506, 77.7580299228429 10.2007091045379)"
