S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),"Ground Elevation
(m)","Deviation Angle
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,49 LILO,3W,T,,DB+0,25,,,5.47,301.2565918,,10.30629686,77.96661392,Good,,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9666139185428 10.3062968607991, 77.9673871491104 10.3059855569154)"
2,49/1,,T,,B+0,25,049/1 LILO-102,96,3.92,306.3034668,7°33'41''RT,10.30598556,77.96738715,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9673871491104 10.3059855569154, 77.96943702735 10.3048283513635)"
3,49/2,,S,,A+0,28,102-103,263,5.65,309.9083252,,10.30482835,77.96943703,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96943702735 10.3048283513635, 77.9715970437973 10.3036127239465)"
4,49/3,,T,,D+0,25,103-104,277,2.86,313.5133057,25°59'24''LT,10.30361272,77.97159704,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9715970437973 10.3036127239465, 77.9740678612142 10.3034579101949)"
5,49/4,,S,,A+0,28,104-105,275,3.15,320.2424316,,10.30345791,77.97406786,Good,Good,"22KV, LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9740678612142 10.3034579101949, 77.976382356137 10.3032937925308)"
6,49/5,,S,,A+0,28,105-106,258,3.98,320.2424316,,10.30329379,77.97638236,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.976382356137 10.3032937925308, 77.978919642046 10.3031127434223)"
7,49/6,,S,,A+0,28,106-107,283,4.1,324.0876465,,10.30311274,77.97891964,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.978919642046 10.3031127434223, 77.9814749490469 10.3029529843479)"
8,49/7,,T,,B+0,25,107-108,285,4.65,330.8168945,7°34'42''RT,10.30295298,77.98147495,Good,Good,"22KV, LT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9814749490469 10.3029529843479, 77.9839139152318 10.3024751320481)"
9,49/8,,S,,A+0,28,108-109,277,5.64,336.3444824,,10.30247513,77.98391392,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9839139152318 10.3024751320481, 77.9863251373171 10.3019531909376)"
10,49/9,,S,,A+0,28,109-110,275,4.88,334.6622314,,10.30195319,77.98632514,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9863251373171 10.3019531909376, 77.9888843838125 10.3014194313436)"
