,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY 230 KV KODIKURICHI SS,2W,GANTRY,GANTRY,20,,,,169,,9.00235179,77.32350415,GOOD,,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32350415 9.00235179, 77.32390437 9.00238542)"
2,T.NO-1,,DD,T,28,GANTRY-1,44.18144407,6.49,172,"99°50'36.19""",9.00238542,77.32390437,GOOD,MISSING,YES,,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32390437 9.00238542, 77.32358484 9.00359852)"
3,T.NO-2,,DC,T,26,01-Feb,138.7515766,1.17,169,"20°16'52.99""",9.00359852,77.32358484,GOOD,GOOD,NO,"33KV ,LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32358484 9.00359852, 77.32231455 9.0054051)"
4,T.NO-3,,DD,T,28,02-Mar,243.8893192,7.68,168,"41°54'4.12""",9.0054051,77.32231455,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32231455 9.0054051, 77.32254473 9.00728354)"
5,T.NO-4,,DA,S,26,03-Apr,209.3800373,4.29,172,,9.00728354,77.32254473,GOOD,MISSING,NO,230KV DC CROSSING ABOVE OUR LINE,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32254473 9.00728354, 77.32283699 9.00891757)"
6,T.NO-5,,DD,T,28,04-May,183.6355085,8.26,166,"80°49'55.60""",9.00891757,77.32283699,GOOD,GOOD,NO,,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32283699 9.00891757, 77.32378237 9.00890256)"
7,T.NO-6,,DD,T,34,05-Jun,104.0048076,5.5,156,"43°55'47.13""",9.00890256,77.32378237,GOOD,GOOD,NO,"LT,11KV",TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32378237 9.00890256, 77.32577606 9.01075178)"
8,T.NO-7,,DD,T,37,06-Jul,299.9333259,3.46,166,"47°49'12.34""",9.01075178,77.32577606,GOOD,GOOD,YES,11KV,RIVER CROSSING,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32577606 9.01075178, 77.32671194 9.01067356)"
9,T.NO-8,,DB,T,33,07-Aug,103.3102125,3.27,158,"6°46'14.28""",9.01067356,77.32671194,GOOD,GOOD,YES,,NON ELECTRICAL RAILWAY CROSSING,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.32671194 9.01067356, 77.3293944 9.01076503)"
10,T.NO-9,,DA,S,26,08-Sep,295.2439669,6.04,163,,9.01076503,77.3293944,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3293944 9.01076503, 77.3322314 9.01085551)"
11,T.NO-10,,DD,T,28,09-Oct,312.230684,4.06,164,"59°43'29.69""",9.01085551,77.3322314,GOOD,GOOD,NO,"2nos LT,33KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3322314 9.01085551, 77.33282017 9.01193632)"
12,T.NO-11,,DA,S,26,10-Nov,136,HEAVY BUSHES INSIDE POND,163,,9.01193632,77.33282017,GOOD,GOOD,NO,"LT,11KV",,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33282017 9.01193632, 77.33391398 9.01380023)"
13,T.NO-12,,DA,S,26,11-Dec,238.7676695,INSIDE POND,163,,9.01380023,77.33391398,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33391398 9.01380023, 77.33501788 9.01581771)"
14,T.NO-13,,DA,S,26,Dec-13,254.1180828,3.79,162,,9.01581771,77.33501788,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33501788 9.01581771, 77.33601091 9.01755571)"
15,T.NO-14,2W,DB,T,30,13-14,221.1628359,4.18,168,"6°28'33.41""",9.01755571,77.33601091,GOOD,GOOD,NO,11KV,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33601091 9.01755571, 77.33769851 9.01985867)"
