S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
21,4,,T,DB,25,03-Apr,243.6057717,2.64,FALSE,208.510223,"7°30'0""L",10.11727778,77.91569444,GOOD,Available,2-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91569444444445 10.117277777777778, 77.91786111111112 10.118055555555555)"
22,5,,S,DA,26,04-May,254.3193128,1.03,FALSE,209.589691,,10.11805556,77.91786111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91786111111112 10.118055555555555, 77.92 10.118861111111112)"
23,6,,S,DA,26,05-Jun,250.6728967,3.42,FALSE,212.615707,,10.11886111,77.92,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92 10.118861111111112, 77.92219444444444 10.119666666666667)"
24,7,,T,DB,25,06-Jul,256.3488057,2.27,FALSE,214.007812,"20°59'24""L",10.11966667,77.92219444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92219444444444 10.119666666666667, 77.92408333333334 10.119666666666667)"
25,8,,S,DA,26,07-Aug,207.8798622,1.51,FALSE,214.849655,,10.11966667,77.92408333,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92408333333334 10.119666666666667, 77.92597222222223 10.119694444444445)"
26,9,,T,DC,26,08-Sep,205.5881149,1.36,FALSE,214.831161,"81°54'0""L",10.11969444,77.92597222,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92597222222223 10.119694444444445, 77.92555555555556 10.122222222222224)"
27,10,,T,DC,26,09-Oct,281.9030414,2.09,FALSE,215.190536,"71°25'12""L",10.12222222,77.92555556,GOOD,Available,"HT,LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92555555555556 10.122222222222224, 77.92616666666667 10.122527777777778)"
28,11,,T,DB,25,10-Nov,75.59901794,4.31,FALSE,213.746002,"24°29'24""L",10.12252778,77.92616667,GOOD,Available,HT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92616666666667 10.122527777777778, 77.92750000000001 10.122583333333333)"
29,12,,T,DB,25,11-Dec,146.1027303,2.01,FALSE,214.928207,"4°36'36""R",10.12258333,77.9275,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92750000000001 10.122583333333333, 77.92936111111112 10.122833333333334)"
30,13,2W,T,DB,25,Dec-13,205.4354787,3.08,FALSE,215.922211,"26°49'12""R",10.12283333,77.92936111,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92936111111112 10.122833333333334, 77.93047222222222 10.123611111111112)"
31,14,,T,DC,26,13-14,149.8477152,4.3,FALSE,217.17662,"68°54'0""R",10.12361111,77.93047222,GOOD,Available,,Road & Rail way Track,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93047222222222 10.123611111111112, 77.93041666666667 10.123916666666668)"
32,15,,T,DB,25,14-15,35.77009349,1.17,FALSE,217.354156,"13°36'0""L",10.12391667,77.93041667,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93041666666667 10.123916666666668, 77.93041666666667 10.125222222222222)"
33,16,,T,DB,25,15-16,142.7054714,2.55,FALSE,219.385239,"22°43'48""R",10.12522222,77.93041667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93041666666667 10.125222222222222, 77.92983333333333 10.126583333333334)"
34,17,,S,DA,26,16-17,163.4390165,1.4,FALSE,218.795273,,10.12658333,77.92983333,GOOD,Available,"HT,LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92983333333333 10.126583333333334, 77.92869444444445 10.129138888888889)"
