S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type ,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,100,,S,DA,26,101-100,260.2479587,2.63,131,,9.400772788,77.60393735,GOOD,Available,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6039373502135 9.40077278763055, 77.6062719617038 9.40025855787098)"
23,99,,S,DA,26,100-99,262.8193296,2.44,129,,9.400258558,77.60627196,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6062719617038 9.40025855787098, 77.6084160525351 9.39980903640389)"
24,98,,T,DB,24,99-98,240.8318916,1.03,129,"9°41'2""",9.399809036,77.60841605,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6084160525351 9.39980903640389, 77.6108017936348 9.39883355051279)"
25,97,,S,DA,26,98-97,283.5577543,1.67,127,,9.398833551,77.61080179,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6108017936348 9.39883355051279, 77.6132420171052 9.39783962443471)"
26,96,,S,DA,26,97-96,289.8706608,2.06,126,,9.397839624,77.61324202,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6132420171052 9.39783962443471, 77.6156916283071 9.39688174054026)"
27,95,,S,DA,26,96-95,289.3371736,2.63,125,,9.396881741,77.61569163,GOOD,Available,400 KV CROSSING ABOVE,,PLAIN,CHEKKAURANI - TIRUNELVELI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6156916283071 9.39688174054026, 77.618204774335 9.39590533263981)"
28, LILO : 94,3W,S,DA,26,95-94,296.5889411,1.68,123,,9.395905333,77.61820477,GOOD,Available,,,PLAIN,REDDIAPATTY LILO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.618204774335 9.39590533263981, 77.6207449939101 9.39491065219044)"
29,93,,S,DA,26,94-93,300.1066477,1.66,124,,9.394910652,77.62074499,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6207449939101 9.39491065219044, 77.6231035776436 9.39396240748465)"
30,92,,S,DA,26,93-92,279.6587206,8.72,132,,9.393962407,77.62310358,GOOD,Available,,"ROAD-1 , MUD ROAD-1",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6231035776436 9.39396240748465, 77.6255893986672 9.39298616722226)"
31,91,,S,DA,26,Sep-91,293.78904,4.13,122,,9.392986167,77.6255894,GOOD,Available,LT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6255893986672 9.39298616722226, 77.6279659196734 9.39201068133115)"
32,90,,S,DA,26,91-90,282.6305008,3.61,116,,9.392010681,77.62796592,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6279659196734 9.39201068133115, 77.6305333804339 9.39101574942469)"
33,89,,T,DB,24,90-89,302.9075767,2.99,115,"1°46'13""",9.391015749,77.63053338,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6305333804339 9.39101574942469, 77.6329457759857 9.38996767625212)"
34,88,,S,DA,26,89-88,289.399378,3.18,119,,9.389967676,77.63294578,GOOD,Available,"HT-1, LT-1",ROAD-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6329457759857 9.38996767625212, 77.6352943014353 9.38890200108289)"
35,87,,S,DA,26,88-87,283.7904156,3.36,120,,9.388902001,77.6352943,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6352943014353 9.38890200108289, 77.6373254880309 9.38798326067626)"
36,86,,S,DA,26,87-86,245.3079697,4.18,122,,9.387983261,77.63732549,GOOD,Available,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6373254880309 9.38798326067626, 77.6397831458598 9.38690777868032)"
37,85,,S,DA,26,86-85,295.1779125,3.96,122,,9.386907779,77.63978315,GOOD,Available,HT-1,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6397831458598 9.38690777868032, 77.6421592477709 9.38588703051209)"
38,84,,S,DA,26,85-84,284.543494,4.11,118,,9.385887031,77.64215925,GOOD,Available,110 KV CROSSING ABOVE,,AGRI,N.M PATTY - REDDIAPATTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6421592477709 9.38588703051209, 77.6445806957781 9.38484792597591)"
39,83,,S,DA,26,84-83,289.9275772,3.64,120,,9.384847926,77.6445807,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6445806957781 9.38484792597591, 77.6469746511429 9.38378183171153)"
40,82,,S,DA,26,83-82,288.360885,4.16,115,,9.383781832,77.64697465,GOOD,Available,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6469746511429 9.38378183171153, 77.6492962706834 9.3827885761857)"
41,81,,S,DA,26,82-81,277.8488798,3.38,114,,9.382788576,77.64929627,GOOD,Available,"LT-3 , 230 KV CROSSING ABOVE",ROAD-1,PLAIN,AMUDDHAPURAM - CHEKKAURANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6492962706834 9.3827885761857, 77.6516266912221 9.38175005838275)"
42,80,2W,S,DA,26,81-80,280.7454363,4.16,112,,9.381750058,77.65162669,GOOD,Available,LT-1,LT-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6516266912221 9.38175005838275, 77.6539395935833 9.38080206513404)"
43,79,,S,DA,26,80-79,275.0163631,2.67,111,,9.380802065,77.65393959,GOOD,Available,LT-2,"ROAD-1 , MUD ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6539395935833 9.38080206513404, 77.6561070699244 9.37987318262457)"
44,78,,S,DA,26,79-78,259.4648338,2.56,111,,9.379873183,77.65610707,GOOD,Available,"HT-1 , LT-1",ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6561070699244 9.37987318262457, 77.658537486568 9.37883391045033)"
45,77,,S,DA,26,78-77,290.8487579,2.44,110,,9.37883391,77.65853749,GOOD,Available,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.658537486568 9.37883391045033, 77.6609226409345 9.37781299464404)"
46,76,,S,DA,26,77-76,285.4645337,2.06,108,,9.377812995,77.66092264,GOOD,Available,LT-2,"MUD ROAD-2 , ROAD-2",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6609226409345 9.37781299464404, 77.6633890159428 9.37671924009919)"
47,75,,S,DA,26,76-75,296.8922363,2.76,109,,9.37671924,77.66338902,GOOD,Available,LT-1,ROAD -1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6633890159428 9.37671924009919, 77.6658287364989 9.37570695765316)"
48,74,,T,DD,28,75-74,290.6217473,2.28,106,"48°50'11""",9.375706958,77.66582874,GOOD,Available,LT-2,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6658287364989 9.37570695765316, 77.6683393679559 9.3768445495516)"
49,73,,S,DA,26,74-73,303.3298535,1.55,105,,9.37684455,77.66833937,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6683393679559 9.3768445495516, 77.6708050724118 9.37803670763969)"
50,72,,T,DB,24,73-72,301.4232904,2.96,109,"6°49'38""",9.378036708,77.67080507,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6708050724118 9.37803670763969, 77.6729716267436 9.37938476912677)"
51,71,,T,DC,26,72-71,281.0160138,3.47,103,"23°37'19""",9.379384769,77.67297163,GOOD,Available,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6729716267436 9.37938476912677, 77.6738461107015 9.37951368279755)"
52,70,,T,DC,26,71-70,97.16480844,4.67,106,"22°26'53""",9.379513683,77.67384611,GOOD,Available,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6738461107015 9.37951368279755, 77.6740563288331 9.3796385731548)"
53,69,3W,T,DD,28,70-69,15.55634919,3.82,115,"106°4'38""",9.379638573,77.67405633,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6740563288331 9.3796385731548, 77.6734961662441 9.38015783205628)"
54,68,,T,DC,26,69-68,84.21995013,4.17,104,"28°12'53""",9.380157832,77.67349617,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6734961662441 9.38015783205628, 77.67293558456 9.3817974999547)"
55,67,,T,DD,28,68-67,191.650724,1.09,112,"42°12'13""",9.3817975,77.67293558,GOOD,GOOD,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67293558456 9.3817974999547, 77.6736671570688 9.3834725394845)"
56,66,,T,DD,28,67-66,202.0816667,2.07,110,"42°11'48""",9.383472539,77.67366716,GOOD,GOOD,,DRAIN-1,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6736671570688 9.3834725394845, 77.676022555679 9.38452094793319)"
