S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 94,3W,,,,,,,,18.684759,,9.587888889,78.85633333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85633333333332 9.58788888888889, 78.85569444444444 9.587666666666667)"
2,1,,T,SB,25,LILO-1,75.42661686,1.25,FALSE,17.698427,"10°41'60""R",9.587666667,78.85569444,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85569444444444 9.587666666666667, 78.85388888888889 9.58663888888889)"
3,2,,S,SA,26,01-Feb,228.4944322,3.4,FALSE,17.207907,,9.586638889,78.85388889,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85388888888889 9.58663888888889, 78.85199999999999 9.585583333333334)"
4,3,,S,SA,26,02-Mar,237.8774196,5.26,FALSE,20.083603,,9.585583333,78.852,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85199999999999 9.585583333333334, 78.84991666666666 9.58438888888889)"
5,4,,S,SA,26,03-Apr,264.9549359,4.82,FALSE,19.568808,,9.584388889,78.84991667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84991666666666 9.58438888888889, 78.84783333333333 9.583222222222222)"
6,5,,S,SA,26,04-May,260.8366654,5.54,FALSE,20.824856,,9.583222222,78.84783333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84783333333333 9.583222222222222, 78.84577777777777 9.582055555555556)"
7,6,,S,SA,26,05-Jun,262.3940257,4.67,FALSE,21.087709,,9.582055556,78.84577778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84577777777777 9.582055555555556, 78.84369444444444 9.58086111111111)"
8,7,,S,SA,26,06-Jul,263.3107442,2.98,FALSE,22.246027,,9.580861111,78.84369444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84369444444444 9.58086111111111, 78.84158333333333 9.579694444444444)"
9,8,,S,SA,26,07-Aug,264.6933447,6.21,FALSE,22.32045,,9.579694444,78.84158333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84158333333333 9.579694444444444, 78.83944444444444 9.578472222222222)"
10,9,,T,SB,25,08-Sep,271.9379148,4.6,FALSE,23.831102,"13°30'0""L",9.578472222,78.83944444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83944444444444 9.578472222222222, 78.83736111111111 9.57786111111111)"
11,10,,S,SA,26,09-Oct,238.9477812,5.6,FALSE,24.134317,,9.577861111,78.83736111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83736111111111 9.57786111111111, 78.83494444444445 9.577166666666667)"
12,11,,S,SA,26,10-Nov,276.7215913,7.18,FALSE,24.934589,,9.577166667,78.83494444,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83494444444445 9.577166666666667, 78.8326111111111 9.5765)"
13,12,,S,SA,26,11-Dec,263.7354013,4.76,FALSE,24.859236,,9.5765,78.83261111,GOOD,Available,,Sholandhur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8326111111111 9.5765, 78.83005555555555 9.575777777777777)"
14,13,,S,SA,26,Dec-13,293.2773021,5.58,FALSE,24.101048,,9.575777778,78.83005556,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83005555555555 9.575777777777777, 78.82755555555555 9.575055555555556)"
15,14,,S,SA,26,13-14,284.6616099,5.41,FALSE,23.047817,,9.575055556,78.82755556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82755555555555 9.575055555555556, 78.82508333333332 9.574361111111111)"
16,15,2W,T,SB,25,14-15,283.7646029,6.2,FALSE,25.497299,"0°20'24""R",9.574361111,78.82508333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82508333333332 9.574361111111111, 78.82258333333333 9.573638888888889)"
17,16,,S,SA,26,15-16,286.0536726,5.6,FALSE,26.725574,,9.573638889,78.82258333,GOOD,Available,230 KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82258333333333 9.573638888888889, 78.82005555555556 9.572972222222221)"
18,17,,S,SA,26,16-17,286.11767,3.51,FALSE,25.761387,,9.572972222,78.82005556,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82005555555556 9.572972222222221, 78.81755555555556 9.572305555555555)"
19,18,,S,SA,26,17-18,285.0521564,3.3,FALSE,24.656494,,9.572305556,78.81755556,GOOD,Available,LT,Kuyavanendal Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81755555555556 9.572305555555555, 78.81519444444444 9.571666666666667)"
20,19,,S,SA,26,18-19,269.4318921,4.81,FALSE,26.541248,,9.571666667,78.81519444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81519444444444 9.571666666666667, 78.81266666666666 9.571)"
21,20,,S,SA,26,19-20,286.1214995,5.24,FALSE,27.120823,,9.571,78.81266667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81266666666666 9.571, 78.81016666666666 9.570305555555555)"
22,21,,T,SB,26,20-21,283.9126666,5.05,FALSE,26.840801,"7°24'0""L",9.570305556,78.81016667,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81016666666666 9.570305555555555, 78.80794444444444 9.57)"
23,22,,S,SA,26,21-22,246.2397831,4.8,FALSE,26.213903,,9.57,78.80794444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80794444444444 9.57, 78.80566666666667 9.569666666666667)"
24,23,,S,SA,26,22-23,254.3695122,7.02,FALSE,27.633089,,9.569666667,78.80566667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80566666666667 9.569666666666667, 78.80338888888889 9.569333333333333)"
25,24,,S,SA,26,23-24,254.3902218,5.08,FALSE,26.483967,,9.569333333,78.80338889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80338888888889 9.569333333333333, 78.80108333333332 9.568999999999999)"
26,25,,S,SA,26,24-25,253.2838925,4.7,FALSE,25.681013,,9.569,78.80108333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80108333333332 9.568999999999999, 78.79877777777777 9.568666666666667)"
27,26,,S,SA,26,25-26,256.9282831,3.17,FALSE,26.967525,,9.568666667,78.79877778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79877777777777 9.568666666666667, 78.7965 9.568333333333333)"
28,27,,S,SA,26,26-27,253.1185188,5.11,FALSE,26.615391,,9.568333333,78.7965,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7965 9.568333333333333, 78.79424999999999 9.567972222222222)"
29,28,2W,T,SC,26,27-28,249.4348076,2.42,FALSE,27.151081,"47°45'36""L",9.567972222,78.79425,GOOD,Available,,Ariyankottai Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79424999999999 9.567972222222222, 78.79225 9.569583333333332)"
30,29,,S,SA,26,28-29,283.0856398,1.08,FALSE,28.731171,,9.569583333,78.79225,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79225 9.569583333333332, 78.79025 9.571166666666667)"
31,30,,S,SA,26,29-30,279.8674783,1.27,FALSE,26.790491,,9.571166667,78.79025,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79025 9.571166666666667, 78.78836111111112 9.572694444444444)"
