SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA    ( Plain / Hills / Forest / Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,18,,s,,GC,23.62,T17-T18,176.6479654,36.78,95,8.454708392,77.61768267,AVAILABLE,,,PLAIN LAND," DC line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6176826690313 8.454708392439157, 77.6162641088316 8.455370027131377)"
20,19,,s,,GC,23.62,T18-T19,172.6053405,35.78,95,8.455370027,77.61626411,AVAILABLE,,,PLAIN LAND," DC line, plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6162641088316 8.455370027131377, 77.61572901638597 8.455576320061375)"
21,20,3W,T (LILO),"105°55'04""LT",KC,24,T19-T20,63.22517828,39.72,96,8.45557632,77.61572902,AVAILABLE,,ODAI (NALA),PLAIN LAND," DC line, lilo,  odai(nala) (MELAKALLUR -SANKANERI LINE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61572901638597 8.455576320061375, 77.61538401298486 8.452837043377631)"
22,21,,s,,GC+3,26.62,T20-T21,305.5247448,40.96,95,8.452837043,77.61538401,AVAILABLE,,ROAD,PLAIN LAND," sc line, road ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61538401298486 8.452837043377631, 77.61497832734536 8.450207519360811)"
23,22,,s,,GC+3,26.62,T21-T22,294.4177828,39.63,94,8.450207519,77.61497833,AVAILABLE,,"ROAD,FENCING",PLAIN LAND,"DC line, plain land, fencing, road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61497832734536 8.450207519360811, 77.61469200224714 8.447648949959747)"
24,23,,s,,GC+3,26.62,T22-T23,284.9039358,39.47,94,8.44764895,77.614692,AVAILABLE,,ROAD,PLAIN LAND," DC line, road ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61469200224714 8.447648949959747, 77.61433124221043 8.444916911398952)"
25,24,,s,,GC+3,26.62,T23-T24,304.9511955,39.84,93,8.444916911,77.61433124,AVAILABLE,,"RIVER,ROAD",AGRI LAND,"DC line,river , road,  agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61433124221043 8.444916911398952, 77.61387627400201 8.44324345949192)"
26,25,,T,"06°19'35""RT",HC,21.94,T24-T25,191.863527,39.54,93,8.443243459,77.61387627,AVAILABLE,,,AGRI LAND," DC line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61387627400201 8.44324345949192, 77.61322583825421 8.44074488336134)"
27,26,,s,,GC,23.62,T25-T26,285.6505061,39.68,93,8.440744883,77.61322584,AVAILABLE,11KV LINE,,AGRI LAND,"DC line, 11 kv line , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61322583825421 8.44074488336134, 77.6124962762179 8.43814745167318)"
28,27,,s,,GC,23.62,T26-T27,298.4827625,39.47,92,8.438147452,77.61249628,AVAILABLE,,CART TRACK,AGRI LAND," DC line,agri land ,cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6124962762179 8.43814745167318, 77.61180997161352 8.435576871217387)"
