S. No ,Tower No,Joint Box,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 37 SIVAKASI LILO,3W,T,DC,26,,,1.69,117,,9.388252487,77.74554349,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7455434855073 9.38825248740613, 77.7467964962124 9.38909201882779)"
2,1,,T,DD,28,37-1,166.1475248,1.75,115,"65°0'25""",9.389092019,77.7467965,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7467964962124 9.38909201882779, 77.7465104218572 9.39088314771652)"
3,2,,T,DB,24,01-Feb,200.7311635,1.93,111,"1°54'46""",9.390883148,77.74651042,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7465104218572 9.39088314771652, 77.7462279517203 9.39313502982258)"
4,3,,T,DB,24,02-Mar,251.1772283,2.07,111,"12°24'2""",9.39313503,77.74622795,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7462279517203 9.39313502982258, 77.7464564424008 9.39558179117739)"
5,4,,T,DB,24,03-Apr,271.9742635,1.82,109,"9°27'44""",9.395581791,77.74645644,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7464564424008 9.39558179117739, 77.7470378112047 9.3977727368474)"
6,5,,T,DD,28,04-May,250.7847683,1.75,112,"34°46'32""",9.397772737,77.74703781,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7470378112047 9.3977727368474, 77.7461471501737 9.40020105801522)"
7,6,,T,DB,24,05-Jun,286.0489469,1.58,111,"10°2'19""",9.400201058,77.74614715,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7461471501737 9.40020105801522, 77.7458075154572 9.40211908891797)"
8,7,,T,DC,26,06-Jul,215.5574169,1.64,114,"26°47'3""",9.402119089,77.74580752,GOOD,Available,LT,TARROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7458075154572 9.40211908891797, 77.7443307917565 9.40408213064074)"
9,8,,T,DB,24,07-Aug,271.2047197,1.88,121,"4°0'19""",9.404082131,77.74433079,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7443307917565 9.40408213064074, 77.7432071976363 9.40581659786403)"
10,9,,T,DB,24,08-Sep,228.2673871,1.61,116,"5°6'53""",9.405816598,77.7432072,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7432071976363 9.40581659786403, 77.7417479082942 9.40768014639616)"
