SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,11,3W,T,"77°43'65""RT",KCR( T OFF),26.24,T10-T11,196.5004887,37.98,15,8.831173862,78.09572641,AVAILABLE,,,PLAIN LAND,"DC line,plain land,T OFF TTN SIPCOT TO STERLITE","DC line,plain land","DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09572641 8.831173862, 78.097611 8.830473821)"
2,12,,T,"02°51'67""LT",PB,20.85,T11-T12,221.4973434,44.68,14,8.830473821,78.097611,AVAILABLE,230KV LINE,,PLAIN LAND,"Sc line,230kv line(ttps to kinni mangalam),plain land,","Sc line,230kv line(ttps to kinni mangalam),plain land","Sc line,230kv line(ttps to kinni mangalam),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.097611 8.830473821, 78.09950966 8.829672401)"
3,13,,S,,PA,20.9,T12-T13,227.0954503,47.87,15,8.829672401,78.09950966,AVAILABLE,,,AGRI LAND,"Sc line,agri land","Sc line,agri land","Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.09950966 8.829672401, 78.10129032 8.828928957)"
4,14,,T,"00°00'00""",PB,20.85,T13-T14,212.6272739,38.12,15,8.828928957,78.10129032,AVAILABLE,,,PLAIN LAND,"Sc line,plain land","Sc line,plain land","Sc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10129032 8.828928957, 78.10320541 8.828127864)"
5,15,,T,"00°00'00""",PB,20.85,T14-T15,228.7473385,40.55,15,8.828127864,78.10320541,AVAILABLE,"230KV LINE, LT LINE",,AGRI LAND,"Sc line,lt line, 230kv line(ttps to madhurai),agri land","Sc line,lt line, 230kv line(ttps to madhurai),agri land","Sc line,lt line, 230kv line(ttps to madhurai),agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10320541 8.828127864, 78.1049237 8.827407277)"
6,16,2W,T,"03°62'70""LT",PB+3,23.85,T15-T16,205.3177953,39.87,13,8.827407277,78.1049237,AVAILABLE,22KV LINE,"NALA, ROAD",PLAIN LAND,"Sc line,22kv line, nala,road,plain  land","Sc line,22kv line, nala,road,plain  land","Sc line,22kv line, nala,road,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1049237 8.827407277, 78.10686596 8.826440528)"
7,17,,S,,PA,20.9,T16-T17,239.1311504,38.98,13,8.826440528,78.10686596,AVAILABLE,,,AGRI LAND,"Sc line,agri land","Sc line,agri land","Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10686596 8.826440528, 78.10888868 8.825394263)"
8,18,,S,,PA,20.9,T17-T18,251.0231851,40.98,13,8.825394263,78.10888868,AVAILABLE,LT LINE,,PLAIN LAND,"Sc line,lt line,plain land","Sc line,lt line,plain land","Sc line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.10888868 8.825394263, 78.11093621 8.824371518)"
9,19,2W,S,,PA,20.9,T18-T19,252.2715747,43.58,10,8.824371518,78.11093621,AVAILABLE,LT LINE,,PLAIN LAND,"Sc line,lt line,plain land","Sc line,lt line,plain land","Sc line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11093621 8.824371518, 78.11299548 8.823361029)"
10,20,,S,,PA,20.9,T19-T20,252.8235388,44.09,8,8.823361029,78.11299548,AVAILABLE,,CART TRACK,PLAIN LAND,"Sc line,cart track,plain land","Sc line,cart track,plain land","Sc line,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11299548 8.823361029, 78.11491828 8.822368428)"
11,21,,S,,PA,20.9,T20-T21,238.5239325,39.98,8,8.822368428,78.11491828,AVAILABLE,22KV LINE,CART TRACK,PLAIN LAND,"Sc line,cart track,22kv line,plain land","Sc line,cart track,22kv line,plain land","Sc line,cart track,22kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11491828 8.822368428, 78.11695945 8.82131685)"
12,22,,S,,PA,20.9,T21-T22,253.0963731,32.47,8,8.82131685,78.11695945,AVAILABLE,,,PLAIN LAND,"Sc line,plain land","Sc line,plain land","Sc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11695945 8.82131685, 78.11890036 8.820355387)"
13,23,,S,,PA,20.9,T22-T23,238.7382903,42.98,3,8.820355387,78.11890036,AVAILABLE,,,PLAIN LAND,"Sc line,plain land","Sc line,plain land","Sc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11890036 8.820355387, 78.1208406 8.819381662)"
14,24,,S,,PA,20.9,T23-T24,239.2809231,44.56,5,8.819381662,78.1208406,AVAILABLE,,,PLAIN LAND,"Sc line, compound,plain land","Sc line, compound,plain land","Sc line, compound,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1208406 8.819381662, 78.12277615 8.818458625)"
15,25,,S,,PA,20.9,T24-T25,236.3397908,39.98,6,8.818458625,78.12277615,AVAILABLE,"LT LINE, 11KV LINE",MUD ROAD,PLAIN LAND,"Sc line,road, house,lt line,11kv line,plain land","Sc line,road, house,lt line,11kv line,plain land","Sc line,road, house,lt line,11kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12277615 8.818458625, 78.12466342 8.817467667)"
16,26,,S,,PA,20.9,T25-T26,234.972575,44.56,5,8.817467667,78.12466342,AVAILABLE,LT LINE,MUD ROAD,PLAIN LAND,"Sc line,lt line, house,Mud road,house land","Sc line,lt line, house,road,house land","Sc line,lt line, house,road,house land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12466342 8.817467667, 78.1265242 8.816543964)"
17,27,,S,,PA,20.9,T26-T27,228.9775355,41.78,6,8.816543964,78.1265242,AVAILABLE,LT LINE,MUD ROAD,PLAIN LAND,"Sc line,lt line,Mud road, house, house land","Sc line,lt line,road, house, house land","Sc line,lt line,road, house, house land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1265242 8.816543964, 78.127505 8.816152)"
18,28,,T,"08°26'22""RT",PB,20.85,T27-T28,149.9179805,37.98,7,8.816152,78.127505,AVAILABLE,,MUD ROAD,PLAIN LAND,"Sc line, plain land, Mud Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.127505 8.816152, 78.130997121334 8.81553908516443)"
