,Tower No,Joint box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
84,T.NO-81,,DA,S,26,80-81,285.4084792,7.08,59,,8.73540446,77.51739826,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51739826 8.73540446, 77.51966897 8.73404288)"
85,T.NO-82,,DD,T,28,81-82,291.8938163,HEAVY BUSHES,59,"39°44'56.80""",8.73404288,77.51966897,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51966897 8.73404288, 77.52195114 8.73438917)"
86,T.NO-83,,DA,S,26,82-83,254.1672678,4.57,59,,8.73438917,77.52195114,GOOD,MISSING,NO,LT,TAAR ROAD,INSIDE POND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52195114 8.73438917, 77.52372401 8.73463944)"
87,T.NO-84,,DA,S,26,83-84,197.144617,3.42,57,,8.73463944,77.52372401,GOOD,MISSING,NO,,,INSIDE POND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52372401 8.73463944, 77.52566031 8.73487957)"
88,T.NO-85,,DA,S,26,84-85,214.8324929,2.33,57,,8.73487957,77.52566031,GOOD,MISSING,NO,,,INSIDE POND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52566031 8.73487957, 77.52758771 8.73514686)"
89,T.NO-86,,DA,S,26,85-86,214.2545215,1.19,57,,8.73514686,77.52758771,GOOD,MISSING,NO,"2nos 11KV,LT",,PLAIN LAND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52758771 8.73514686, 77.52937851 8.73536083)"
90,T.NO-87,,DA,S,26,86-87,198.5799587,8.44,60,,8.73536083,77.52937851,GOOD,GOOD,NO,"LT,11KV",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52937851 8.73536083, 77.53121502 8.73561967)"
91,T.NO-88,,DA,S,26,87-88,204.2155724,7.53,57,,8.73561967,77.53121502,PARTS MISSING,GOOD,NO,LT,,CULTIVATION,BOLT MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53121502 8.73561967, 77.53318783 8.73588662)"
92,T.NO-89,,DC,T,26,88-89,219.2031022,2.06,60,"29°58'53.90""",8.73588662,77.53318783,PARTS MISSING,GOOD,NO,"LT,11KV",MUDROAD,CULTIVATION,BOLT MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53318783 8.73588662, 77.53471262 8.73706024)"
93,T.NO-90,,DA,S,26,89-90,212.2498528,2.74,60,,8.73706024,77.53471262,PARTS MISSING,GOOD,NO,,,CULTIVATION,BOLT MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53471262 8.73706024, 77.53615525 8.73817113)"
94,T.NO-91,,DA,S,26,90-91,200.8482014,2.19,61,,8.73817113,77.53615525,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53615525 8.73817113, 77.53811854 8.7397123)"
95,T.NO-92,,DA,S,26,91-92,275.3343422,3.32,59,,8.7397123,77.53811854,GOOD,GOOD,NO,,,INSIDE POND,FOUNDATION LEG DAMAGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53811854 8.7397123, 77.54011798 8.74122609)"
96,T.NO-93,,DA,S,26,92-93,276.6261014,1.52,61,,8.74122609,77.54011798,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54011798 8.74122609, 77.54201728 8.7427044)"
97,T.NO-94,,DA,S,26,93-94,265.4976459,2.13,64,,8.7427044,77.54201728,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54201728 8.7427044, 77.54407175 8.74429009)"
98,T.NO-95,2W,DB,T,24,94-95,286.2760905,3.67,64,"13°11'18.75""",8.74429009,77.54407175,GOOD,GOOD,NO,LT,,CULTIVATION,EARTH WIRE NOT IN EARTH PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54407175 8.74429009, 77.54564729 8.74624045)"
99,T.NO-96,,DA,S,26,95-96,276.8988985,2.54,68,,8.74624045,77.54564729,GOOD,GOOD,NO,"11KV,LT",MUDROAD,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54564729 8.74624045, 77.54712276 8.74816436)"
100,T.NO-97,,DA,S,26,96-97,267.8002987,5.21,69,,8.74816436,77.54712276,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54712276 8.74816436, 77.54865275 8.7500879)"
101,T.NO-98,,DA,S,26,97-98,271.4498112,18.16,71,,8.7500879,77.54865275,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54865275 8.7500879, 77.55024725 8.75214653)"
102,T.NO-99,,DA,S,26,98-99,287.6056328,15.8,65,,8.75214653,77.55024725,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55024725 8.75214653, 77.55182336 8.75416914)"
103,T.NO-100,,DB,T,24,99-10,283.2119348,3.96,72,"7°4'20.27""",8.75416914,77.55182336,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55182336 8.75416914, 77.55296271 8.75607721)"
104,T.NO-101,,DA,S,26,100-101,245.6013029,3.89,76,,8.75607721,77.55296271,GOOD,GOOD,NO,,POND,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55296271 8.75607721, 77.55416627 8.7580752)"
105,T.NO-102,,DA,S,26,101-102,257.7692767,4.18,71,,8.7580752,77.55416627,GOOD,GOOD,YES,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55416627 8.7580752, 77.55527802 8.75992922)"
106,T.NO-103,,DA,S,26,102-103,238.9079321,15.28,69,,8.75992922,77.55527802,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55527802 8.75992922, 77.55636254 8.76178342)"
107,T.NO-104,,DA,S,26,103-104,237.4026116,17.16,74,,8.76178342,77.55636254,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55636254 8.76178342, 77.55748347 8.7636464)"
108,T.NO-105,2W,DA,T,26,104-105,240.2769236,15.74,86,,8.7636464,77.55748347,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
