S.Noy,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,151,,S,DA,26,150-151,322.0953376,6.35,159.251373,,9.422552995,77.54230899,GOOD,Available,LT ,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5423089880496 9.42255299538374, 77.542753983289 9.41997002810239)"
20,152,,S,DA,26,151-152,290.0005543,2.56,157.506042,,9.419970028,77.54275398,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.542753983289 9.41997002810239, 77.5431360304355 9.41724096424877)"
21,153,,S,DA,26,152-153,304.920139,3.72,155.075729,,9.417240964,77.54313603,GOOD,Available,"LT,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5431360304355 9.41724096424877, 77.5435589812695 9.41450896672904)"
22,154,,S,DA,26,153-154,305.8924595,5.11,154.415436,,9.414508967,77.54355898,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5435589812695 9.41450896672904, 77.5440990272909 9.41177101805806)"
23,155,,S,DA,26,154-155,308.7567104,6.49,153.842468,,9.411771018,77.54409903,GOOD,Available,LT,CANAL,Water Loggeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5440990272909 9.41177101805806, 77.5444099958986 9.40904203802347)"
24,156,,S,DA,26,155-156,303.9342133,8.01,152.557358,,9.409042038,77.54441,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5444099958986 9.40904203802347, 77.5448470283299 9.40628397278487)"
25,157,,S,DA,26,156-157,308.981193,4.77,150.108582,,9.406283973,77.54484703,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5448470283299 9.40628397278487, 77.5453099608421 9.40337100997567)"
26,158,,S,DA,26,157-158 ,326.3574148,3.58,154.824829,,9.40337101,77.54530996,GOOD,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5453099608421 9.40337100997567, 77.5457370188087 9.40057497471571)"
27,LILO: 159,3W,T,DC,26,158 -159,312.9668067,7.1,150.873978,"0°6'6"" R",9.400574975,77.54573702,GOOD,Available,"LT,HT,110 KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5457370188087 9.40057497471571, 77.5461459718644 9.39786502160131)"
28,160,,S,DA,26,159-160,303.2503249,5.06,149.81665,,9.397865022,77.54614597,GOOD,Available,"LT,HT-2NO, 110 KV",CANAL,Water Loggeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5461459718644 9.39786502160131, 77.5465550087392 9.39532103016972)"
