SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION  ANGLE ('),IDINTIFY TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.No-26(Lilo Meenachipuram-SR Pudur-Nagarcoil),3W,T,-----,DC+0,24,-----,-----,2.72,------,8.220402063,77.44941328,------,------,------,------,------,------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44941328 8.220402063, 77.44706165 8.219128868)"
2,T.No-27,,T,"07°15'42""LT",DB+3,25,T26-T27,292.6598601,2.92,19,8.219128868,77.44706165,GOOD,AVAILABLE,,,Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44706165 8.219128868, 77.44514823 8.217868942)"
3,T.No-28,,S,,DA+0,24,T27-T28,252.8440236,1.7,20,8.217868942,77.44514823,GOOD,AVAILABLE,11Kv Line,"Road,odai(Nala)",Plain land,"11kv line, compound wall,fence,Road,odai(Nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44514823 8.217868942, 77.44359657 8.216838955)"
4,T.No-29,,S,,DA+0,24,T28-T29,205.5462874,1.39,17,8.216838955,77.44359657,GOOD,AVAILABLE,,,Plain land,fencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44359657 8.216838955, 77.44145818 8.215360674)"
5,T.No-30,,S,,DA+0,24,T29-T30,286.9300811,1.44,19,8.215360674,77.44145818,GOOD,AVAILABLE,,,Plain land,2 fencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44145818 8.215360674, 77.44019486 8.214542062)"
6,T.No-31,,S,,DA+0,24,T30-T31,166.1347082,1.56,17,8.214542062,77.44019486,GOOD,AVAILABLE,,odai(Nala),Plain land," 2 fence,odai(Nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44019486 8.214542062, 77.43832168 8.213345489)"
7,T.No-32,,S,,DA+0,24,T31-T32,245.3023189,1.78,17,8.213345489,77.43832168,GOOD,AVAILABLE,,,Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43832168 8.213345489, 77.43650515 8.212137307)"
8,T.No-33,,S,,DA+0,24,T32-T33,240.7794547,1.52,20,8.212137307,77.43650515,GOOD,AVAILABLE,11kv line,,Plain land, 11 kv line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43650515 8.212137307, 77.43487671 8.211002452)"
9,T.No-34,2W,T,"07°17'39""RT",DB+3,25,T33-T34,219.0805782,2.85,19,8.211002452,77.43487671,GOOD,AVAILABLE,"11 kvline,22 kvline",,Plain land,"11 kvline,22 kvline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43487671 8.211002452, 77.43290327 8.210025549)"
10,T.No-35,2W,S,,DA+0,24,T34A-T35,242.9288752,1.74,19,8.210025549,77.43290327,GOOD,AVAILABLE,11kv line,"Road,Pond",water logged area," 11 kv line,Road,pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43290327 8.210025549, 77.43057847 8.208890698)"
11,T.No-36,,S,,DA+0,24,T35-T36,285.3984111,1.81,20,8.208890698,77.43057847,GOOD,AVAILABLE,11kv line,Pond,water logged area,"pond,11 kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43057847 8.208890698, 77.42868416 8.207967551)"
12,T.No-37,,S,,DA+0,24,T36-T37,232.4749669,1.95,20,8.207967551,77.42868416,GOOD,AVAILABLE,,Pond,water logged area,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42868416 8.207967551, 77.42678281 8.207014864)"
13,T.No-38,,S,,DA+0,24,T37-T38,234.6219043,1.6,19,8.207014864,77.42678281,GOOD,AVAILABLE,,Pond,water logged area,pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42678281 8.207014864, 77.42477115 8.206018385)"
14,T.No-39,,S,,DA+0,24,T38-T39,247.6660087,1.67,20,8.206018385,77.42477115,GOOD,AVAILABLE,,Odai Bund,Plain land,"odai bund,Fenclng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42477115 8.206018385, 77.42290501 8.20502753)"
15,T.No-40,,S,,DA+0,24,T39-T40,233.118496,1.68,22,8.20502753,77.42290501,GOOD,AVAILABLE,22kv line,"Road, odai(nala)",Plain land," 22 kv line,Road,odai(nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42290501 8.20502753, 77.42102545 8.204119973)"
16,T.No-41,2W,T,"04°03'07""RT",DB+3,25,T40-T41,230.2578622,2.85,21,8.204119973,77.42102545,GOOD,AVAILABLE,,,Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42102545 8.204119973, 77.418877 8.203049141)"
17,T.No-42,,S,,DA+0,24,T41-T42,264.8334554,1.81,22,8.203049141,77.418877,GOOD,AVAILABLE,,,Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.418877 8.203049141, 77.41711009 8.202174095)"
18,T.No-43,,S,,DA+0,24,T42-T43,217.5239463,1.53,24,8.202174095,77.41711009,GOOD,AVAILABLE,,,Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41711009 8.202174095, 77.41498478 8.201067099)"
19,T.No-44,,S,,DA+3,27,T43-T44,264.3849387,1.49,26,8.201067099,77.41498478,GOOD,AVAILABLE,,"Road,Pond",Plain land,"3m Road,pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41498478 8.201067099, 77.41317999 8.200174454)"
20,T.No-45,,S,,DA+3,27,T44-T45,222.1316596,1.51,26,8.200174454,77.41317999,GOOD,AVAILABLE,Lt line,"Road, odai(Nala)",Plain land,"3m Road,lt line, odai (nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41317999 8.200174454, 77.41122164 8.199172641)"
21,T.No-46,,S,,DA+0,24,T45-T46,242.6880241,1.9,27,8.199172641,77.41122164,GOOD,AVAILABLE,,,Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41122164 8.199172641, 77.40932297 8.198252791)"
22,T.No-47,,S,,DA+0,24,T46-T47,232.7476602,1.72,29,8.198252791,77.40932297,GOOD,AVAILABLE,Lt line,,Plain land,lt line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40932297 8.198252791, 77.40724229 8.197247511)"
23,T.No-48,,T,"56°24'31""LT",DC+0,24,T47-T48,254.9267969,2.84,30,8.197247511,77.40724229,GOOD,AVAILABLE,,,Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40724229 8.197247511, 77.40663003 8.195211095)"
24,T.No-49,,S,,DA+0,24,T48-T49,235.2206251,1.41,39,8.195211095,77.40663003,GOOD,AVAILABLE,,Road,Plain land,"2 compound wall,Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40663003 8.195211095, 77.40680505 8.193701159)"
25,T.No-50,,T,"15°58'21""RT",DB+6,28,T49-T50,168.1830109,2.88,41,8.193701159,77.40680505,GOOD,AVAILABLE,Lt line,Railway track,Plain land,"railway track,bar,2 compound,lt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40680505 8.193701159, 77.405705 8.191116038)"
26,T.No-51,,T,"17°42'17""LT",DC+6,30,T50-T51,310.6886994,2.93,46,8.191116038,77.405705,GOOD,AVAILABLE,"33kv line, 11kv line,Lt line",,Plain land,"33 kvline,11 kv line,compound wall,street,lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.405705 8.191116038, 77.40567781 8.190822356)"
27,Gantry(Nagercoil),2W,T,,-----,18,T51-NAGERCOIL GANTRY,32.63360198,----,46,8.190822356,77.40567781,-----,-----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Route length Km,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
