SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,16,S,,GC,24,T15-T16,286.66473999082,0.13,144,9.19860653285436,77.5492695719003,AVAILABLE,,ROAD,PLAIN LAND,"DC LINE,road,plain land.( e.r 0.13 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5492695719003 9.19860653285436, 77.5472344458103 9.19726612398013)"
17,17,S,,GC,24,T16-T17,268.48201971266525,0.82,148,9.19726612398013,77.5472344458103,AVAILABLE,,CART TRACK,PLAIN LAND,"DC LINE,cart track,plain land. ( e.r 0.82 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5472344458103 9.19726612398013, 77.5449850782752 9.19593299130319)"
18,18,S,,GC,27,T17-T18,287.99929889670676,1.87,148,9.19593299130319,77.5449850782752,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"DC LINE,lt line-2,road, plain land. ( e.r 1.87 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5449850782752 9.19593299130319, 77.5429462641477 9.19455087029652)"
19,19,S,,GC,24,T18-T19,271.3949006336858,1.93,146,9.19455087029652,77.5429462641477,AVAILABLE,,"odai(NALA), CART TRACK",PLAIN LAND,"DC LINE,cart track,odai(nala),plain land.( e.r 1.93 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5429462641477 9.19455087029652, 77.5407233834266 9.19315418122991)"
20,20,S,,GC,27,T19-T20,289.20000451082257,0.73,147,9.19315418122991,77.5407233834266,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE,lt line,plain land .( e.r 0.73 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5407233834266 9.19315418122991, 77.5385833159089 9.1917829714139)"
21,21,S,,GC,27,T20-T21,280.0067811909814,1.73,149,9.1917829714139,77.5385833159089,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE,lt line,plain land.( e.r 1.73 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5385833159089 9.1917829714139, 77.5362058728933 9.19036674406702)"
22,22,T,"18°16'00""LT",KC,24,T21-T22,304.8076994976454,0.85,154,9.19036674406702,77.5362058728933,AVAILABLE,,,PLAIN LAND,"DC LINE,plain land. ( e.r 0.85 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5362058728933 9.19036674406702, 77.5355970114469 9.18962801327568)"
23,23,T,"28°22'20""RT",KC,27,T22-T23,105.66802434987314,1.44,153,9.18962801327568,77.5355970114469,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"DC LINE,lt line,cart track,plain land. ( e.r 1.44 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5355970114469 9.18962801327568, 77.53523685191948 9.189466695236996)"
,sangarancoil,,,,,T23- Gantry (Sangarancoil),42.810529545892734,,155,9.189466695236996,77.53523685191948,,,,,SANGARANCOIL GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H30)/1000,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
