S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,135 (LILO),T,DA+0,25,,,,209.701888999999,,9.9513,77.7965,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7965 9.9513, 77.796 9.95071)"
2,1,T,C+0,28,135 (LILO)-1,85,0.68,214.232056,26°55'37''LT,9.95071,77.796,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.796 9.95071, 77.7955 9.94796)"
3,2,S,A+0,25,1-2,313,3.02,213.707473999999,,9.94796,77.7955,GOOD,AVAILABLE,11KV-3NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7955 9.94796, 77.795 9.94531)"
4,3,S,A+0,25,2-3,301,1.68,213.205581999999,,9.94531,77.795,GOOD,AVAILABLE,LT - 2 NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.795 9.94531, 77.7944 9.94267)"
5,4,S,A+0,25,3-4,301,0.32,215.437195,,9.94267,77.7944,GOOD,AVAILABLE,"11KV -2NO, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7944 9.94267, 77.7939 9.93995)"
6,5,S,A+0,25,4-5,309,0.99,213.323455999999,,9.93995,77.7939,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7939 9.93995, 77.7935 9.93794)"
7,6,S,A+0,25,5-6,229,1.16,214.045975,,9.93794,77.7935,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7935 9.93794, 77.7931 9.93567)"
8,7,T,C+0,28,6-7,259,1.11,213.698441,22°16'19''RT,9.93567,77.7931,GOOD,AVAILABLE,11KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7931 9.93567, 77.7927 9.93514)"
9,H POLE,T,H POLE,12,7-H POLE,72,NIL,213.653090999999,,9.93514,77.7927,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7927 9.93514, 77.7924 9.93466)"
10,H POLE,T,H POLE,12,H POLE-H POLE,64,NIL,213.909805,,9.93466,77.7924,GOOD,AVAILABLE,230KV CROSSING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7924 9.93466, 77.7921 9.93406)"
