S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Mudangiyar  SS ),2W,Gantry,H-POLE,12,,,,186.999527,,9.472481981,77.51873396,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5187339633703 9.47248198091983, 77.5186759606003 9.4722020253539)"
2,10,,T,DC,26,Gantry-10,31.62988881,3.47,185.110535,"1°17'41"" R",9.472202025,77.51867596,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5186759606003 9.4722020253539, 77.5182400178164 9.4703150074929)"
3,9,,S,DA,26,10-Sep,214.2491078,4.84,184.122101,,9.470315007,77.51824002,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5182400178164 9.4703150074929, 77.5178550370037 9.46845296770334)"
4,8,,S,DA,26,09-Aug,210.3587306,5.34,184.941544,,9.468452968,77.51785504,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5178550370037 9.46845296770334, 77.5174920167773 9.46676200255751)"
5,7,,T,DC,26,08-Jul,191.3337243,4.06,184.159027,"20°47'42""  L",9.466762003,77.51749202,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5174920167773 9.46676200255751, 77.5177820306271 9.4648940116167)"
6,6,,S,DA,26,07-Jun,209.1621068,6.03,181.643143,,9.464894012,77.51778203,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5177820306271 9.4648940116167, 77.5179830286651 9.46346498094499)"
7,5,,T,DC,26,06-May,159.677831,3.24,179.518158,"1°26'43"" R",9.463464981,77.51798303,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5179830286651 9.46346498094499, 77.518181009218 9.46174099110066)"
8,4,,T,DC,26,05-Apr,192.0209447,4.86,179.70137,"9°14'55"" R",9.461740991,77.51818101,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.518181009218 9.46174099110066, 77.5181189831346 9.46045596152544)"
9,3,,T,DC,26,04-Mar,142.3706192,4.07,179.965408,"63°12'5"" R",9.460455962,77.51811898,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5181189831346 9.46045596152544, 77.5165600329637 9.45976504124701)"
10,2,,S,DA,26,03-Feb,187.5808273,5.24,179.618652,,9.459765041,77.51656003,GOOD,Available,LT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5165600329637 9.45976504124701, 77.514768987894 9.45910203270614)"
11,1,,T,DC,26,02-Jan,210.0248929,4.03,180.990555,"50°21'36"" R",9.459102033,77.51476899,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.514768987894 9.45910203270614, 77.514214022085 9.45941903628408)"
12,LILO Mudangiyar ,3W,T,DC,26,1-LILO,70.34832344,4.43,181.082718,,9.459419036,77.51421402,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
