S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),t,Ground Elevation,Horizontal Angle,Latitude,Longitude,"Condition of Tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly / Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,KIN GAN,GANTRY,T,26,,,0.15,"=IF(H6>15,0)",169.911925999999,,9.920752930587089,77.96983700795614,Good,,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96983700795614 9.920752930587089, 77.9699649996169 9.921202871135511)"
2,199/14-2,MD+0,T,55,KIN GAN-199/14-2,51.755431685450176,0.85,"=IF(H7>15,0)",168.700866999999,89°89'8''RT,9.921202871135511,77.9699649996169,Good,Not Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9699649996169 9.921202871135511, 77.97151900445576 9.920790900479979)"
3,199/13-2,MD+3,T,58,199/14-2-199/13-2,176.56893625944255,0.3,"=IF(H8>15,0)",168.268158,32°32'46''RT,9.920790900479979,77.97151900445576,Good,Good,"LT, 11KV",MC TAPPING,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97151900445576 9.920790900479979, 77.97223498662031 9.920018927150535)"
4,1,D+0,T,28,199/13-2-1,116.10589947545839,0.61,"=IF(H9>15,0)",170.006424,35°135'20''RT,9.920018927150535,77.97223498662031,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97223498662031 9.920018927150535, 77.97218896997184 9.91844488957229)"
5,2,A+3,S,31,1-2,174.33243067746534,3.3,"=IF(H10>15,0)",172.769409,,9.91844488957229,77.97218896997184,Good,Good,"11KV, 33KV",KOTTAMPATTY ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97218896997184 9.91844488957229, 77.97205695499699 9.915436876018635)"
6,3,D+0,T,26,2-3,333.3275495558019,4.6,"=IF(H11>15,0)",168.832626,31°4'57''RT,9.915436876018635,77.97205695499699,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97205695499699 9.915436876018635, 77.97198696610586 9.914870929926943)"
7,4,H-POLE,T,26,3-4,63.12423007873104,0.4,"=IF(H12>15,0)",169.869156,,9.914870929926943,77.97198696610586,H-POLE,Not Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97198696610586 9.914870929926943, 77.97171002802668 9.91485886000779)"
8,220 CH PA,DA+0,S,26,4-220 CH PA,30.428320340186513,0.31,"=IF(H13>15,0)",170.930252,,9.91485886000779,77.97171002802668,ANOTHER LINE,Not Available,"LT,230KV",230 KV CHEKANOORANI - PASUMALAI OVER HEAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97171002802668 9.91485886000779, 77.9718640035869 9.914438926651345)"
9,5,H-POLE,T,28,220 CH PA-5,49.46713483188179,0.2,"=IF(H14>15,0)",171.786575,,9.914438926651345,77.9718640035869,H-POLE,Not Available,"LT,230KV",230 KV CHEKANOORANI - PASUMALAI OVER HEAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9718640035869 9.914438926651345, 77.97143200029996 9.914107925331399)"
10,6,D+0,T,26,5-6,59.92919309844842,7.91,"=IF(H15>15,0)",171.861008,47°14'11''RT,9.914107925331399,77.97143200029996,Good,Good,"LT,230KV",230 KV CHEKANOORANI - PASUMALAI OVER HEAD ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97143200029996 9.914107925331399, 77.96969996383854 9.91337685587562)"
