SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY ,TIN SIPCOT 110KV SS,,,,,,,44.09,15,8.82034710384321,78.0859645083546,,,,,TIN SIPCOT 110KV SS GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0859645083546 8.82034710384321, 78.0858129635453 8.82063534442954)"
1,87,T,"29°72'18""RT",HCR,24.64,Gantry (SIPCOT 110KV SS)- T87,36.00710297984613,39.980000000000004,15,8.82063534442954,78.0858129635453,NOT AVAILABLE,,,PLAIN LAND,"DC LINE ,TIN SIPCOT 110KV SS GANTRY  to T.No 87 earth wire is not Available,ss land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0858129635453 8.82063534442954, 78.0852000787854 8.82102629107214)"
2,88,T,"97°25'93""LT",KCR,26.24,T87-T88,80.16814791425728,43.78,15,8.82102629107214,78.0852000787854,AVAILABLE,22KV LINE,,PLAIN LAND,"DC LINE , 22kv line, fencing,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0852000787854 8.82102629107214, 78.0863467231392 8.82238930011215)"
3,89,S,,GCR,25.64,T88-T89,196.7363897833525,42.980000000000004,16,8.82238930011215,78.0863467231392,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE , lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0863467231392 8.82238930011215, 78.0874276533722 8.82357704209726)"
4,90,S,,GCR,25.64,T89-T90,177.34739861927133,44.56,16,8.82357704209726,78.0874276533722,AVAILABLE,,,PLAIN LAND,"DC LINE ,  plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0874276533722 8.82357704209726, 78.088436499238 8.82483336084091)"
5,91,S,,GCR,25.64,T90-T91,177.98673502540058,39.980000000000004,16,8.82483336084091,78.088436499238,AVAILABLE,,,PLAIN LAND,"DC LINE , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.088436499238 8.82483336084091, 78.0900233611464 8.82661015665693)"
6,92,S,,GCR,25.64,T91-T92,263.0831709878137,44.56,15,8.82661015665693,78.0900233611464,AVAILABLE,22KV LINE,NALA,PLAIN LAND,"DC LINE , 22kv line, Nala,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0900233611464 8.82661015665693, 78.0914915353059 8.82834321179537)"
7,93,S,,GCR,25.64,T92-T93,250.87025322658457,39.980000000000004,16,8.82834321179537,78.0914915353059,AVAILABLE,,CART TRACK,PLAIN LAND,"DC LINE , cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0914915353059 8.82834321179537, 78.0929281935095 8.83004677287616)"
8,94,T,"00°00'00""",KCR,25.64,T93-T94,246.13692292098173,44.56,16,8.83004677287616,78.0929281935095,AVAILABLE,,,PLAIN LAND,"DC LINE , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0929281935095 8.83004677287616, 78.0939132347703 8.8312182564437)"
9,95,T,"89°25'53""LT",KCR,26.24,T94-T95,169.05406986230335,39.980000000000004,13,8.8312182564437,78.0939132347703,NOT AVAILABLE,230KV MULTI TOWER,,PLAIN LAND,"DC LINE ,T.No.94 to T.No 95  earth wire is not Available,230 multi tower, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0939132347703 8.8312182564437, 78.0943041667342 8.83090153218105)"
