S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Kavanoor SS ),2W,Gantry,H-POLE,12,,,,,52.217857,,9.483166667,78.56263889,GOOD,,,,SS,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56263888888888 9.483166666666667, 78.56261111111111 9.483)"
2,1,,T,DB,25,GANTRY-1,18.03269778,3.12,FALSE,53.465405,"34°3'36""L",9.483,78.56261111,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56261111111111 9.483, 78.56102777777778 9.481666666666667)"
3,2,,T,DB,25,01-Feb,225.9939953,4.01,FALSE,51.028015,"79°22'12""L",9.481666667,78.56102778,GOOD,Available,"11 KV,33Wind",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56102777777778 9.481666666666667, 78.55897222222222 9.483305555555555)"
4,3,,S,DA,26,02-Mar,287.6125648,3.14,FALSE,50.28474,,9.483305556,78.55897222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55897222222222 9.483305555555555, 78.55694444444444 9.484888888888888)"
5,4,,S,DA,26,03-Apr,285.5122186,2.06,FALSE,49.772045,,9.484888889,78.55694444,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55694444444444 9.484888888888888, 78.55499999999999 9.486444444444444)"
6,5,,S,DA,26,04-May,273.1431633,1.72,FALSE,48.187473,,9.486444444,78.555,GOOD,Available,11KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55499999999999 9.486444444444444, 78.55297222222222 9.488083333333332)"
7,6,,S,DA,26,05-Jun,288.4276454,1.53,FALSE,50.227066,,9.488083333,78.55297222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55297222222222 9.488083333333332, 78.55069444444445 9.48986111111111)"
8,7,,T,DB,25,06-Jul,319.9888601,2.11,0,50.158005,"11°12'0""L",9.489861111,78.55069444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55069444444445 9.48986111111111, 78.54891666666667 9.491916666666667)"
9,8,,S,DA,26,07-Aug,297.4857622,4.09,0,51.404068,,9.491916667,78.54891667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54891666666667 9.491916666666667, 78.54741666666666 9.493777777777776)"
10,9,,S,DA,26,08-Sep,264.2984602,6.1,FALSE,53.849613,,9.493777778,78.54741667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54741666666666 9.493777777777776, 78.54566666666666 9.495861111111111)"
11,10,,T,DB,25,09-Oct,299.3265122,3.61,FALSE,54.726788,"34°53'24""L",9.495861111,78.54566667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54566666666666 9.495861111111111, 78.54563888888889 9.496277777777777)"
12,11,,T,H-POLE,12,10-Nov,44.51264592,NIL,FALSE,54.127613,,9.496277778,78.54563889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54563888888889 9.496277777777777, 78.54558333333333 9.4965)"
13,11A,,T,H-POLE,12,14-15,26.58796644,NIL,FALSE,54.472385,,9.4965,78.54558333,GOOD,Available,220kV KKDI -TTPP,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54558333333333 9.4965, 78.5455 9.49686111111111)"
