S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,137,S,SA,22,"=B22& "" - ""&B23",238.61376592340443,1.02,"=IF(H23>15,0)",176.842209,,10.0205,77.94697222222223,GOOD,Available,11KV,Village Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94697222222223 10.0205, 77.94702777777778 10.022583333333333)"
19,136,S,SA,22,"=B23& "" - ""&B24",232.02383708152414,2.61,"=IF(H24>15,0)",176.642486999999,,10.022583333333333,77.94702777777778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94702777777778 10.022583333333333, 77.94705555555556 10.024638888888889)"
20,135,S,SA,22,"=B24& "" - ""&B25",226.08514970320667,1.13,"=IF(H25>15,0)",179.37204,,10.024638888888889,77.94705555555556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94705555555556 10.024638888888889, 77.94711111111111 10.026722222222222)"
21,134,S,SA,22,"=B25& "" - ""&B26",230.99688254728767,3.04,"=IF(H26>15,0)",177.705429,,10.026722222222222,77.94711111111111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94711111111111 10.026722222222222, 77.94711111111111 10.027944444444445)"
22,133,S,SA,22,"=B26& "" - ""&B27",136.06335983106956,2.09,"=IF(H27>15,0)",178.67836,,10.027944444444445,77.94711111111111,GOOD,Available,"LT,11KV",Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94711111111111 10.027944444444445, 77.94722222222222 10.029527777777778)"
23,132,T,SB,21,"=B27& "" - ""&B28",175.37709464932698,1.42,"=IF(H28>15,0)",179.795486,"3°6'0""R",10.029527777777778,77.94722222222222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94722222222222 10.029527777777778, 77.94727777777778 10.033138888888889)"
24,131,T,SB,21,"=B28& "" - ""&B29",401.8953642475127,2.17,"=IF(H29>15,0)",177.11525,"1°7'12""L",10.033138888888889,77.94727777777778,GOOD,Available,,Vaigai River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94727777777778 10.033138888888889, 77.94733333333333 10.035416666666666)"
25,130,T,SB,21,"=B29& "" - ""&B30",249.5338169710883,1.38,"=IF(H30>15,0)",180.050034,"25°47'24""R",10.035416666666666,77.94733333333333,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94733333333333 10.035416666666666, 77.94652777777779 10.037194444444445)"
26,129,S,SA,22,"=B30& "" - ""&B31",218.1131143457712,2.27,"=IF(H31>15,0)",179.536896,,10.037194444444445,77.94652777777779,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94652777777779 10.037194444444445, 77.94566666666667 10.039111111111112)"
27,128,S,SA,22,"=B31& "" - ""&B32",231.36780248221748,1.08,"=IF(H32>15,0)",180.757126,,10.039111111111112,77.94566666666667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94566666666667 10.039111111111112, 77.94480555555556 10.041)"
