S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, Gantry  ( VGTPS SS),Gantry,Gantry,18,,,,,12,,9.348444444444445,78.92491666666668,,,,,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92491666666668 9.348444444444445, 78.92544444444445 9.348361111111112)"
2,1,T,DB,25, Gantry-1,59.60354153783134,0.59,"=IF(H7>15,0)",12.021565,"66°9'36""L",9.348361111111112,78.92544444444445,GOOD,,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92544444444445 9.348361111111112, 78.92616666666667 9.345833333333333)"
3,2,T,DB,25,1-2,292.0645324016219,1.44,"=IF(H8>15,0)",11.8348879999999,"1°4'48""R",9.345833333333333,78.92616666666667,GOOD,Available,11KV,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92616666666667 9.345833333333333, 78.92694444444444 9.343305555555556)"
4,3,T,DB,25,2-3,291.0058303307115,0.03,"=IF(H9>15,0)",10.621618,"25°48'0""L",9.343305555555556,78.92694444444444,GOOD,Available,110KV - UP,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92694444444444 9.343305555555556, 78.92669444444445 9.341805555555556)"
5,4,T,DB,25,3-4,168.5924374837344,0.04,"=IF(H10>15,0)",9.071958,"87°20'24""L",9.341805555555556,78.92669444444445,GOOD,Available,11KV-2N,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92669444444445 9.341805555555556, 78.92441666666667 9.342083333333333)"
6,5,S,SA,21,4-5,251.63766325602052,0.13,"=IF(H11>15,0)",8.941637,,9.342083333333333,78.92441666666667,GOOD, NO E/W,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92441666666667 9.342083333333333, 78.92208333333333 9.342361111111112)"
7,6,S,SA,21,5-6,258.21505158521904,0.61,"=IF(H12>15,0)",9.126858,,9.342361111111112,78.92208333333333,GOOD, NO E/W,"LT,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92208333333333 9.342361111111112, 78.91994444444445 9.342611111111111)"
8,7,S,SA,21,6-7,236.66120185150956,1.34,"=IF(H13>15,0)",9.063186,,9.342611111111111,78.91994444444445,GOOD, NO E/W,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91994444444445 9.342611111111111, 78.918 9.342861111111112)"
9,8,T,SB,21.6,7-8,216.76834042713259,1.1,"=IF(H14>15,0)",8.851831,"7°26'60""R",9.342861111111112,78.918,GOOD, NO E/W,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.918 9.342861111111112, 78.91575 9.342861111111112)"
10,9,T,SB,21.6,8-9,246.68130111059142,0.41,"=IF(H15>15,0)",9.270315,"4°13'48""R",9.342861111111112,78.91575,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91575 9.342861111111112, 78.91344444444445 9.342694444444446)"
11,10,S,SA,21,9-10,253.77558500607353,2.87,"=IF(H16>15,0)",9.39079699999999,,9.342694444444446,78.91344444444445,GOOD,Available,2-LT,Road,Plain,,,=117.16-36.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91344444444445 9.342694444444446, 78.91136111111112 9.342555555555556)"
12,11,S,SA,21,10-11,230.44813887129763,1.76,"=IF(H17>15,0)",9.55659099999999,,9.342555555555556,78.91136111111112,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91136111111112 9.342555555555556, 78.90908333333334 9.34238888888889)"
13,12,S,SA,21,11-12,250.99891754137153,2.05,"=IF(H18>15,0)",9.013386,,9.34238888888889,78.90908333333334,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90908333333334 9.34238888888889, 78.90663888888889 9.342222222222222)"
14,13,T,SB,21.6,12-13,266.67248880965275,3.15,"=IF(H19>15,0)",10.317149,"26°55'48""L",9.342222222222222,78.90663888888889,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90663888888889 9.342222222222222, 78.90477777777778 9.343027777777777)"
15,14,S,SA,21,13-14,223.46642335166513,1.98,"=IF(H20>15,0)",9.22549,,9.343027777777777,78.90477777777778,GOOD, NO E/W,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90477777777778 9.343027777777777, 78.90280555555556 9.34388888888889)"
16,15,S,SA,21,14-15,237.62950719979466,2.4,"=IF(H21>15,0)",9.604015,,9.34388888888889,78.90280555555556,GOOD, NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90280555555556 9.34388888888889, 78.90063888888889 9.344805555555556)"
17,16,S,SA,21,15-16,258.16830170869434,3.12,"=IF(H22>15,0)",11.6933539999999,,9.344805555555556,78.90063888888889,GOOD, NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90063888888889 9.344805555555556, 78.89877777777778 9.345611111111111)"
18,17,T,SB,21.6,16-17,223.439269794343,4.01,"=IF(H23>15,0)",10.0598139999999,"9°21'0""R",9.345611111111111,78.89877777777778,GOOD, NO E/W,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89877777777778 9.345611111111111, 78.8966388888889 9.34613888888889)"
