S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),t,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Periyar SS,2W,Gantry,Gantry,12,,,,,494.492157,,9.627444444,77.19175,GOOD,Available,,,Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19175 9.627444444444444, 77.19205555555556 9.626972222222223)"
2,1,,T,DB,26, Pgy- 01,61.29097091,1.84,FALSE,515.124512,"39°8'24"" R",9.626972222,77.19205556,GOOD,Available,,,Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19205555555556 9.626972222222223, 77.19297222222222 9.626722222222222)"
3, 01A,,T,DB,26, 01- 01A,103.5885635,5.33,FALSE,526.773254,"0°35'24"" R",9.626722222,77.19297222,GOOD,Available,,Road,Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19297222222222 9.626722222222222, 77.19552777777778 9.625944444444444)"
4,2,,T,DB,26, 01A- 02,294.7553829,3.8,FALSE,545.892578,"2°58'12"" R",9.625944444,77.19552778,GOOD,Available,,NH 183,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19552777777778 9.625944444444444, 77.19819444444445 9.625361111111111)"
5,3,,T,DC,26, 02- 03,299.4238359,1.56,FALSE,552.333801,"60°26'60""R",9.625361111,77.19819444,GOOD,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19819444444445 9.625361111111111, 77.20016666666668 9.627472222222222)"
6,4,,S,DA,26, 03- 04,319.0672044,8.78,FALSE,536.751831,,9.627472222,77.20016667,GOOD,Available,"11KV, LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20016666666668 9.627472222222222, 77.20127777777778 9.62863888888889)"
7,5,,S,DA,26, 04- 05,178.4646399,8.74,FALSE,526.747009,,9.628638889,77.20127778,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20127777777778 9.62863888888889, 77.20205555555556 9.629472222222223)"
8,6,,S,DA,28, 05- 06,124.1452812,1.98,FALSE,523.106506,,9.629472222,77.20205556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20205555555556 9.629472222222223, 77.20391666666667 9.631472222222223)"
9,7,,S,DA,26, 06- 07,301.0814696,4.18,FALSE,507.971405,,9.631472222,77.20391667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20391666666667 9.631472222222223, 77.20608333333334 9.633805555555556)"
10,8,,S,DA,26, 07- 08,351.4964147,2.33,FALSE,496.690186,,9.633805556,77.20608333,GOOD,Available,11KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20608333333334 9.633805555555556, 77.20786111111111 9.635722222222222)"
11,9,,S,DA,26, 08- 09,287.2829491,1.52,FALSE,488.681885,,9.635722222,77.20786111,GOOD,Available,,Village Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20786111111111 9.635722222222222, 77.20913888888889 9.63711111111111)"
12,10,2W,T,DC,26, 09- 10,210.2865367,3.36,FALSE,484.701202,"34°48'36""R",9.637111111,77.20913889,GOOD,Available,11KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20913888888889 9.63711111111111, 77.20941666666667 9.639222222222221)"
13,11,,S,DA,26, 10- 11,235.0789233,2.38,FALSE,478.959473,,9.639222222,77.20941667,GOOD,Available,LT,NH 183,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20941666666667 9.639222222222221, 77.20980555555556 9.641833333333333)"
14,12,,S,DA,26, 11- 12,290.0550584,2.33,FALSE,473.795685,,9.641833333,77.20980556,GOOD,Available,2LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20980555555556 9.641833333333333, 77.21011111111112 9.644416666666666)"
15,13,,S,DA,26, 12- 13,289.1798856,1.78,FALSE,469.773651,,9.644416667,77.21011111,GOOD,Available,Above -230KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21011111111112 9.644416666666666, 77.2105 9.647361111111111)"
16,14,,S,DA,26, 13- 14,328.0454178,6.36,FALSE,472.996918,,9.647361111,77.2105,GOOD,Available,,River Crossing,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2105 9.647361111111111, 77.21091666666666 9.650222222222222)"
17,15,,S,DA,26, 14- 15,320.4359632,0.48,FALSE,480.768036,,9.650222222,77.21091667,GOOD,Available,,Road Crossing,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21091666666666 9.650222222222222, 77.21127777777778 9.652944444444445)"
