S.No,Tower No.,Joint Box,Tower Suspension/Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, CO01 (111A),3W,T,DC+0,28,,,4.14,FALSE,374.561096,,9.849472222,77.36930556,GOOD,Available,,River,Plain,LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36930555555556 9.849472222222223, 77.36944444444444 9.84813888888889)"
2, CO02,,S,DA+3,26, CO01- CO02,148.7841444,5.91,FALSE,340.620514,,9.848138889,77.36944444,GOOD,Available,11KV,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36944444444444 9.84813888888889, 77.36963888888889 9.846111111111112)"
3, CO03,,S,DA+0,26, CO02- CO03,224.568078,3.02,FALSE,344.444183,,9.846111111,77.36963889,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36963888888889 9.846111111111112, 77.36991666666665 9.843416666666668)"
4, CO04,,S,DA+0,26, CO03- CO04,297.4921234,4.76,FALSE,347.643463,,9.843416667,77.36991667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36991666666665 9.843416666666668, 77.37016666666666 9.841027777777779)"
5, CO05,,T,DB+0,28, CO04- CO05,268.3074531,4.82,FALSE,351.296478,"1°26'60"" L",9.841027778,77.37016667,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37016666666666 9.841027777777779, 77.37038888888888 9.8385)"
6, CO06,,S,DA+0,26, CO05- CO06,279.5729084,1.84,FALSE,353.983215,,9.8385,77.37038889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37038888888888 9.8385, 77.37058333333333 9.836055555555555)"
7, CO07,,S,DA+0,26, CO06- CO07,271.9597876,0.67,FALSE,356.843048,,9.836055556,77.37058333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37058333333333 9.836055555555555, 77.37083333333332 9.833833333333335)"
8, CO08,,T,DC+0,28, CO07- CO08,248.0178145,0.46,FALSE,356.44809,"12°52'12"" L",9.833833333,77.37083333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37083333333332 9.833833333333335, 77.37063888888888 9.832277777777778)"
9, CO09,,S,DA+0,26, CO08- CO09,172.4851633,2.59,FALSE,361.184906,,9.832277778,77.37063889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37063888888888 9.832277777777778, 77.37047222222222 9.830805555555555)"
10, CO10,,T,DC+0,28, CO09- CO10,164.938136,1.16,FALSE,364.160034,"11°34'12"" R",9.830805556,77.37047222,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37047222222222 9.830805555555555, 77.37063888888888 9.829)"
