S.No,Tower No.,Joint Box,Tower Suspension / Tension,D,M,S,,,,,Deviation Angle,TOWER MODEL,Tower Type,Tower Height (m),,,Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO TO.NO.1,3W,S,,,,,,,,,GC,DB+0,22,,,,,0.75,FALSE,265.2073975,,10.42651758,78.03906349,Good,Good,,,Plain, (LILO SEMPATTI TO TRICHY UPTO AYYALUR  LINE),,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0390634853392 10.4265175759792, 78.0395392421633 10.4237618576735)"
2,TO.NO:2,,S,,,,25,33,56,RT,35°39'5''RT,GC,DA+0,24,T 84,T  1,T1-T2,318,2.55,FALSE,259.920166,,10.42376186,78.03953924,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0395392421633 10.4237618576735, 78.0400626920163 10.4210254177451)"
3,TO.NO:3,,T,23,40,54.26920442,,,,,20°41'55''RT,KC,DC+0,22,T 1,T  2,T2-T3,317,3.28,FALSE,263.0444336,23°40'54''LT,10.42102542,78.04006269,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0400626920163 10.4210254177451, 78.0410812608897 10.419553052634)"
4,TO.NO:4,,S,,,,,,,,33°34'40''RT,GC,DA+0,24,T 2,T  3,T3-T4,206,2.64,FALSE,264.2460938,,10.41955305,78.04108126,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0410812608897 10.419553052634, 78.0423856526613 10.4177648574113)"
5,TO.NO:5,,S,,,,,,,,1°53'60''RT,GC,DA+0,24,T 3,T  4,T4-T5,253,1.88,FALSE,261.6025391,,10.41776486,78.04238565,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0423856526613 10.4177648574113, 78.0434743780642 10.4161822702735)"
6,TO.NO:6,,T,4,54,42.18547677,12,25,18,RT,0°7'23''RT,KC,DB+6,28,T 4,T  5,T5-T6,220,1.27,FALSE,261.6025391,4°54'42''LT,10.41618227,78.04347438,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0434743780642 10.4161822702735, 78.044491270557 10.4149465262889)"
7,TO.NO:7 LILO THAMARAIPADI,3W,T,12,34,53.34986609,19,2,57,RT,1°3'24''RT,KC,DB+6,28,T 5,T  6,T6-T7,185,3.25,FALSE,259.1992188,12°34'12''LT,10.41494653,78.04449127,Good,Good,,"THAMARAIPADI TAPPING, DIN-TRY HIGHWAY,22KV-1",Plain,"THAMARAIPADI TAPPING, DIN-TRY HIGHWAY,22KV-1",,,,,,,,,,,,,,,,,,,,"LINESTRING(78.044491270557 10.4149465262889, 78.04606388323 10.4137191642075)"
8,TO.NO:8,,S,,,,35,20,50,RT,1°15'31''RT,GC,DB+0,28,T 6,T  7,T7-T8,228,2.95,FALSE,261.8427734,,10.41371916,78.04606388,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.04606388323 10.4137191642075, 78.0474838614463 10.4127124976366)"
9,TO.NO:9,,T,15,49,20.0504287,,,,,0°44'22''RT,KC,DC+0,22,T 7,T  8,T8-T9,200,2.28,FALSE,274.3398438,15°49'20''LT,10.4127125,78.04748386,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0474838614463 10.4127124976366, 78.0488715693354 10.4122183006256)"
10,TO.NO:10,,S,,,,36,10,14,RT,0°28'43''RT,GC,DA+0,24,T 8,T  9,T9-T10,170,1.95,FALSE,268.0914307,,10.4122183,78.04887157,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0488715693354 10.4122183006256, 78.0508412327617 10.411518914625)"
11,TO.NO:11,,T,21,33,12.3055836,34,31,15,RT,22°2'55''RT,KC,DC+0,22,T 9,T  10,T10-T11,238,3.6,FALSE,268.331665,21°33'12''LT,10.41151891,78.05084123,Good,Good,LT ,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0508412327617 10.411518914625, 78.0525741912424 10.410012518987)"
12,TO.NO:12,,S,,,,57,59,5,LT,0°14'43''RT,GC,DA+0,24,T 10,T  11,T11-T12,261,5.65,FALSE,272.1768799,,10.41001252,78.05257419,Good,Good,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0525741912424 10.410012518987, 78.0542729515582 10.4085553251206)"
13,TO.NO:13,,T,17,49,52.33989923,,,,,0°4'2''RT,KC,DC+0,22,T 11,T  12,T12-T13,255,0.64,FALSE,268.331665,17°49'52''LT,10.40855533,78.05427295,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0542729515582 10.4085553251206, 78.0549512989819 10.4074490815401)"
14,TO.NO:14,,T,10,0,3.534980713,16,22,56,LT,0°12'40''RT,KC,DB+0,22,T 12,T  13,T13-T14,152,1.57,FALSE,275.5415039,10°0'4''LT,10.40744908,78.0549513,Good,Good,,RAIL WAY CROSSING,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0549512989819 10.4074490815401, 78.0562252644449 10.4060115013271)"
15,TO.NO:15,,S,,,,9,52,50,LT,0°21'20''RT,GC,DA+0,24,T 13,T  14,T14-T15,220,3.85,FALSE,272.4172363,,10.4060115,78.05622526,Good,Good,11KV,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0562252644449 10.4060115013271, 78.0576076079159 10.4045538045465)"
16,TO.NO:16,,S,,,,,,,,0°27'28''RT,GC,DA+0,24,T 14,T  15,T15-T16,230,4.65,FALSE,277.7044678,,10.4045538,78.05760761,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0576076079159 10.4045538045465, 78.0591730121523 10.402837274596)"
17,TO.NO:17,,S,,,,,,,,0°25'28''RT,KC,DA+0,24,T 15,T  16,T16-T17,265,2.57,FALSE,278.1850586,,10.40283727,78.05917301,Good,Good,11KV,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0591730121523 10.402837274596, 78.060705056414 10.4017580207437)"
18,TO.NO:18,,S,,,,,,,,0°4'40''RT,GC,DA+0,24,T 16,T  17,T17-T18,215,0.61,FALSE,281.5496826,,10.40175802,78.06070506,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.060705056414 10.4017580207437, 78.0623209197074 10.4006097000092)"
19,TO.NO:19,,S,,,,,,,,0°5'17''RT,GC,DA+0,24,T 17,T  18,T18-T19,227,0.9,FALSE,279.8673096,,10.4006097,78.06232092,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0623209197074 10.4006097000092, 78.0641052592545 10.399330034852)"
20,TO.NO:20,,S,,,,,,,,0°3'21''RT,GC,DA+0,24,T 18,T  19,T19-T20,250,1.74,FALSE,277.4641113,,10.39933003,78.06410526,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0641052592545 10.399330034852, 78.0658747628331 10.3980466816574)"
21,TO.NO:21,,S,,,,,,,,0°36'56''RT,GC,DA+0,24,T 19,T  20,T20-T21,249,2.28,FALSE,289.7208252,,10.39804668,78.06587476,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0658747628331 10.3980466816574, 78.0678508803248 10.3966518491506)"
22,TO.NO:22,2W,T,11,15,5.656093924,23,53,12,LT,0°41'8''RT,KC,DB+0,22,T 20,T  21,T21-T22,274,1.98,FALSE,287.317627,11°15'6''LT,10.39665185,78.06785088,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0678508803248 10.3966518491506, 78.0700339470058 10.3956788778305)"
23,TO.NO:23,,S,,,,,,,,0°9'9''RT,GC,DA+0,24,T 21,T  22,T22-T23,271,5.45,FALSE,287.0772705,,10.39567888,78.07003395,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0700339470058 10.3956788778305, 78.0723375454545 10.3946665953844)"
24,TO.NO:24,,S,,,,,,,,52°28'35''RT,GC,DA+0,24,T 22,T  23,T23-T24,285,4.8,FALSE,285.3950195,,10.3946666,78.07233755,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0723375454545 10.3946665953844, 78.0744405649602 10.3937202785164)"
25,TO.NO:25,,S,,,,,,,,0°1'13''RT,GC,DA+0,24,T 23,T  24,T24-T25,262,2.75,FALSE,292.1241455,,10.39372028,78.07444056,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0744405649602 10.3937202785164, 78.0765817221254 10.392746804282)"
26,TO.NO:26,,S,,,,,,,,0°14'34''RT,GC,DA+0,24,T 24,T  25,T25-T26,267,3.35,FALSE,290.6821289,,10.3927468,78.07658172,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0765817221254 10.392746804282, 78.0789652839303 10.3917351085692)"
27,TO.NO:27,,S,,,,,,,,0°0'39''RT,KC,DA+0,24,T 25,T  26,T26-T27,293,0.9,FALSE,290.4418945,,10.39173511,78.07896528,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0789652839303 10.3917351085692, 78.0813243705779 10.3907188866287)"
28,TO.NO:28,,T,14,16,11.48743387,,,,,0°18'23''RT,GC,DC+0,22,T 26,T  27,T27-T28,290,1.26,FALSE,288.5192871,14°16'11''LT,10.39071889,78.08132437,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0813243705779 10.3907188866287, 78.0837117880582 10.3903341572731)"
29,TO.NO:29,,S,,,,,,,,0°20'6''RT,KC,DA+0,24,T 27,T  28,T28-T29,274,1.61,FALSE,289.9611816,,10.39033416,78.08371179,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0837117880582 10.3903341572731, 78.0855511967092 10.390040371567)"
30,TO.NO:30,,T,,,,,,,,,KC,DC+0,22,,,T29-T30,213,0.38,FALSE,288.0385742,26°28'10''RT,10.39004037,78.0855512,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0855511967092 10.390040371567, 78.087279126048 10.388814099133)"
31,TO.NO:31,,S,26,28,9.731361589,20,34,52,LT,2°49'33''RT,GC,DA+0,24,T 28,T  29,T30-T31,242,6.53,FALSE,281.0689697,,10.3888141,78.08727913,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.087279126048 10.388814099133, 78.0892469454556 10.3873905166983)"
32,TO.NO:32,,T,,,,,,,,0°31'13''RT,KC,DC+0,22,T 29,T  30,T31-T32,276,4.55,FALSE,280.107666,18°14'50''RT,10.38739052,78.08924695,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0892469454556 10.3873905166983, 78.0910697579383 10.3868073038756)"
33,TO.NO:33,,S,18,14,50.12298885,,,,,0°33'6''RT,GC,DA+0,24,T 30,T  31,T32-T33,218,3.84,FALSE,279.3867188,,10.3868073,78.09106976,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0910697579383 10.3868073038756, 78.0929909739643 10.3861130308359)"
34,TO.NO:34,,T,,,,17,1,7,RT,0°34'6''RT,KC,DB+0,22,T 31,T  32,T33-T34,233,1.32,FALSE,293.0854492,7°38'59''RT,10.38611303,78.09299097,Good,Good,"22KV-1,11KV-1",THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0929909739643 10.3861130308359, 78.0949621461331 10.3850883431732)"
35,TO.NO:35,,S,7,38,58.61286314,,,,,0°15'53''RT,GC,DA+0,24,T 32,T  33,T34-T35,253,1.9,FALSE,294.0467529,,10.38508834,78.09496215,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0949621461331 10.3850883431732, 78.0969130340963 10.3840442933142)"
36,TO.NO:36,,S,,,,,,,,0°14'35''RT,GC,DA+0,24,T 33,T  34,T35-T36,252,2.95,FALSE,297.4112549,,10.38404429,78.09691303,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0969130340963 10.3840442933142, 78.098854618147 10.3830073680728)"
37,TO.NO:37,,T,,,,59,29,46,LT,0°12'21''RT,KC,DC+0,22,T 34,T  35,T36-T37,250,3.68,FALSE,300.0550537,28°49'33''LT,10.38300737,78.09885462,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.098854618147 10.3830073680728, 78.1010817736387 10.3830258920788)"
38,TO.NO:38,,S,28,49,32.69130371,24,5,51,LT,0°48'20''RT,GC,DA+0,24,T 35,T  36,T37-T38,253,1.46,FALSE,305.5825195,,10.38302589,78.10108177,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1010817736387 10.3830258920788, 78.1031218450516 10.3830719925463)"
39,TO.NO:39,,S,,,,15,35,28,LT,0°29'50''RT,GC,DA+0,24,T 36,T  37,T38-T39,232,2.47,FALSE,302.6986084,,10.38307199,78.10312185,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1031218450516 10.3830719925463, 78.1051310710608 10.3830637782812)"
40,TO.NO:40,2W,T,,,,41,45,24,LT,0°28'27''RT,KC,DD+0,24,T 37,T  38,T39-T40,229,6.1,FALSE,305.822876,37°30'16''LT,10.38306378,78.10513107,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1051310710608 10.3830637782812, 78.1074459012597 10.3812898322939)"
41,TO.NO:41,,T,37,30,16.41725285,,,,,44°43'18''RT,KC,DC+0,22,T 38,T  39,T40-T41,329,3.93,FALSE,300.0550537,17°12'30''RT,10.38128983,78.1074459,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1074459012597 10.3812898322939, 78.1093931850045 10.3805677313357)"
