S.No,Tower No.,Joint Box,Tower Suspension/ Tension,Deviation Angle,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,110 LILO,3W,DB+0,,T,26,,,4.14,FALSE,99.442169,,9.944857889,78.53127902,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53127901612534 9.944857888609306, 78.53152703663959 9.943494907355122)"
2,2,,C+0,9°48'9''RT,S,26,110 LILO -2,156,0.64,FALSE,89.707321,9°48'9''RT,9.943494907,78.53152704,Good,Available,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53152703663959 9.943494907355122, 78.53225802241319 9.941506887606083)"
3,3,,C+0,12°9'55''RT,S,26,02-Mar,237,0.33,FALSE,91.469055,12°9'55''RT,9.941506888,78.53225802,Good,Available,11 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53225802241319 9.941506887606083, 78.53225897098287 9.941229019398218)"
4,4H,,H POLE,,T,12,3-4H,33,0.06,FALSE,91,,9.941229019,78.53225897,Good,Missing,66 KV,H-POLE,Plain,E/W Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53225897098287 9.941229019398218, 78.5333960334036 9.940263935243252)"
5,5,,C+0,1°3'18''RT,S,26,4H-5,167,4.37,FALSE,92.663132,1°3'18''RT,9.940263935,78.53339603,Good,Missing,,Road,Plain,E/W Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5333960334036 9.940263935243252, 78.53522597049886 9.938651927716345)"
6,6,,A+0,,S,28,05-Jun,271,0.02,FALSE,91.585754,,9.938651928,78.53522597,Good,Missing,11 KV,Village Road,Plain,E/W Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53522597049886 9.938651927716345, 78.5374770144083 9.936555949121816)"
7,7,,A+0,,S,28,06-Jul,341,0.18,FALSE,88.929749,,9.936555949,78.53747701,Good,Missing,LT,Road,Plain,E/W Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5374770144083 9.936555949121816, 78.5396969614571 9.93448394276826)"
8,8,,D+0,27°22'14''RT,S,26,07-Aug,337,0.38,FALSE,87.54007,27°22'14''RT,9.934483943,78.53969696,Good,Missing,LT,,Plain,E/W Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5396969614571 9.93448394276826, 78.54191699232486 9.93385689269222)"
9,9,,A+0,,S,28,08-Sep,256,7.64,FALSE,89.483109,,9.933856893,78.54191699,Good,Available,"11KV, LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54191699232486 9.93385689269222, 78.5444779990128 9.933121883718949)"
10,10,,A+0,,T,28,09-Oct,295,1.17,FALSE,91.295158,,9.933121884,78.544478,Good,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5444779990128 9.933121883718949, 78.5471020376123 9.932402884181997)"
