S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 1,3W,T,DB,25,,,4.62,FALSE,125.2304,,10.1485,78.73936111,GOOD,Available,,,Plain,LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.73936111111111 10.1485, 78.74044444444445 10.150222222222222)"
2,2,,T,DB,25,01-Feb,222.8178281,3.51,FALSE,128.431656,"1°34'12""R",10.15022222,78.74044444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74044444444445 10.150222222222222, 78.74169444444445 10.152333333333333)"
3,3,,T,DB,25,02-Mar,272,3.3,FALSE,127.847748,"15°34'12""R",10.15233333,78.74169444,GOOD,Available,"HT,LT",Aadhankudi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74169444444445 10.152333333333333, 78.74213888888889 10.154)"
4,4,,S,DA,26,03-Apr,192,2.77,FALSE,129.520538,,10.154,78.74213889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74213888888889 10.154, 78.74277777777777 10.156083333333333)"
5,5,,T,DB,25,04-May,242,1.56,FALSE,129.030457,"19°15'0""L",10.15608333,78.74277778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74277777777777 10.156083333333333, 78.74369444444444 10.157333333333334)"
6,6,,T,DC,26,05-Jun,175,2.2,FALSE,128.630112,"37°46'12""L",10.15733333,78.74369444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74369444444444 10.157333333333334, 78.74622222222223 10.158083333333334)"
7,7,,S,DA+3,29,06-Jul,287.5249624,3.15,FALSE,127.071945,,10.15808333,78.74622222,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74622222222223 10.158083333333334, 78.74866666666667 10.158777777777779)"
8,8,,T,DB+3,28,07-Aug,282,4.3,FALSE,126.414566,"10°20'24""L",10.15877778,78.74866667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.74866666666667 10.158777777777779, 78.75102777777778 10.159027777777778)"
9,9,,S,DA,26,08-Sep,262.2588893,2.74,FALSE,125.983353,,10.15902778,78.75102778,GOOD,Available,66KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75102777777778 10.159027777777778, 78.75361111111111 10.15925)"
10,10,,S,DA+3,29,09-Oct,283.6276857,2.15,FALSE,122.353836,,10.15925,78.75361111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.75361111111111 10.15925, 78.75563888888888 10.159416666666667)"
