S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry (Theni SS),Gantry,H-Pole,12,,,,,302.442902,,10.002916666666666,77.46733333333333,GOOD,NO E/W,,,SS,Cement Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46733333333333 10.002916666666666, 77.46697222222222 10.002833333333333)"
2,201,T,DC,26,Gantry-201,39.42400186021278,0.28,"=IF(H7>15,0)",313.012085,"36°12'36""L",10.002833333333333,77.46697222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46697222222222 10.002833333333333, 77.46572222222223 10.003333333333334)"
3,200,T,DC,26,201-200,147.45525776401735,1.2,"=IF(H8>15,0)",313.723602,"61°35'60""R",10.003333333333334,77.46572222222223,GOOD,NO E/W,3-11KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46572222222223 10.003333333333334, 77.46530555555556 10.003)"
4,200A,T,DB,25,200- 200A,60.4839362423607,0.56,"=IF(H9>15,0)",314,"16°16'48""L",10.003,77.46530555555556,GOOD,Available,"2-11 KV,LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46530555555556 10.003, 77.46366666666667 10.002305555555555)"
5,199,T,DB,25, 200A-199,194.33528907207125,0.3,"=IF(H10>15,0)",316.925750999999,"0°3'36""R",10.002305555555555,77.46366666666667,GOOD,Available,"3-LT,2-11KV",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46366666666667 10.002305555555555, 77.46136111111112 10.00136111111111)"
6,LILO : 198,T,DB,25,199-198,274.2270584755279,8.01,"=IF(H11>15,0)",311.294464,"19°1'12""R",10.00136111111111,77.46136111111112,GOOD,Available,"5-LT,4-11KV",Village Road,Plain,T. Off at Bodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46136111111112 10.00136111111111, 77.45925 9.999472222222222)"
7,197,S,DA,26,198-197,312.2563316992327,5.46,"=IF(H12>15,0)",312.689849999999,,9.999472222222222,77.45925,GOOD,Available,110 KV Theni- Bodi,Street Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45925 9.999472222222222, 77.45716666666667 9.997527777777776)"
8,196,T,DB,25,197-196,314.6264031528561,0.92,"=IF(H13>15,0)",312.331756999999,"10°41'60""R",9.997527777777776,77.45716666666667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45716666666667 9.997527777777776, 77.45569444444445 9.995555555555555)"
9,195,S,DA,26,196-195,270.0414772982464,0.68,"=IF(H14>15,0)",312.151855,,9.995555555555555,77.45569444444445,GOOD,Available,"3-11KV,2LT",Street Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45569444444445 9.995555555555555, 77.45427777777778 9.993527777777777)"
10,194,T,DC,26,195-194,275.43652246049186,0.32,"=IF(H15>15,0)",313.600127999999,"34°34'12""R",9.993527777777777,77.45427777777778,GOOD,Available,"5-LT,11KV",Street Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45427777777778 9.993527777777777, 77.45425 9.992111111111111)"
11,193,T,DC,26,194-193,153.93045239439232,2.3,"=IF(H16>15,0)",317.451904,"30°5'24""L",9.992111111111111,77.45425,GOOD,Available,"3-LT,11KV",Bodi-Theni Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45425 9.992111111111111, 77.45316666666668 9.990277777777777)"
12,192,T,DB,25,193-192,237.99970414508354,0.95,"=IF(H17>15,0)",319.260437,"6°32'60""L",9.990277777777777,77.45316666666668,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45316666666668 9.990277777777777, 77.45130555555556 9.98786111111111)"
13,191,T,DB,25,192-191,336.23236194332276,0.36,"=IF(H18>15,0)",317.59314,"3°53'24""R",9.98786111111111,77.45130555555556,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45130555555556 9.98786111111111, 77.44961111111111 9.985249999999999)"
14,190,S,DA,26,191-190,342.67983124782796,4.33,"=IF(H19>15,0)",318.768707,,9.985249999999999,77.44961111111111,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44961111111111 9.985249999999999, 77.44800000000001 9.982944444444444)"
15,189,T,DB,25,190-189,309.1409012585862,0.48,"=IF(H20>15,0)",317.17453,"1°10'48""R",9.982944444444444,77.44800000000001,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44800000000001 9.982944444444444, 77.4465 9.980666666666666)"
16,188,T,DB,25,189-188,301.319281933558,1.2,"=IF(H21>15,0)",317.832030999999,"1°41'24""L",9.980666666666666,77.4465,GOOD,NO E/W,"LT,230KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4465 9.980666666666666, 77.4453888888889 9.979111111111111)"
17,187,S,DA,26,188-187,210.33039993906198,1.06,"=IF(H22>15,0)",323.997742,,9.979111111111111,77.4453888888889,GOOD,Available,"2-LT,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4453888888889 9.979111111111111, 77.44441666666667 9.977694444444445)"
18,186,T,DB,25,187-186,190.20863872694648,0.26,"=IF(H23>15,0)",325.747833,"0°39'0""R",9.977694444444445,77.44441666666667,GOOD,Available,,LS MILL,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44441666666667 9.977694444444445, 77.44344444444445 9.976222222222223)"
19,185,T,DB,25,186-185,194.59752737137822,0.28,"=IF(H24>15,0)",323.755248999999,"18°51'36""L",9.976222222222223,77.44344444444445,GOOD,Available,,LS MILL,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44344444444445 9.976222222222223, 77.44275 9.975666666666667)"
20,184,T,DC,26,185-184,99.6722580767734,0.92,"=IF(H25>15,0)",321.761566,"31°32'60""R",9.975666666666667,77.44275,GOOD,Available,,High Way,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44275 9.975666666666667, 77.44227777777778 9.974472222222222)"
21,183,T,DB,25,184-183,140.43495939934272,0.32,"=IF(H26>15,0)",320.743439,"5°47'24""L",9.974472222222222,77.44227777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44227777777778 9.974472222222222, 77.4415 9.972916666666666)"
