S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,325,S,DA,26,326-325,284.69991512442346,2.91,109.022987,,8.265263038,77.53129701,GOOD,Available,HT,SAND ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53129701 8.265263038, 77.53419497 8.265193971)"
24,324,T,DC,26,325-324,319.54208055137286,4.76,126.81382,"3°36'2"" R",8.265193971,77.53419497,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53419497 8.265193971, 77.53676796 8.264971012)"
25,323,T,DC,26,324-323,284.7000597726892,1.89,130.875137,"13°6'29"" L",8.264971012,77.53676796,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53676796 8.264971012, 77.53961898 8.265377032)"
26,321,T,DC,26,323-321,317.4731138294831,6.05,131.020859,"17°28'52"" L",8.265377032,77.53961898,GOOD,Available,HT,SAND ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53961898 8.265377032, 77.54247403 8.264908986)"
27,320,S,DA,26,321-320,318.9560489657118,4.33,123.606468,,8.264908986,77.54247403,GOOD,Available,HT,SAND ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54247403 8.264908986, 77.54518004 8.264699019)"
28,319,S,DA,26,320-319,299.1978477520723,7.53,119.508148,,8.264699019,77.54518004,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54518004 8.264699019, 77.54761498 8.264400037)"
29,318,T,DC,26,319-318,270.4452924201236,4.01,114.183846,"39°4'11"" R",8.264400037,77.54761498,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54761498 8.264400037, 77.54904301 8.262921972)"
30,317,S,DA,26,318-317,227.01042435749414,8.9,105.806381,,8.262921972,77.54904301,GOOD,Available,"HT,110 KV",,PLAIN,DOWN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54904301 8.262921972, 77.55050196 8.261455977)"
31,316,T,DC,26,317-316,228.4373203088847,3.79,100.816666,"2°44'47"" L",8.261455977,77.55050196,GOOD,Available,HT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55050196 8.261455977, 77.55133999 8.260690961)"
32,315,T,DC,26,316-315,125.30401569361054,4.32,95.568451,"6°37'23"" L",8.260690961,77.55133999,GOOD,Available,,RAIL WAY ROAD,RAIL WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55133999 8.260690961, 77.55274999 8.259674991)"
33,314,S,DA,26,315-314,191.83190830498083,2.76,94.701561,,8.259674991,77.55274999,GOOD,Available,"HT,110KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55274999 8.259674991, 77.55419897 8.258652985)"
34,313,T,DC,26,314-313,195.71557670341835,3.63,95.808861,"10°19'58"" L",8.258652985,77.55419897,GOOD,Available,HT -3NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55419897 8.258652985, 77.55671497 8.257485973)"
35,312,S,DA,26,313-312,305.948161271508,5.24,95.476601,,8.257485973,77.55671497,GOOD,Available,HT -3NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55671497 8.257485973, 77.55874104 8.256563041)"
36,311,T,DC,26,312-311,245.59266741242698,4.84,91.861191,"49°20'29"" L",8.256563041,77.55874104,GOOD,Available,HT,NH ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55874104 8.256563041, 77.56039898 8.25732504)"
37,310,S,DA,26,311-310,201.28190433731373,3.93,92.220787,,8.25732504,77.56039898,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56039898 8.25732504, 77.56234199 8.258235985)"
38,309,S,DA,26,310-309,236.7286087539108,3.24,92.306206,,8.258235985,77.56234199,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56234199 8.258235985, 77.56444702 8.259269977)"
39,308,S,DA,26,309-308,258.7302353922299,2.31,91.686646,,8.259269977,77.56444702,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56444702 8.259269977, 77.566616 8.260342022)"
40,307,T,DC,26,308-307,266.916047062537,4.11,91.557564,"14°54'58"" R",8.260342022,77.566616,GOOD,Available,"HT,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.566616 8.260342022, 77.56881701 8.260787018)"
41,306,S,DA,26,307-306,247.58001123321299,3.79,90.520531,,8.260787018,77.56881701,GOOD,Available,HT,NH ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56881701 8.260787018, 77.57104198 8.261221033)"
42,305,T,DC,26,306-305,249.93286891291626,5.61,90.840767,"14°4'47"" L",8.261221033,77.57104198,GOOD,Available,"HT-2NO,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57104198 8.261221033, 77.57372201 8.262474965)"
43,304,T,DC,26,305-304,326.40409937574816,2.07,95.424973,"7°16'45"" R",8.262474965,77.57372201,GOOD,Available,110 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57372201 8.262474965, 77.57641696 8.263340984)"
44,303,S,DA,26,304-303,312.159111520512,1.84,102.581367,,8.263340984,77.57641696,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57641696 8.263340984, 77.57887001 8.264125027)"
45,302,T,DC,26,303-302,283.9958309648252,2.28,116.276085,"29°44'46"" R",8.264125027,77.57887001,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57887001 8.264125027, 77.58058604 8.263763012)"
46,301,S,DA,26,302-301,193.3660353217677,1.83,109.267265,,8.263763012,77.58058604,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58058604 8.263763012, 77.58206704 8.263431005)"
47,300,T,DC,26,301-300,167.34488709217501,2.17,103.401756,"50°50'37"" L",8.263431005,77.58206704,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58206704 8.263431005, 77.58287698 8.264065012)"
48,299,S,DA,26,300-299,113.55442513580785,5.1,102.819275,,8.264065012,77.58287698,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58287698 8.264065012, 77.58412203 8.265125994)"
49,298,S,DA,26,299-298,180.61984265738397,3.18,95.848351,,8.265125994,77.58412203,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58412203 8.265125994, 77.58607903 8.266764991)"
50,297,S,DA,26,298-297,281.84960185499983,4.23,86.24218,,8.266764991,77.58607903,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58607903 8.266764991, 77.587827 8.268207014)"
51,296,S,DA,26,297-296,250.1911583969214,3.42,85.8078,,8.268207014,77.587827,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.587827 8.268207014, 77.58968602 8.269716008)"
52,295,T,DC,26,296-295,264.35478328119984,6.11,85.443649,"25°33'18"" L",8.269716008,77.58968602,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58968602 8.269716008, 77.59056604 8.271573018)"
