S.No,Tower No.,Joint Box,Tower Suspension/Tension,Deviation Angle,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( Thirumangalam SS),2W,GANTRY,,H Pole,12,,,,,129.694122,,9.827003858,77.97745297,Good,,,,Plain,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97745297275146 9.827003858478136, 77.97776997632762 9.827567876713331)"
2,64,,B+0,9°30'52''RT,S,26, Gantry-64,74,15.28,0,132.233795,9°30'52''RT,9.827567877,77.97776998,Good,NO E/W,,,Plain,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97776997632762 9.827567876713331, 77.97910697369493 9.829225900862129)"
3,63,,A+0,,S,28,60 -59,238,∞,0,133.14119,,9.829225901,77.97910697,Good,Good,"LT, 11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97910697369493 9.829225900862129, 77.98024196719695 9.830571866773495)"
4,62,,B+0,4°56'1''RT,T,26,59 -58,197,9.41,FALSE,133.072006,4°56'1''RT,9.830571867,77.98024197,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98024196719695 9.830571866773495, 77.98173998092314 9.832065857066347)"
5,61,,A+0,,T,28,58 -57A,236,∞,0,135.093811,,9.832065857,77.98173998,Good,Good,"3 NO'S LT, 2 NO'S 11KV",CHEKANOORANI - THIRUMANGALAM ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98173998092314 9.832065857066347, 77.98330697771202 9.833635871214593)"
6,60,,A+0,,S,28,57A -57,247,∞,0,137.273331,,9.833635871,77.98330698,Good,Good,2 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98330697771202 9.833635871214593, 77.98488897810746 9.835179901460908)"
7,59,,A+0,,S,28,57 -56,246,∞,0,137.369858,,9.835179901,77.98488898,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98488897810746 9.835179901460908, 77.98687398040508 9.837129867244073)"
8,58,,B+0,2°32'14''RT,S,26,56 -55,309,3.06,0,140.572174,2°32'14''RT,9.837129867,77.98687398,Good,Good,"2 NO'S 11KV, LT 5 NO'S",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98687398040508 9.837129867244073, 77.98750103057776 9.837802934013927)"
9,57A,2W,C+0,4°23'45''RT,S,26,55 -54,104,∞,FALSE,140.610077,4°23'45''RT,9.837802934,77.98750103,Good,Good,"2 NO'S LT, 11KV",NH-7 ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98750103057776 9.837802934013927, 77.98801802636234 9.838278858431195)"
10,57,,A+0,,S,28,54 -53,80,∞,0,140.516296,,9.838278858,77.98801803,Good,Good,LT,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98801802636234 9.838278858431195, 77.98963095598029 9.839889860081012)"
11,56,,A+0,,S,28,53 -52,254,∞,0,138.742783,,9.83988986,77.98963096,Good,Good,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98963095598029 9.839889860081012, 77.99121899134596 9.841465909197145)"
12,55,,A+0,,S,28,52 -51,249,∞,0,138.860168,,9.841465909,77.99121899,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99121899134596 9.841465909197145, 77.99285698285411 9.843100883087539)"
13,54,,A+0,,S,28,51 -50,258,12.95,0,139.756104,,9.843100883,77.99285698,Good,Good,,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99285698285411 9.843100883087539, 77.99463796962961 9.844858903303445)"
14,53,,A+0,,S,28,50 -49,278,∞,0,140.564819,,9.844858903,77.99463797,Good,Good,LT,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99463796962961 9.844858903303445, 77.99614000666922 9.846348870280272)"
15,52,,A+0,,S,28,49 -48,236,∞,0,141.368591,,9.84634887,77.99614001,Good,Good,,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99614000666922 9.846348870280272, 77.9976780020731 9.847872867780854)"
16,51,,A+0,,S,28,48 -47,241,∞,0,138.286377,,9.847872868,77.997678,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9976780020731 9.847872867780854, 77.9993780196644 9.849551930475071)"
17,50,,A+0,,S,28,47 -46,266,∞,0,141.121658,,9.84955193,77.99937802,Good,Good,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9993780196644 9.849551930475071, 78.00105499503827 9.851221857062187)"
18,49,,A+0,,S,28,46 -45,259,∞,0,141.141098,,9.851221857,78.001055,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00105499503827 9.851221857062187, 78.00268401790942 9.852841911418434)"
19,48,,A+0,,S,28,45 -44,256,∞,0,143.256302,,9.852841911,78.00268402,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00268401790942 9.852841911418434, 78.00432703855878 9.854460876128902)"
20,47,,A+0,,T,28,44 -43,257,∞,FALSE,144.630402,,9.854460876,78.00432704,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00432703855878 9.854460876128902, 78.00609000424171 9.856198863872285)"
21,46,,A+0,,S,28,43 -42,275,∞,0,145.846298,,9.856198864,78.00609,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00609000424171 9.856198863872285, 78.00775800296248 9.857872897687832)"
22,45,,A+0,,S,28,42 -41,263,∞,0,145.929337,,9.857872898,78.007758,Good,Good,2 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00775800296248 9.857872897687832, 78.0093870258337 9.859463866840143)"
23,44,,A+0,,S,28,41 -40,254,∞,0,144.79924,,9.859463867,78.00938703,Good,Good,3 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0093870258337 9.859463866840143, 78.01113297625342 9.861208895379747)"
24,43,,B+0,3°18'4''RT,T,26,40 - LILO : 39,275,3.07,FALSE,145.038574,3°18'4''RT,9.861208895,78.01113298,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01113297625342 9.861208895379747, 78.01277297941775 9.862830877573938)"
25,42,,A+0,,S,28, LILO : 39 -38,257,∞,FALSE,147.387817,,9.862830878,78.01277298,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01277297941775 9.862830877573938, 78.0142630303354 9.86430491916744)"
26,41,,A+0,,S,28,38 -37,234,∞,FALSE,147.000824,,9.864304919,78.01426303,Good,Good,3 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0142630303354 9.86430491916744, 78.01598400268387 9.865967888873659)"
27,40,,A+0,,T,28,37 -36,266,∞,FALSE,147.605377,,9.865967889,78.015984,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01598400268387 9.865967888873659, 78.01665296237194 9.8666659338146)"
28, LILO : 39,3W,B+0,1°56'55''RT,S,26,36 -35,109,3.67,FALSE,148.735031,1°56'55''RT,9.866665934,78.01665296,Good,Good,,SATELITE CITY ROAD,Plain, LILO to Kapplaur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01665296237194 9.8666659338146, 78.01764898391959 9.867636893545177)"
29,38,,A+0,,S,28,35 -34,156,0.28,FALSE,152.440659,,9.867636894,78.01764898,Good,Good,,SATELITE CITY ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01764898391959 9.867636893545177, 78.01919896544455 9.869163908769691)"
