S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,TN - 1,T,DC,28,,,4.62,8.931297,,8.58769616112113,78.0841530114412,GOOD,,,,PLAIN,ARUMUGANERI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0841530114412 8.58769616112113, 78.0823848489671 8.58905796892941)"
2,TN - 2,S,SC,26,"=CONCATENATE(B6, "" : "", B7)",248.32299425544352,4.7,5.066635,,8.58905796892941,78.0823848489671,GOOD,AVAILABLE,"LT -2N, HT -2N",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0823848489671 8.58905796892941, 78.0806611943989 8.59038658440113)"
3,TN - 3,S,SC,26,"=CONCATENATE(B7, "" : "", B8)",242.1960816411316,3.6,6.005615,,8.59038658440113,78.0806611943989,GOOD,AVAILABLE,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0806611943989 8.59038658440113, 78.0788332689553 8.59181360341608)"
4,TN - 4,T,SC,25,"=CONCATENATE(B8, "" : "", B9)",257.95329088164226,4.1,7.741066,22°36'51''RT,8.59181360341608,78.0788332689553,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0788332689553 8.59181360341608, 78.0775478202849 8.59216681681573)"
5,TN - 5,S,SC,26,"=CONCATENATE(B9, "" : "", B10)",148.92287067486458,5.3,7.18743899999999,,8.59216681681573,78.0775478202849,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0775478202849 8.59216681681573, 78.076202943921 8.59254031442105)"
6,TN - 6,S,SC,26,"=CONCATENATE(B10, "" : "", B11)",155.83239794064636,2.7,7.137314,,8.59254031442105,78.076202943921,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.076202943921 8.59254031442105, 78.074070001021 8.59314096160233)"
7,TN - 7,S,SC,26,"=CONCATENATE(B11, "" : "", B12)",246.22291607307895,4.6,10.155334,,8.59314096160233,78.074070001021,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.074070001021 8.59314096160233, 78.0719369743019 8.59375703148543)"
8,TN - 8,S,SC,26,"=CONCATENATE(B12, "" : "", B13)",246.70219409166228,3.2,10.060516,,8.59375703148543,78.0719369743019,GOOD,AVAILABLE,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0719369743019 8.59375703148543, 78.0695779714733 8.59438701532781)"
9,TN - 9,S,SC,26,"=CONCATENATE(B13, "" : "", B14)",271.0975422541022,2.4,8.563133,,8.59438701532781,78.0695779714733,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0695779714733 8.59438701532781, 78.0673221498727 8.59501716680824)"
10,TN - 10,S,SC,26,"=CONCATENATE(B14, "" : "", B15)",260.1398334648359,2.85,5.963928,,8.59501716680824,78.0673221498727,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0673221498727 8.59501716680824, 78.0651485547423 8.59563994221389)"
11,TN - 11,S,SC,26,"=CONCATENATE(B15, "" : "", B16)",251.20253444292572,3.03,11.060097,,8.59563994221389,78.0651485547423,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0651485547423 8.59563994221389, 78.0628627259284 8.5962716024369)"
12,TN - 12,S,SC,26,"=CONCATENATE(B16, "" : "", B17)",263.3692792047848,2.36,9.437271,,8.5962716024369,78.0628627259284,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0628627259284 8.5962716024369, 78.0606670025736 8.59685297124087)"
13,TN - 13,T,SC,25,"=CONCATENATE(B17, "" : "", B18)",252.32912151656342,2.97,8.686432,6°44'54''LT,8.59685297124087,78.0606670025736,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0606670025736 8.59685297124087, 78.0584469716995 8.59773097559809)"
14,TN - 14,S,SC,26,"=CONCATENATE(B18, "" : "", B19)",265.1965641590411,3.9,9.35778,,8.59773097559809,78.0584469716995,GOOD,AVAILABLE,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0584469716995 8.59773097559809, 78.0562285333871 8.59853941015899)"
15,TN - 15,S,SC,26,"=CONCATENATE(B19, "" : "", B20)",262.2862161403419,2.7,8.735939,,8.59853941015899,78.0562285333871,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0562285333871 8.59853941015899, 78.0539810098707 8.59937600791454)"
16,TN - 16,S,SC,26,"=CONCATENATE(B20, "" : "", B21)",266.37356908927205,4.6,10.476822,,8.59937600791454,78.0539810098707,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0539810098707 8.59937600791454, 78.0517718754708 8.60023766756057)"
17,TN - 17,S,SC,26,"=CONCATENATE(B21, "" : "", B22)",263.4157225861591,3.2,8.482269,,8.60023766756057,78.0517718754708,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0517718754708 8.60023766756057, 78.0495303031057 8.6010755226016)"
