S.No,Tower No.,Joint Box,Tower Suspension / Tension,Deviation Angle,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain /Hilly/Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,87 LILO,3W,DC+0,,S,12,,,0.24,FALSE,99.039162,,9.971734,78.57496894,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57496894021538 9.971733999823126, 78.57309498982693 9.973322917198635)"
2,2,,DC+0,8°28'28''LT,S,26,87 LILO-2,275,1.1,FALSE,100.298347,8°28'28''LT,9.973322917,78.57309499,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57309498982693 9.973322917198635, 78.57097696672015 9.974637953889907)"
3,3,,DA+0,,T,26,02-Mar,279,0.41,FALSE,101.055107,,9.974637954,78.57097697,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57097696672015 9.974637953889907, 78.56882600273397 9.975961959216225)"
4,4,,DA+0,,S,26,03-Apr,282,0.07,FALSE,100.474716,,9.975961959,78.568826,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56882600273397 9.975961959216225, 78.56669096436387 9.977280935400676)"
5,5,,DA+0,,S,26,04-May,280,0.82,FALSE,99.531693,,9.977280935,78.56669096,Good,Available,,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56669096436387 9.977280935400676, 78.56456397262077 9.97858691963515)"
6,6,,DA+0,,S,26,05-Jun,279,5.26,FALSE,99.410553,,9.97858692,78.56456397,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56456397262077 9.97858691963515, 78.56244796117076 9.9799099191339)"
7,7,,DC+0,12°47'47''RT,T,26,06-Jul,279,5.12,FALSE,102.911629,12°47'47''RT,9.979909919,78.56244796,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56244796117076 9.9799099191339, 78.56053797690018 9.981805905537598)"
8,8,,DA+0,,S,26,07-Aug,301,1.24,FALSE,103.732735,,9.981805906,78.56053798,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56053797690018 9.981805905537598, 78.55865003703495 9.983701891941898)"
9,9,,DA+0,,S,26,08-Sep,299,0.87,FALSE,105.230164,,9.983701892,78.55865004,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55865003703495 9.983701891941898, 78.55679202056385 9.98557994107489)"
10,10,,DA+0,,T,26,09-Oct,296,1.06,FALSE,107.834274,,9.985579941,78.55679202,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55679202056385 9.98557994107489, 78.55482101603839 9.987522949952366)"
