SL.NO,TOWER NO,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
27,27,S,,PA,20.9,T26-T27,246.89149983147573,1.48,37,8.186805985,77.57197078,GOOD,AVAILABLE,,ROAD,plain Land,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57197078 8.186805985, 77.57305172 8.185227969)"
28,28,S,,PA,20.9,T27-T28,211.4197722304694,1.58,37,8.185227969,77.57305172,GOOD,AVAILABLE,"LT LINE,11KV LINE","ROAD, POND",Agri Land," Lt line, Road - 2Nos, mango gradan, 11kv Line, pond, banana gradan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57305172 8.185227969, 77.57441931 8.183274607)"
29,29,T,"05°32'20""LT",PB+6,26.85,T28-T29,263.55834539057025,2.68,34,8.183274607,77.57441931,GOOD,AVAILABLE,11KV LINE,"TEMPLE, ROAD",Agri Land,"banana gradan, 11kv Line,  temple road ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57441931 8.183274607, 77.57569202 8.18233474)"
30,30,S,,PA+3,23.9,T29-T30,174.66855213796816,1.43,34,8.18233474,77.57569202,GOOD,AVAILABLE,11KV LINE,NH 44 ROAD,plain Land," NH44 Road, 11kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57569202 8.18233474, 77.57630356 8.181778859)"
31,31,S,,PA,20.9,T30-T31,91.2719924292232,1.74,34,8.181778859,77.57630356,GOOD,AVAILABLE,,,plain Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57630356 8.181778859, 77.5772886 8.180049494)"
32,32,T,"32°14'54""RT",PC,21.65,T31-T32,220.04650231490777,2.71,32,8.180049494,77.5772886,GOOD,AVAILABLE,,,plain Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5772886 8.180049494, 77.57734995 8.179676476)"
GANTRY,KARUNGULAM,,,,,T32-KARUNGULAM GANTRY,41.82979878027831,,31,8.179676476,77.57734995,,,,,plain Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H39)/1000,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
