SL.NO,TOWER NO,TOWER S/T,DEVIATION OF ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,SATHANKULAM,,,,,,,,,8.44123248465687,77.90319308259399,,,,,Sathankulam gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90319308259399 8.44123248465687, 77.90294699635915 8.44151638073853)"
1,1,T,"26°21'36""RT",PB,20.85,Gantry (Sathankulam) - T1,41.511010828523155,2.78,23,8.44151638073853,77.90294699635915,NOT AVAILABLE,,,plain land,"Sc line :Plain land , Gantry SATHANKULAM - T1  earth WIRE is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90294699635915 8.44151638073853, 77.90221441334171 8.44434961439008)"
2,2,T,"76°27'55""RT",PC,21.65,T1-T2,323.8467472817939,21.43,22,8.44434961439008,77.90221441334171,AVAILABLE,"11KV LINE, LT LINE",,plain land,"SC line    11kv line , Road ( nedunkulam - sathankulam ) ,  Lt line , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90221441334171 8.44434961439008, 77.9046190129774 8.445621049389901)"
3,3,T,"50°59'18""RT",PC+3,24.65,T2-T3,300.080565718506,2.76,21,8.445621049389901,77.9046190129774,AVAILABLE,33KV LINE-3NOS,ODAI BUND,water logged area,"Sc line :  2nos 33kv  Line, Odai(nala) , temple , Odai bund , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9046190129774 8.445621049389901, 77.90547363117278 8.445259530463266)"
4,4,T,"72°06'22""LT",PC,21.65,T3-T4,102.33970631185065,2.42,23,8.445259530463266,77.90547363117278,AVAILABLE,110KV LINE,POND,water logged area,"Sc line   110 kv over head crossing , pond , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90547363117278 8.445259530463266, 77.90695320798483 8.446975055131992)"
5,5,S,,PA,20.9,T4-T5,250.31242943369202,1.54,24,8.446975055131992,77.90695320798483,AVAILABLE,,POND,water logged area,"Sc line : Pond , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90695320798483 8.446975055131992, 77.90860746284372 8.448902479695914)"
6,6,S,,PA,20.9,T5-T6,280.65140153762337,1.63,22,8.448902479695914,77.90860746284372,AVAILABLE,11KV LINE,POND,water logged area,"Sc line    water logged land , POND,  11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90860746284372 8.448902479695914, 77.90980774854104 8.450332125363953)"
7,7,S,,PA,20.9,T6-T7,206.26748018040283,1.7,20,8.450332125363953,77.90980774854104,AVAILABLE,,"POND,ODAI BUND,CART TRACK",water logged area,"Sc line Pond , Odai bund , cart track , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90980774854104 8.450332125363953, 77.91095808277194 8.451560794909135)"
8,8,T,"32°56'42""RT",PC,21.65,T7-T8,185.93884941294374,2.26,19,8.451560794909135,77.91095808277194,AVAILABLE,11KV LINE,,AGRI LAND,"Sc line   11kv line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91095808277194 8.451560794909135, 77.9127280047929 8.452080077371024)"
9,9,S,,PA,20.9,T8-T9,203.36589075109052,1.58,18,8.452080077371024,77.9127280047929,AVAILABLE,,CART TRACK,AGRI LAND,"Sc line :  cart track , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9127280047929 8.452080077371024, 77.91524928443187 8.452797318204174)"
10,10,T,"41°57'05""RT",PC,21.65,T9-T10,289.004068762018,1.4,17,8.452797318204174,77.91524928443187,AVAILABLE,,"ODAI (NALA), CART TRACK",water logged area,"Sc line   cart track , Odai( nala) , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91524928443187 8.452797318204174, 77.91701953895816 8.451932026977218)"
11,11,S,,PA,20,T10-T11,217.34903495520848,2.52,18,8.451932026977218,77.91701953895816,AVAILABLE,,CART TRACK,water logged area,"Sc line    cart track , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91701953895816 8.451932026977218, 77.91890211239252 8.451070387529281)"
12,12,S,,PA+3,23.9,T11-T12,228.35812371150385,1.74,19,8.451070387529281,77.91890211239252,AVAILABLE,,"BRIDGE ROAD,ODAI(NALA)",plain land,"Sc line  bridge Road ( tiruchendur - kanyakumari )Plain land, Oadai(nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91890211239252 8.451070387529281, 77.92130135280468 8.449923846793357)"
13,13,S,,PA,20.9,T12-T13,293.3108228705544,1.46,20,8.449923846793357,77.92130135280468,AVAILABLE,,CART TRACK,plain land,"sc line  cart track , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92130135280468 8.449923846793357, 77.92369387964581 8.448752096163469)"
14,14,S,,PA,20.9,T13-T14,293.86618118623164,1.59,17,8.448752096163469,77.92369387964581,AVAILABLE,LT LINE,,plain land,"Sc line   LT line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92369387964581 8.448752096163469, 77.92616419759749 8.447585975703856)"
15,15,S,,PA,20.9,T14-T15,301.3172624742452,1.72,18,8.447585975703856,77.92616419759749,AVAILABLE,,CART TRACK,water logged area,"Sc line    cart track , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92616419759749 8.447585975703856, 77.9283146550882 8.446513391314033)"
16,16,S,,PA,20.9,T15-T16,265.09017524049744,1.89,16,8.446513391314033,77.9283146550882,AVAILABLE,,CART TRACK,plain land,"Sc line    cart track , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9283146550882 8.446513391314033, 77.93059420333817 8.445407631320231)"
17,17,T,"01°41'19""LT",PB,20.85,T16-T17,279.47429151177056,2.49,15,8.445407631320231,77.93059420333817,AVAILABLE,,CART TRACK,water logged area,"Sc line    cart track , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93059420333817 8.445407631320231, 77.93289553666148 8.44437615577258)"
18,18,S,,PA,20.9,T17-T18,278.16095276828884,1.53,15,8.44437615577258,77.93289553666148,AVAILABLE,,ODAI(NALA),water logged area,"Sc line    Odai(nala) , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93289553666148 8.44437615577258, 77.93485958162339 8.443481661350727)"
19,19,S,,PA,20.9,T18-T19,238.04325539071135,1.82,15,8.443481661350727,77.93485958162339,AVAILABLE,,ODAI(NALA),water logged area,"Sc line : Odai(nala)( , water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93485958162339 8.443481661350727, 77.93683871812024 8.442595113501115)"
