S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 LILO RENGANATHAPURAM (105/1),3W,T,DB+0,22,,,2.42,FALSE,273.8592529,5°16'42''RT,10.45532333,78.07633211,Good,Good,,,PLAIN,LILO FROM SEMPATTY-TRICHY 110KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0763321090489 10.4553233273327, 78.0747374519705 10.4573242552578)"
2,2,,S,DA+0,24,5-6,287,4.56,FALSE,275.5415039,,10.45732426,78.07473745,Good,Good,22KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0747374519705 10.4573242552578, 78.0734984390437 10.4588965326547)"
3,3,,T,DB+0,22,6-7,226,6.21,FALSE,276.0220947,3°47'34''RT,10.45889653,78.07349844,Good,Good,,CAR TRACK,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0734984390437 10.4588965326547, 78.072272920981 10.460683973506)"
4,4,,T,DD+0,24,7-8,244,2.32,FALSE,275.7818604,31°15'9''RT,10.46068397,78.07227292,Good,Good,,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.072272920981 10.460683973506, 78.0721589270979 10.462903752923)"
5,5,,S,DA+0,24,8-9,252,3.46,FALSE,274.5802002,,10.46290375,78.07215893,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0721589270979 10.462903752923, 78.0719919595867 10.4652350954711)"
6,6,,T,DD+0,24,9-10,264,6.44,FALSE,287.317627,37°37'41''LT,10.4652351,78.07199196,Good,Good,,THAR ROAD,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0719919595867 10.4652350954711, 78.0703337676823 10.4670782759785)"
7,7,,S,DA+0,24,10-11,278,5.56,FALSE,274.8205566,,10.46707828,78.07033377,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0703337676823 10.4670782759785, 78.0684375297278 10.4690857417881)"
8,8,,S,DA+0,24,11-12,309,3.24,FALSE,271.9366455,,10.46908574,78.06843753,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0684375297278 10.4690857417881, 78.0666058324277 10.4710155911743)"
9,9,,S,DA+0,24,12-13,298,3.96,FALSE,271.6962891,,10.47101559,78.06660583,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0666058324277 10.4710155911743, 78.0649068206548 10.4728008527308)"
10,10,,T,DD+0,24,13-14,276,6.96,FALSE,273.1383057,42°29'33''RT,10.47280085,78.06490682,Good,Good,,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0649068206548 10.4728008527308, 78.0648744665086 10.4751078039407)"
11,11,,S,DA+0,24,14-15,261,4.46,FALSE,274.8205566,,10.4751078,78.06487447,Good,Good,22KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0648744665086 10.4751078039407, 78.064843788743 10.4780861455947)"
12,12,,T,DC+0,22,15-16,336,3.21,FALSE,272.6575928,31°5'5''LT,10.47808615,78.06484379,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.064843788743 10.4780861455947, 78.0634077172726 10.4803902469575)"
13,13,,T,DC+0,22,16-17,305,1.21,FALSE,274.0994873,22°49'3''LT,10.48039025,78.06340772,Good,Good,22KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0634077172726 10.4803902469575, 78.0619995575398 10.4813848435878)"
14,14,,S,DA+0,24,17-18,194,1.86,FALSE,273.1383057,,10.48138484,78.06199956,Good,Good,22KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0619995575398 10.4813848435878, 78.0597884953022 10.4829274490475)"
15,15,2W,T,DD+0,24,18-19,301,2.92,FALSE,268.8123779,52°54'21''RT,10.48292745,78.0597885,Good,Good,LT,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0597884953022 10.4829274490475, 78.0596973840147 10.4856263380497)"
16,16,,S,DA+0,24,19-20,305,3.21,FALSE,274.8205566,,10.48562634,78.05969738,Good,Good,2-LT,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0596973840147 10.4856263380497, 78.0596180073916 10.4879641346633)"
17,17,,S,DA+0,24,20-21,265,5.56,FALSE,276.5028076,,10.48796413,78.05961801,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0596180073916 10.4879641346633, 78.0595310870558 10.4905283264815)"
18,18,,T,DD+0,24,21-22,290,2.64,FALSE,284.9143066,30°56'7''LT,10.49052833,78.05953109,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0595310870558 10.4905283264815, 78.0583436228334 10.492347953841)"
19,19,,S,DA+0,24,22-23,245,4.21,FALSE,283.47229,,10.49234795,78.05834362,Good,Good,,,SOLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0583436228334 10.492347953841, 78.0568060465157 10.4945694934576)"
20,20,,S,DA+3,27,23-24,303,3.5,FALSE,279.6270752,,10.49456949,78.05680605,Good,Good,LT,,SOLAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0568060465157 10.4945694934576, 78.0552965495735 10.4968157596886)"
21,21,,S,DA+0,24,24-25,304,4.82,FALSE,272.1768799,,10.49681576,78.05529655,Good,Good,"LT,33KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0552965495735 10.4968157596886, 78.0537224281579 10.499050123617)"
