S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO,T,DC,26,,,5.63,63,,8.388645826,77.81076014,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81076014 8.388645826, 77.81099198 8.388349945)"
2,TN - 1,T,DC,26,"=CONCATENATE(B6,"" : "",B7)",44.53992904,4.7,58,50°15'32''RT,8.388349945,77.81099198,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81099198 8.388349945, 77.81262302 8.388302671)"
3,TN - 2,S,DC,28,"=CONCATENATE(B7,"" : "",B8)",182.8538608,3.6,57,,8.388302671,77.81262302,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81262302 8.388302671, 77.81431993 8.38823989)"
4,TN - 3,T,DC,26,"=CONCATENATE(B8,"" : "",B9)",190.1687494,4.1,54,88°11'27''LT,8.38823989,77.81431993,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81431993 8.38823989, 77.81431843 8.387960689)"
5,GANTRY,GANTRY,DC,15,"=CONCATENATE(B9,"" : "",B10)",33.90388347,5.3,56,,8.387960689,77.81431843,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
