S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,17,S,DC,26,16-17,232.61657973061276,3.51,"=IF(H23>15,0)",328.922791,,10.6199679616838,77.6900260336697,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6900260336697 10.6199679616838, 77.6907750405371 10.6221289839595)"
19,18,S,DC,26,17-18,256.3657052757425,1.15,"=IF(H24>15,0)",327.381683,,10.6221289839595,77.6907750405371,GOOD,AVAILABLE,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6907750405371 10.6221289839595, 77.6915431581437 10.6245469115674)"
20,19,S,DC,26,18-19,284.03663743252883,5.07,"=IF(H25>15,0)",327,,10.6245469115674,77.6915431581437,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6915431581437 10.6245469115674, 77.6923583820462 10.6269070878624)"
21,20,S,DC,26,19-20,279.56947387243315,3.12,"=IF(H26>15,0)",327,,10.6269070878624,77.6923583820462,GOOD,AVAILABLE,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6923583820462 10.6269070878624, 77.6928091607987 10.6283126492053)"
22,21,T,DC,25,20-21,166.71892517909365,1.78,"=IF(H27>15,0)",328,20°59'52''RT,10.6283126492053,77.6928091607987,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6928091607987 10.6283126492053, 77.6941848825663 10.6300174444913)"
23,22,S,DC,26,21-22,244.94999751923513,1.4,"=IF(H28>15,0)",326,,10.6300174444913,77.6941848825663,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6941848825663 10.6300174444913, 77.6955887675285 10.6317942403256)"
24,23,S,DC,26,22-23,253.11511997758032,6.31,"=IF(H29>15,0)",325,,10.6317942403256,77.6955887675285,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6955887675285 10.6317942403256, 77.697038333863 10.6335797533392)"
25,24,S,DC,26,23-24,256.9774329599005,2.45,"=IF(H30>15,0)",328,,10.6335797533392,77.697038333863,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.697038333863 10.6335797533392, 77.6982573978602 10.6351142283529)"
26,25,T,DC,25,24-25,219.52061529061604,1.37,"=IF(H31>15,0)",330,15°5'60''RT,10.6351142283529,77.6982573978602,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6982573978602 10.6351142283529, 77.7005556318908 10.6368110608309)"
27,26,S,DC,26,25-26,317.5054352418891,4.05,"=IF(H32>15,0)",323,,10.6368110608309,77.7005556318908,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7005556318908 10.6368110608309, 77.7027530316263 10.6384545005857)"
