S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 LILO,T,DB+0,22,,,2.63,"=IF(H6>15,0)",297.411254882812,,10.0556529778987,77.5198604911565,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5198604911565 10.0556529778987, 77.5171594228595 10.0565249472856)"
2,2,S,DA+0,24,1 LILO -2,321,3.36,"=IF(H7>15,0)",299.814575195312,,10.0565249472856,77.5171594228595,Good,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5171594228595 10.0565249472856, 77.5149877555668 10.0572348944842)"
3,3,S,DA+0,24,2-3,363,2.23,"=IF(H8>15,0)",300.53564453125,1°31'25''LT,10.0572348944842,77.5149877555668,Good,Good,2-LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5149877555668 10.0572348944842, 77.5122016947716 10.0580649543553)"
4,4,T,DB+0,22,3-4,323,3.6,"=IF(H9>15,0)",312.0712890625,9°10'50''LT,10.0580649543553,77.5122016947716,Good,Good,"22KV,3-LT",,AGRI,NEAR NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5122016947716 10.0580649543553, 77.5098544266074 10.058373324573)"
5,5,T,DC+0,22,4-5,259,1.11,"=IF(H10>15,0)",308.466430664062,24°2'48''LT,10.058373324573,77.5098544266074,Good,Good,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5098544266074 10.058373324573, 77.5096987746655 10.0583276432007)"
6,Gantry,T,GANTRY,12,5-Gantry,25,NIL,"=IF(H11>15,0)",312.551879882812,6°53'25''LT,10.0583276432007,77.5096987746655,NO E/W,Good,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL KM,,=SUM(G6:G11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
