S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY SEMBATTY,2W,T,BAY,12,,,NIL,,284,,10.28479792,77.87233245,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8723324545484 10.284797924867764, 77.8723666169499 10.284833321516796)"
2,1,,T,DB+6,28,GANTRY - 1,14,3.97,FALSE,284,,10.28483332,77.87236662,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8723666169499 10.284833321516796, 77.8730546873778 10.285375965928086)"
3,2,,T,DB+6,28,5-6,100.4314122,6.2,0,291.4030762,2°37'14''RT,10.28537597,77.87305469,Good,Good,,1HT,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8730546873778 10.285375965928086, 77.8751333155353 10.286866687407183)"
4,3,,S,DA+0,24,6-7,285.3625837,3.79,FALSE,283,,10.28686669,77.87513332,Good,Good,,1HT,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8751333155353 10.286866687407183, 77.8773244288328 10.288414405827762)"
5,4,,S,DA+0,24,7-8,299.0587016,7.9,FALSE,288.2789307,,10.28841441,77.87732443,Good,Good,,1HT &1 LT,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8773244288328 10.288414405827762, 77.8792666834263 10.28980001824105)"
6,5,,S,DA+6,30,8-9,266.4288348,7.2,FALSE,285,,10.28980002,77.87926668,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8792666834263 10.28980001824105, 77.8810179144475 10.291086640377832)"
7,6,,S,DA+6,30,9-10,243.0544079,17.92,FALSE,289.2402344,,10.29108664,77.88101791,Good,Good,,DINDIGUL-TRICHY-CHENNAI HIGHWAY,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8810179144475 10.291086640377832, 77.8829664554681 10.292552299966427)"
8,7,2W,T,DB+0,24,10-11,272.2527748,0.8,0,288.9998779,9°49'11''LT,10.2925523,77.88296646,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8829664554681 10.292552299966427, 77.8845550775676 10.294241588731653)"
9,8,,S,DA+0,24,11-12,259.5472815,12,FALSE,288.0385742,,10.29424159,77.88455508,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8845550775676 10.294241588731653, 77.8865437679034 10.296338573267073)"
10,9,,S,DA+0,24,12-13,322.4692482,15,FALSE,287.317627,,10.29633857,77.88654377,Good,Good,,TAHR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8865437679034 10.296338573267073, 77.8884333003252 10.298366658558503)"
