S.NO,TOWER NO,Joint Box,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Gantry Udhayathur,,2W,,,,,,,,25,8.254493296,77.75143839,,,,,Gantry Udhayathoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7514383941889 8.25449329618386, 77.7510853484273 8.25459250518169)"
1,1,,T,"27°33'57""LT",LS,30.3,Gantry (Udhayathur)- T1,40.44410366,30.56,25,8.254592505,77.75108535,NOT AVAILABLE,33KV LINE,,PLAIN LAND,"DC Line, fencing,33kv line ,plain land,Gantry to T. 1 Earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7510853484273 8.25459250518169, 77.749599404633 8.25428956926737)"
2,2,,S,,GR,34.07,T1-T2,167.2288329,33.76,25,8.254289569,77.7495994,AVAILABLE,33KV LINE -2NOS,,PLAIN LAND,"DC Line,2nos 33kv line,plain land,good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.749599404633 8.25428956926737, 77.748045399785 8.25395909345948)"
3,3,,T,"21°19'14""RT",LS+3,33.3,T2-T3,175.196695,32.13,25,8.253959093,77.7480454,AVAILABLE,33KV LINE -2NOS,ROAD,PLAIN LAND,"DC Line,Road(kothankulam-chidembarapuram),2nos 33kv line , good , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.748045399785 8.25395909345948, 77.7455469220876 8.25436986555645)"
4,4,,S,,GR,34.07,T3-T4,279.1958298,32.92,27,8.254369866,77.74554692,AVAILABLE,,,AGRI LAND,"DC Line, good ,  Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7455469220876 8.25436986555645, 77.7428804710507 8.25477167855944)"
5,5,,S,,GR,34.07,T4-T5,297.3324506,33.33,26,8.254771679,77.74288047,AVAILABLE,,,AGRI LAND,"DC Line , good , Agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7428804710507 8.25477167855944, 77.7403578534722 8.25518278161337)"
6,6,,S,,GR,34.07,T5-T6,281.8259672,35.7,24,8.255182782,77.74035785,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line, cartark, good , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7403578534722 8.25518278161337, 77.7379214018583 8.25559554324828)"
7,7,,S,,GR,34.07,T6-T7,272.4843423,46.11,24,8.255595543,77.7379214,AVAILABLE,33KV LINE,NALA-2NOS,AGRI LAND,"DC Line, 2nos nala, 33kv line, good , Agriland,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7379214018583 8.25559554324828, 77.7354286238551 8.25602190831042)"
8,8,,S,,GR,34.07,T7-T8,278.8593646,34.05,26,8.256021908,77.73542862,AVAILABLE,"33KV LINE, LT LINE",CART TRACK,AGRI LAND,"DC Line, cart track, 33kv line, LT line, good , Agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7354286238551 8.25602190831042, 77.7330753207206 8.25642869664875)"
9,9,,S,,GR+3,37.07,T8-T9,263.3354538,32.17,26,8.256428697,77.73307532,AVAILABLE,"33KV LINE, LT LINE","NALA, ROAD",PLAIN LAND,"DC Line, Road(UDHAYATHOOR- RADHAPURAM), 33KV line, LT line,nala, Good, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7330753207206 8.25642869664875, 77.7306113764643 8.25685141100328)"
10,10,,S,,GR,34.07,T9-T10,275.6561278,33.01,27,8.256851411,77.73061138,AVAILABLE,11KV LINE,CART TRACK,PLAIN LAND,"DC Line, 11kv line, cart track, Good, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7306113764643 8.25685141100328, 77.7282362803816 8.25726317549276)"
11,11,,T,"7°21'7""RT",LS+18,48.3,T10-T11,265.7960211,33.18,27,8.257263175,77.72823628,AVAILABLE,11KV LINE,NALA,PLAIN LAND,"DC Line, 11kv line, nala, Good, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7282362803816 8.25726317549276, 77.7272391691804 8.25756411832506)"
12,12,2W,T,"1°8'9""RT",LS+18,48.3,T11-T12,114.8687656,34.07,29,8.257564118,77.72723917,AVAILABLE,"110KV LINE, 11KV LINE",,PLAIN LAND,"DC Line,110KV OVER HEAD CROSSING, 11KV  line, Plain land, Good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7272391691804 8.25756411832506, 77.7247245982289 8.25837437341016)"
13,13,,S,,GR+3,37.07,T12-T13,291.3789799,44.2,29,8.258374373,77.7247246,AVAILABLE,,,PLAIN LAND,"DC Line, Good , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7247245982289 8.25837437341016, 77.7223692834377 8.25911926246957)"
14,14,,S,,GR+3,37.07,T13-T14,272.4482639,36.26,30,8.259119262,77.72236928,AVAILABLE,"33KV LINE, LT LINE",,PLAIN LAND,"DC Line,Road (Radhapuram-Udheyathoor), LT line, 33kv line, Good, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7223692834377 8.25911926246957, 77.7199767529964 8.25991325625326)"
15,15,,S,,GR,34.07,T14-T15,278.0317328,31.92,30,8.259913256,77.71997675,AVAILABLE,LT LINE,NALA,PLAIN LAND,"DC Line, 2Nos LT line, nala, Good ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7199767529964 8.25991325625326, 77.7175027504563 8.26075303649029)"
16,16,,S,,GR,34.07,T15-T16,288.1606582,32.15,33,8.260753036,77.71750275,AVAILABLE,,,PLAIN LAND,"DC Line ,Good,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7175027504563 8.26075303649029, 77.7149445936083 8.26155897167108)"
17,17,,S,,GR,34.07,T16-T17,295.8053677,43.9,35,8.261558972,77.71494459,AVAILABLE,11KV LINE,,PLAIN LAND,"DC Line,11kv line,Good,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7149445936083 8.26155897167108, 77.7124984189868 8.26235428773066)"
18,18,,S,,GR,34.07,T17-T18,283.6906935,35.05,37,8.262354288,77.71249842,AVAILABLE,"400KV LINE, LT LINE",,AGRI LAND,"DC Line, 400kv under crossing, Lt line , Agri land, Good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7124984189868 8.26235428773066, 77.7101317048072 8.26311509546053)"
