SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1,3W,T,"48°36'08""LT",KC ( LILO) ,24,Gantry KULITHURAI  - T1,58.06266051,2.78,46,8.336440294,77.19419908,GOOD,AVAILABLE,,,Agri Land," LILO on kulithurai to Munjirai,dc ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19419908 8.336440294, 77.19628819 8.334875803)"
2,2,,S,,GC,23.62,T1-T2,288.0035153,1.52,40,8.334875803,77.19628819,GOOD,AVAILABLE,,,Agri Land,"2 compoundwall, fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19628819 8.334875803, 77.19768997 8.333789354)"
3,3,,T,"18°08'13""LT",HC+3,24.94,T2-T3,195.7156301,2.34,42,8.333789354,77.19768997,GOOD,AVAILABLE,"33KV Line,11kvline,Lt line-2Nos",Road,Agri Land,"dc,33 kv line,11 kv line,2nos lt line,4 compound wall,Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19768997 8.333789354, 77.20013682 8.332877709)"
4,4,,S,,GC+3,26.62,T3-T4,287.8590758,1.76,46,8.332877709,77.20013682,GOOD,AVAILABLE,"11Kv line -2Nos,Lt line-2nos",Road,Agri Land,"Road,2Nos 11kvline,2nos  lt line,2 compound wall,house,4 fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20013682 8.332877709, 77.20201671 8.332326011)"
5,5,,S,,GC+3,26.62,T4-T5,215.9458616,1.59,58,8.332326011,77.20201671,GOOD,AVAILABLE,Lt line-2nos,Road,Agri Land,"Road,2 fencing, ltline-1nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20201671 8.332326011, 77.20407664 8.331465789)"
6,6,,S,,GC+3,26.62,T5-T6,246.1241558,1.9,57,8.331465789,77.20407664,GOOD,AVAILABLE,Lt Line-2nos,Road,Agri Land,"2 ltline,Road,2 compound wall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20407664 8.331465789, 77.2057832 8.330882573)"
7,7,,S,,GC+3,26.62,T6-T7,198.8051927,1.43,41,8.330882573,77.2057832,GOOD,AVAILABLE,"11Kv kLine,Lt line-3nos",Road,Agri Land,"11 kv line,Road,2 fencing,4 compound wall,3nos lt lines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2057832 8.330882573, 77.20701333 8.330454276)"
8,8,,S,,GC+3,26.62,T7-T8,143.5896065,2.63,38,8.330454276,77.20701333,GOOD,AVAILABLE,"11kv line,LT line-2Nos",Road,Agri Land,"DC,Road,2 compound wall,4 fencing,2nos ltline ,11 kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20701333 8.330454276, 77.20943838 8.329595702)"
9,9,,S,,GC+3,26.62,T8-T9,283.594117,1.51,24,8.329595702,77.20943838,GOOD,AVAILABLE,"Lt Line-2Nos,11kV line- 2Nos","Pond, Road",Agri Land,"2 11 kv line,2nos ltline,4 fencing,2 pond ,Road,temple,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.20943838 8.329595702, 77.21155163 8.32880249)"
10,10,,S,,GC+3,26.62,T9-T10,248.8443118,1.8,26,8.32880249,77.21155163,GOOD,AVAILABLE,"Lt line-4nos,11KVline-2nos","Road,Odai(Nala)",Agri Land,"4nos lt line,2 Nos 11 kv line,Road-2nos, odai(nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21155163 8.32880249, 77.21322332 8.328235848)"
