S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 28,3W,T,DC,26,,,,111.517677,,9.471772034,77.98464599,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9846459906548 9.4717720337212, 77.9860200360417 9.47224301286041)"
2,29,,T,DC,26,LILO : 28-29,159.7739426,4.73,107.507126,"5°48'37"" R",9.472243013,77.98602004,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9860200360417 9.47224301286041, 77.9885249678045 9.47282798588275)"
3,30,,T,DC,26,29-30,282.8406314,4.12,105.109138,"1°5'51"" L",9.472827986,77.98852497,GOOD,Available,400 KV,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9885249678045 9.47282798588275, 77.9910439811646 9.47346702218055)"
4,31,,S,DA,26,30-31,285.770241,1.57,104.706978,,9.473467022,77.99104398,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9910439811646 9.47346702218055, 77.9935769923031 9.47406196966767)"
5,32,,S,DA,26,31-32,286.0983489,2.33,104.208145,,9.47406197,77.99357699,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9935769923031 9.47406196966767, 77.9961590375751 9.47475599125027)"
6,33,,S,DA,26,32-33,294.0197445,4.61,101.6642,,9.474755991,77.99615904,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9961590375751 9.47475599125027, 77.9987150151282 9.4753469992429)"
7,34,,S,DA,26,33-34,288.4565205,5.03,99.363564,,9.475346999,77.99871502,GOOD,Available,"LT,HT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9987150151282 9.4753469992429, 78.0012180190533 9.47601302526891)"
8,35,,T,DC,26,34-35,282,2.78,98.010323,"17°40'46"" L",9.476013025,78.00121802,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0012180190533 9.47601302526891, 78.0038109607994 9.47528296150267)"
9,36,,S,DA,26,35-36,296.2393646,6.13,97.794395,,9.475282962,78.00381096,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0038109607994 9.47528296150267, 78.0062380246818 9.47454895824194)"
10,37,,S,DA,26,36-37,278.8698721,1.55,96.03434,,9.474548958,78.00623802,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0062380246818 9.47454895824194, 78.0085899867117 9.47381897829473)"
