S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1, KM01 (133A),3W,T,DD,28,,,4.5,FALSE,365.234314,,9.888805556,77.40597222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40597222222223 9.888805555555555, 77.40747222222222 9.888472222222221)"
2, KM02,,S,DA,26, KM01- KM02,170.0470361,3.65,FALSE,367.235779,,9.888472222,77.40747222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40747222222222 9.888472222222221, 77.41000000000001 9.888)"
3, KM03,,T,DB,28, KM02- KM03,281.0748594,2.11,FALSE,373.134216,"10°7'12""L",9.888,77.41,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41000000000001 9.888, 77.41225 9.887138888888888)"
4, KM04,,S,DA,26, KM03- KM04,266.1375686,5.2,FALSE,380.762909,,9.887138889,77.41225,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41225 9.887138888888888, 77.41463888888889 9.886249999999999)"
5, KM05,,T,DC,28, KM04- KM05,280.7465551,1.35,FALSE,389.335297,"74°17'24""L",9.88625,77.41463889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41463888888889 9.886249999999999, 77.4143888888889 9.883305555555555)"
6, KM06,,T,DC,28, KM05- KM06,325.8228061,1.99,FALSE,381.180115,"81°54'36""R",9.883305556,77.41438889,GOOD,Available,"11KV,LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4143888888889 9.883305555555555, 77.41597222222222 9.882944444444444)"
7, KM07,,S,DA,26, KM06- KM07,179.8421687,1.86,FALSE,383.520081,,9.882944444,77.41597222,GOOD,Available,33KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41597222222222 9.882944444444444, 77.41780555555556 9.882527777777778)"
8, KM08,,T,DC,28, KM07- KM08,206.6417155,1.1,FALSE,385.790955,"24°12'0""L",9.882527778,77.41780556,GOOD,Available,11KV,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41780555555556 9.882527777777778, 77.41975000000001 9.881055555555555)"
9, KM09,,S,DA,26, KM08- KM09,265.442888,1.2,FALSE,381.014496,,9.881055556,77.41975,GOOD,Available,"33KV,LT",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41975000000001 9.881055555555555, 77.42150000000001 9.879666666666667)"
10, KM10,,S,DA,26, KM09- KM10,246.1182386,1.99,FALSE,381.384735,,9.879666667,77.4215,GOOD,Available,"LT,11KV",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42150000000001 9.879666666666667, 77.42344444444446 9.878194444444444)"
11, KM11,,T,DC,28, KM10- KM11,268.8560985,2.41,FALSE,381.317444,"29°37'12""R",9.878194444,77.42344444,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42344444444446 9.878194444444444, 77.4255 9.87786111111111)"
