S.No,Tower No.,Joint Box,Tower Suspension / Tension,D,M,S,,,,,Deviation Angle,Tower Type,Tower Height (m),,,Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,line_geom
19,18,,S,,,,,,,,0°5'17''RT,A+3,28,,,17-18,289,1.12,FALSE,204.622971,,9.984438893,77.81809799,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81809799072867 9.98443889252839, 77.81812196297203 9.986943908088215)"
20,19,,S,,,,,,,,0°3'21''RT,A+3,28,,,18-19,280,4.61,FALSE,205.286255,,9.986943908,77.81812196,GOOD,AVAILABLE,11KV,Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81812196297203 9.986943908088215, 77.81820502763233 9.989006945892736)"
21,20,,T,,,,,,,,0°36'56''RT,B+0,28,,,19-20,231,1.55,FALSE,206.876465,33°6'24''RT,9.989006946,77.81820503,GOOD,AVAILABLE,LT - 2 NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81820502763233 9.989006945892736, 77.81742601355575 9.991969864871425)"
22,21,,S,11,15,5.656093924,23,53,12,LT,0°41'8''RT,A+0,25,,,20-21,341,3.44,FALSE,208.080383,,9.991969865,77.81742601,GOOD,AVAILABLE,"LT - 2 NO, 11KV",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81742601355575 9.991969864871425, 77.81673601529027 9.994485944589195)"
23,22,,S,,,,,,,,0°9'9''RT,A+0,25,,,21-22,291,1.16,FALSE,208.144287,,9.994485945,77.81673602,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81673601529027 9.994485944589195, 77.8160849928744 9.996953912180874)"
24,23,2W,T,,,,,,,,52°28'35''RT,B+0,28,,,22-23,285,3.77,FALSE,207.469574,30°4'42''LT,9.996953912,77.81608499,GOOD,AVAILABLE,"11kV, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8160849928744 9.996953912180874, 77.81430702358223 9.998732887411908)"
25,24,,S,,,,,,,,0°1'13''RT,A+0,25,,,23-24,280,1.32,FALSE,210.387558,,9.998732887,77.81430702,GOOD,AVAILABLE,11 KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81430702358223 9.998732887411908, 77.8121839713382 10.00086088510982)"
26,25,,S,,,,,,,,0°14'34''RT,A+0,25,,,24-25,334,6.5,FALSE,212.404037,,10.00086089,77.81218397,GOOD,AVAILABLE,LT - 3 NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8121839713382 10.00086088510982, 77.81022696459513 10.00279593138716)"
27,26,,S,,,,,,,,0°0'39''RT,A+0,25,,,25-26,306,0.9,FALSE,213.916641,,10.00279593,77.81022696,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81022696459513 10.00279593138716, 77.80797499868086 10.005030882176762)"
28,27,,T,14,16,11.48743387,,,,,0°18'23''RT,C+0,28,,,26-27,352,1.32,FALSE,217.330673,41°59'21''RT,10.00503088,77.807975,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80797499868086 10.005030882176762, 77.80785798731343 10.007261893333235)"
