S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ,2W,GANTRY,GANTRY,15,,,,145,,9.827059703,77.97723815,GOOD,,,,PLAIN,110KV THIRUMANGALAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97723815 9.827059703, 77.97692014 9.827227425)"
2,TN - 52/2,,T,DC,26,TN - 53 : TN - 54,41.54694496,2.47,145,24°43'45''LT,9.827227425,77.97692014,GOOD,NO E/W,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97692014 9.827227425, 77.97609226 9.828307768)"
3,TN - 52/1,,T,DC,26,TN - 54 : TN - 55,152.2249223,5.54,147,24°46'29''RT,9.828307768,77.97609226,GOOD,AVAILABLE,,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97609226 9.828307768, 77.97568733 9.82852092)"
4, LILO - 52,3W,T,DC,38,TN - 55 : TN - 56,52.33447124,5.5,145,54°58'18''LT,9.82852092,77.97568733,GOOD,AVAILABLE,,,PLAIN,COMMON TOWER FOR 110KV PASUMALAI - ANUPANKULAM TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97568733 9.82852092, 77.9749726 9.828015491)"
5,TN - 53,,T,DC,38,TN - 56 : TN - 57,98.38131934,6.32,145,64°18'18''RT,9.828015491,77.9749726,GOOD,AVAILABLE,LT,"NH, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9749726 9.828015491, 77.97523269 9.826473054)"
6,TN - 54,,T,DC,26,TN - 57 : TN - 58,175.1318515,4.25,145,16°51'7''LT,9.826473054,77.97523269,GOOD,AVAILABLE,"110KV UP XING, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97523269 9.826473054, 77.97516438 9.825938372)"
7,TN - 55,,S,DC,26,TN - 58 : TN - 59,61.66696247,6.23,144,,9.825938372,77.97516438,GOOD,AVAILABLE,LT - 2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97516438 9.825938372, 77.97472073 9.823433859)"
8,TN - 56,,S,DC,26,TN - 59 : TN - 60,295,7.62,145,,9.823433859,77.97472073,GOOD,NO E/W,"230KV LINE UP XING, LT ",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97472073 9.823433859, 77.97426878 9.820835637)"
9,TN - 57,,S,DC,26,TN - 60 : TN - 61,293.8933446,2.77,142,,9.820835637,77.97426878,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97426878 9.820835637, 77.97383375 9.818307487)"
10,TN - 58,,S,DC,26,TN - 61 : TN - 62,285.9332707,6.36,142,,9.818307487,77.97383375,GOOD,AVAILABLE,"HT, LT -2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97383375 9.818307487, 77.97337912 9.815684287)"
11,TN - 59,,S,DC,26,TN - 62 : TN - 63,296.6682631,2.44,144,,9.815684287,77.97337912,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97337912 9.815684287, 77.97290588 9.812944662)"
12,TN - 60,,T,DC,26,TN - 63 : TN - 64,309.7172585,6.53,145,0°4'58''RT,9.812944662,77.97290588,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97290588 9.812944662, 77.97229207 9.809360476)"
13,TN - 61,2W,T,DC,26,TN - 64 : TN - 65,404.480792,6.16,150,1°40'19''RT,9.809360476,77.97229207,GOOD,AVAILABLE,LT -3,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97229207 9.809360476, 77.97179888 9.805871593)"
14,TN - 62,,S,DC,26,TN - 65 : TN - 66,392.0244044,3.91,148,,9.805871593,77.97179888,GOOD,AVAILABLE,LT,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97179888 9.805871593, 77.97145455 9.803144541)"
15,TN - 63,,S,DC,26,TN - 66 : TN - 67,306.2640223,2.86,150,,9.803144541,77.97145455,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97145455 9.803144541, 77.97109807 9.800384715)"
16,TN - 64,,S,DC,26,TN - 67 : TN - 68,310.0311587,3.36,151,,9.800384715,77.97109807,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97109807 9.800384715, 77.97074293 9.797662105)"
17,TN - 65,,S,DC,26,TN - 68 : TN - 69,305.9259041,4.85,152,,9.797662105,77.97074293,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97074293 9.797662105, 77.97039365 9.7949058)"
18,TN - 66,,S,DC,26,TN - 69 : TN - 70,309.5447297,6.23,152,,9.7949058,77.97039365,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97039365 9.7949058, 77.97003097 9.792110939)"
19,TN - 67,,S,DC,26,TN - 70 : TN - 71,313.9646275,5.55,149,,9.792110939,77.97003097,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97003097 9.792110939, 77.96969167 9.789410876)"
20,TN - 68,,S,DC,26,TN - 71 : TN - 72,303.230221,3.83,147,,9.789410876,77.96969167,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96969167 9.789410876, 77.96932354 9.786567064)"
21,TN - 69,,S,DC,26,TN - 72 : TN - 73,319.4157452,6.24,145,,9.786567064,77.96932354,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96932354 9.786567064, 77.9689663 9.783776477)"
22,TN - 70,2W,S,DC,26,TN - 73 : TN - 74,313.419231,2.83,147,0°1'33''RT,9.783776477,77.9689663,GOOD,AVAILABLE,230KV LINE UP XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9689663 9.783776477, 77.9686099 9.780982537)"
23,TN - 71,,S,DC,26,TN - 74 : TN - 75,313.7757865,8.43,150,,9.780982537,77.9686099,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9686099 9.780982537, 77.96834998 9.77906568)"
